object,candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days,object_support_class
Je,CP001,26,0.653,0.825,0.164,0.011,7.630832487305387,1.0,object_candidate
Je,CP002,33,0.628,0.763,0.189,0.048,7.607185992803982,2.0,object_weak_candidate
Je,CP003,46,0.883,0.978,0.01,0.012,13.181579552710545,1.0,object_strong_candidate
Je,CP004,81,0.401,0.714,0.231,0.055,7.75428836675759,4.0,object_weak_candidate
Je,CP005,94,0.474,0.606,0.234,0.16,9.739769141206372,3.0,object_weak_candidate
Je,CP006,111,0.575,0.986,0.009,0.005,18.735737874336216,2.0,object_strong_candidate
Je,CP007,136,0.501,0.842,0.155,0.003,16.37826910683215,2.0,object_candidate
Je,CP008,162,0.864,0.981,0.011,0.008,21.52766239954466,1.0,object_strong_candidate
