window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,pair_name,object_A,object_B,dominant_order_high,median_delta_high,prob_A_earlier_high,prob_B_earlier_high,prob_same_or_near_high,dominant_order_low,median_delta_low,prob_A_earlier_low,prob_B_earlier_low,prob_same_or_near_low,median_delta_shift_high_minus_low,dominant_order_changed_flag,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,H-Je,H,Je,A_earlier,11.0,0.8802395209580839,0.10179640718562874,0.017964071856287425,A_earlier,8.0,0.5585585585585585,0.38738738738738737,0.05405405405405406,3.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,H-Jw,H,Jw,A_earlier,6.0,0.8413173652694611,0.1497005988023952,0.008982035928143712,A_earlier,4.0,0.5705705705705706,0.4084084084084084,0.021021021021021023,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,Je-Jw,Je,Jw,B_earlier,-5.0,0.16766467065868262,0.7844311377245509,0.04790419161676647,B_earlier,-3.0,0.30930930930930933,0.6426426426426426,0.04804804804804805,-2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,P-H,P,H,B_earlier,-8.0,0.1437125748502994,0.8502994011976048,0.005988023952095809,B_earlier,-5.0,0.4084084084084084,0.5555555555555556,0.036036036036036036,-3.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,P-Je,P,Je,A_earlier,3.0,0.8832335329341318,0.04790419161676647,0.0688622754491018,A_earlier,1.0,0.5795795795795796,0.18018018018018017,0.24024024024024024,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,P-Jw,P,Jw,B_earlier,-2.0,0.3203592814371258,0.6077844311377245,0.0718562874251497,B_earlier,-1.0,0.3783783783783784,0.5465465465465466,0.07507507507507508,-1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,P-V,P,V,A_earlier,1.0,0.5808383233532934,0.18562874251497005,0.23353293413173654,A_earlier,1.0,0.5915915915915916,0.18018018018018017,0.22822822822822822,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,V-H,V,H,B_earlier,-9.0,0.12574850299401197,0.8712574850299402,0.0029940119760479044,B_earlier,-8.0,0.34534534534534533,0.5825825825825826,0.07207207207207207,-1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,V-Je,V,Je,A_earlier,2.0,0.7724550898203593,0.1317365269461078,0.09580838323353294,A_earlier,0.0,0.44144144144144143,0.3663663663663664,0.1921921921921922,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,V-Jw,V,Jw,B_earlier,-3.0,0.2634730538922156,0.6616766467065869,0.0748502994011976,B_earlier,-2.0,0.2852852852852853,0.6396396396396397,0.07507507507507508,-1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,H-Je,H,Je,A_earlier,11.0,0.7934131736526946,0.17664670658682635,0.029940119760479042,A_earlier,10.0,0.6336336336336337,0.2882882882882883,0.07807807807807808,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,H-Jw,H,Jw,A_earlier,9.0,0.8383233532934131,0.1497005988023952,0.011976047904191617,A_earlier,3.0,0.5705705705705706,0.4174174174174174,0.012012012012012012,6.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,Je-Jw,Je,Jw,A_earlier,0.0,0.4550898203592814,0.4251497005988024,0.11976047904191617,B_earlier,-5.0,0.06306306306306306,0.9279279279279279,0.009009009009009009,5.0,True,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,P-H,P,H,B_earlier,-8.0,0.19760479041916168,0.7874251497005988,0.014970059880239521,B_earlier,-7.0,0.36936936936936937,0.5915915915915916,0.03903903903903904,-1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,P-Je,P,Je,A_earlier,2.0,0.7485029940119761,0.09580838323353294,0.15568862275449102,A_earlier,2.0,0.7177177177177178,0.12312312312312312,0.15915915915915915,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,P-Jw,P,Jw,A_earlier,2.0,0.6766467065868264,0.24550898203592814,0.07784431137724551,B_earlier,-3.0,0.11711711711711711,0.8378378378378378,0.04504504504504504,5.0,True,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,P-V,P,V,A_earlier,1.0,0.6766467065868264,0.1467065868263473,0.17664670658682635,A_earlier,1.0,0.5015015015015015,0.25225225225225223,0.24624624624624625,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,V-H,V,H,B_earlier,-9.5,0.17065868263473055,0.8143712574850299,0.014970059880239521,B_earlier,-8.0,0.3183183183183183,0.6096096096096096,0.07207207207207207,-1.5,False,strict_99,direction_specific_99,stable,False
