window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,score_group,pair_name,object_A,object_B,n_valid_bootstrap,median_delta_B_minus_A,mean_delta_B_minus_A,q25_delta_B_minus_A,q75_delta_B_minus_A,prob_A_earlier,prob_B_earlier,prob_same_or_near,dominant_order_label,near_day_threshold,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-V,P,V,333,1.0,1.0360360360360361,0.0,2.0,0.5615615615615616,0.2132132132132132,0.22522522522522523,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-H,P,H,333,-8.0,-5.711711711711712,-10.0,0.0,0.2222222222222222,0.7477477477477478,0.03003003003003003,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-Je,P,Je,333,2.0,1.951951951951952,0.0,3.0,0.7177177177177178,0.0960960960960961,0.18618618618618618,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-Jw,P,Jw,333,-2.0,-1.027027027027027,-4.0,2.0,0.34234234234234234,0.5915915915915916,0.06606606606606606,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,V-H,V,H,333,-9.0,-6.747747747747748,-11.0,-1.0,0.1891891891891892,0.7687687687687688,0.042042042042042045,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,V-Je,V,Je,333,1.0,0.9159159159159159,0.0,2.0,0.5915915915915916,0.2072072072072072,0.2012012012012012,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,V-Jw,V,Jw,333,-2.0,-2.063063063063063,-5.0,1.0,0.2822822822822823,0.6726726726726727,0.04504504504504504,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,H-Je,H,Je,333,10.0,7.663663663663663,2.0,12.0,0.7717717717717718,0.16816816816816818,0.06006006006006006,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,H-Jw,H,Jw,333,6.0,4.684684684684685,1.0,9.0,0.7537537537537538,0.22822822822822822,0.018018018018018018,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,Je-Jw,Je,Jw,333,-4.0,-2.978978978978979,-6.0,0.0,0.2042042042042042,0.7177177177177178,0.07807807807807808,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,P-V,P,V,334,1.0,1.529940119760479,0.0,3.0,0.6766467065868264,0.1467065868263473,0.17664670658682635,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,P-H,P,H,334,-8.0,-5.667664670658683,-10.0,-4.0,0.19760479041916168,0.7874251497005988,0.014970059880239521,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,P-Je,P,Je,334,2.0,2.254491017964072,0.25,4.0,0.7485029940119761,0.09580838323353294,0.15568862275449102,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,P-Jw,P,Jw,334,2.0,1.8023952095808384,0.0,4.0,0.6766467065868264,0.24550898203592814,0.07784431137724551,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,V-H,V,H,334,-9.5,-7.197604790419161,-11.0,-5.25,0.17065868263473055,0.8143712574850299,0.014970059880239521,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,V-Je,V,Je,334,1.0,0.7245508982035929,-1.0,2.0,0.5658682634730539,0.26047904191616766,0.17365269461077845,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,V-Jw,V,Jw,334,1.0,0.27245508982035926,-2.0,3.0,0.5568862275449101,0.3502994011976048,0.09281437125748503,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,H-Je,H,Je,334,11.0,7.922155688622754,6.0,12.0,0.7934131736526946,0.17664670658682635,0.029940119760479042,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,H-Jw,H,Jw,334,9.0,7.470059880239521,4.0,13.0,0.8383233532934131,0.1497005988023952,0.011976047904191617,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,Je-Jw,Je,Jw,334,0.0,-0.45209580838323354,-3.0,2.0,0.4550898203592814,0.4251497005988024,0.11976047904191617,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,P-V,P,V,333,1.0,0.7747747747747747,-1.0,2.0,0.5015015015015015,0.25225225225225223,0.24624624624624625,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,P-H,P,H,333,-7.0,-3.8168168168168166,-10.0,2.0,0.36936936936936937,0.5915915915915916,0.03903903903903904,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,P-Je,P,Je,333,2.0,1.8708708708708708,0.0,3.0,0.7177177177177178,0.12312312312312312,0.15915915915915915,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,P-Jw,P,Jw,333,-3.0,-3.1321321321321323,-5.0,-2.0,0.11711711711711711,0.8378378378378378,0.04504504504504504,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,V-H,V,H,333,-8.0,-4.591591591591592,-11.0,1.0,0.3183183183183183,0.6096096096096096,0.07207207207207207,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,V-Je,V,Je,333,1.0,1.0960960960960962,0.0,2.0,0.6396396396396397,0.2072072072072072,0.15315315315315314,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,V-Jw,V,Jw,333,-4.0,-3.906906906906907,-6.0,-2.0,0.08108108108108109,0.8708708708708709,0.04804804804804805,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,H-Je,H,Je,333,10.0,5.687687687687688,-1.0,12.0,0.6336336336336337,0.2882882882882883,0.07807807807807808,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,H-Jw,H,Jw,333,3.0,0.6846846846846847,-6.0,7.0,0.5705705705705706,0.4174174174174174,0.012012012012012012,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,Je-Jw,Je,Jw,333,-5.0,-5.003003003003003,-7.0,-4.0,0.06306306306306306,0.9279279279279279,0.009009009009009009,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,P-V,P,V,333,1.0,1.042042042042042,0.0,2.0,0.5555555555555556,0.18018018018018017,0.26426426426426425,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,P-H,P,H,333,-8.0,-5.891891891891892,-11.0,-2.0,0.2072072072072072,0.7747747747747747,0.018018018018018018,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,P-Je,P,Je,333,2.0,2.012012012012012,0.0,4.0,0.7147147147147147,0.10510510510510511,0.18018018018018017,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,P-Jw,P,Jw,333,-2.0,-1.5765765765765767,-4.0,0.0,0.24624624624624625,0.6636636636636637,0.09009009009009009,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,V-H,V,H,333,-9.0,-6.933933933933934,-12.0,-3.0,0.17117117117117117,0.7987987987987988,0.03003003003003003,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,V-Je,V,Je,333,1.0,0.96996996996997,0.0,2.0,0.6006006006006006,0.23723723723723725,0.16216216216216217,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,V-Jw,V,Jw,333,-3.0,-2.6186186186186187,-5.0,-1.0,0.1921921921921922,0.7537537537537538,0.05405405405405406,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,H-Je,H,Je,333,11.0,7.903903903903904,5.0,12.0,0.7837837837837838,0.1921921921921922,0.024024024024024024,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,H-Jw,H,Jw,333,6.0,4.315315315315315,1.0,9.0,0.7567567567567568,0.21921921921921922,0.024024024024024024,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,Je-Jw,Je,Jw,333,-4.0,-3.5885885885885886,-6.0,-1.0,0.16216216216216217,0.7927927927927928,0.04504504504504504,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,P-V,P,V,334,1.0,1.5688622754491017,0.0,3.0,0.6916167664670658,0.12574850299401197,0.18263473053892215,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,P-H,P,H,334,-8.0,-4.748502994011976,-10.0,1.0,0.26646706586826346,0.7125748502994012,0.020958083832335328,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,P-Je,P,Je,334,1.0,1.7425149700598803,0.0,3.0,0.655688622754491,0.1347305389221557,0.20958083832335328,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,P-Jw,P,Jw,334,2.0,1.973053892215569,0.0,4.0,0.7005988023952096,0.2275449101796407,0.0718562874251497,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,V-H,V,H,334,-10.0,-6.317365269461078,-12.0,-1.0,0.218562874251497,0.7514970059880239,0.029940119760479042,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,V-Je,V,Je,334,0.0,0.17365269461077845,-1.0,2.0,0.46407185628742514,0.3413173652694611,0.19461077844311378,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,V-Jw,V,Jw,334,1.0,0.4041916167664671,-2.0,3.0,0.5688622754491018,0.3532934131736527,0.07784431137724551,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,H-Je,H,Je,334,10.0,6.491017964071856,-1.0,12.0,0.7155688622754491,0.25449101796407186,0.029940119760479042,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,H-Jw,H,Jw,334,9.0,6.721556886227545,1.0,13.0,0.7574850299401198,0.2215568862275449,0.020958083832335328,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,Je-Jw,Je,Jw,334,1.0,0.23053892215568864,-1.75,2.0,0.5089820359281437,0.3592814371257485,0.1317365269461078,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,P-V,P,V,333,0.0,0.7627627627627628,0.0,2.0,0.4864864864864865,0.23723723723723725,0.27627627627627627,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,P-H,P,H,333,-8.0,-5.342342342342342,-11.0,1.0,0.2672672672672673,0.6966966966966966,0.036036036036036036,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,P-Je,P,Je,333,2.0,2.3453453453453452,1.0,3.0,0.8138138138138138,0.06906906906906907,0.11711711711711711,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,P-Jw,P,Jw,333,-4.0,-3.6036036036036037,-5.0,-2.0,0.06906906906906907,0.8858858858858859,0.04504504504504504,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,V-H,V,H,333,-9.0,-6.105105105105105,-11.0,0.0,0.24024024024024024,0.7207207207207207,0.03903903903903904,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,V-Je,V,Je,333,2.0,1.5825825825825826,0.0,3.0,0.7267267267267268,0.14414414414414414,0.12912912912912913,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,V-Jw,V,Jw,333,-5.0,-4.366366366366367,-6.0,-3.0,0.042042042042042045,0.9309309309309309,0.02702702702702703,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,H-Je,H,Je,333,11.0,7.687687687687688,1.0,13.0,0.7537537537537538,0.18618618618618618,0.06006006006006006,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,H-Jw,H,Jw,333,4.0,1.7387387387387387,-4.0,7.0,0.6726726726726727,0.3213213213213213,0.006006006006006006,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,Je-Jw,Je,Jw,333,-6.0,-5.948948948948949,-8.0,-5.0,0.018018018018018018,0.978978978978979,0.003003003003003003,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,P-V,P,V,333,1.0,1.015015015015015,0.0,2.0,0.5555555555555556,0.21621621621621623,0.22822822822822822,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,P-H,P,H,333,-8.0,-5.288288288288288,-10.0,0.0,0.24024024024024024,0.7447447447447447,0.015015015015015015,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,P-Je,P,Je,333,2.0,2.051051051051051,0.0,3.0,0.7117117117117117,0.12012012012012012,0.16816816816816818,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,P-Jw,P,Jw,333,-2.0,-1.2762762762762763,-4.0,1.0,0.2702702702702703,0.6336336336336337,0.0960960960960961,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,V-H,V,H,333,-9.0,-6.303303303303303,-11.0,-1.0,0.2012012012012012,0.7507507507507507,0.04804804804804805,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,V-Je,V,Je,333,1.0,1.0360360360360361,0.0,3.0,0.6156156156156156,0.21921921921921922,0.16516516516516516,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,V-Jw,V,Jw,333,-3.0,-2.2912912912912913,-5.0,0.0,0.21921921921921922,0.6906906906906907,0.09009009009009009,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,H-Je,H,Je,333,10.0,7.33933933933934,0.0,12.0,0.7417417417417418,0.21621621621621623,0.042042042042042045,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,H-Jw,H,Jw,333,6.0,4.012012012012012,0.0,9.0,0.7357357357357357,0.24324324324324326,0.021021021021021023,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,Je-Jw,Je,Jw,333,-4.0,-3.3273273273273274,-6.0,-2.0,0.15315315315315314,0.8078078078078078,0.03903903903903904,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,P-V,P,V,334,1.0,1.5538922155688624,0.0,3.0,0.655688622754491,0.16766467065868262,0.17664670658682635,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,P-H,P,H,334,-4.5,-1.8532934131736527,-10.0,5.0,0.41317365269461076,0.5538922155688623,0.03293413173652695,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,P-Je,P,Je,334,2.0,2.5508982035928143,1.0,4.0,0.7514970059880239,0.08982035928143713,0.15868263473053892,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,P-Jw,P,Jw,334,0.0,0.23652694610778444,-3.0,3.0,0.4341317365269461,0.49101796407185627,0.0748502994011976,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,V-H,V,H,334,-7.0,-3.407185628742515,-11.0,3.75,0.3652694610778443,0.5898203592814372,0.04491017964071856,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,V-Je,V,Je,334,1.0,0.9970059880239521,0.0,2.0,0.6017964071856288,0.23053892215568864,0.16766467065868262,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,V-Jw,V,Jw,334,-2.0,-1.3173652694610778,-4.0,1.0,0.32934131736526945,0.6107784431137725,0.059880239520958084,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,H-Je,H,Je,334,8.0,4.404191616766467,-2.0,12.0,0.5988023952095808,0.3562874251497006,0.04491017964071856,A_earlier,0.0,strict_99,direction_specific_99,stable,False
