window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,sequence_high,sequence_low,n_objects_with_shift_ge_threshold,max_abs_object_shift_high_low,object_with_max_abs_shift,n_pairs_with_dominant_order_change,n_pairs_total,sequence_registry_scope,evidence_stage,does_not_rerun_bootstrap,does_not_rerun_peak_detector,physical_interpretation_status,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,H(36.0) -> Jw(42.0) -> P/V(45.0/45.0) -> Je(47.0),H(37.0) -> Jw(43.0) -> P(44.0) -> Je/V(45.0/45.0),0,2.0,Je,0,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,H(36.0) -> P(44.0) -> V(45.0) -> Je/Jw(46.0/46.0),H(37.0) -> Jw(41.0) -> P/V(45.0/45.0) -> Je(46.0),1,5.0,Jw,3,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,H(36.0) -> P(44.0) -> Je/V(45.0/45.0) -> Jw(46.0),H(36.0) -> Jw(40.0) -> P/V(45.0/45.0) -> Je(46.0),1,6.0,Jw,3,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,H(37.0) -> Jw(42.0) -> P(43.0) -> Je/V(45.0/45.0),H(36.0) -> Jw(42.0) -> P(45.0) -> V(46.0) -> Je(47.0),0,2.0,Je,0,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,H(36.0) -> Jw(42.0) -> P(44.0) -> V(45.0) -> Je(47.0),H(36.0) -> Jw(43.0) -> P(45.0) -> Je/V(46.0/46.0),0,1.0,Je,1,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,H(36.0) -> P(44.0) -> V(45.0) -> Je/Jw(46.0/46.0),H(36.0) -> Jw(41.0) -> P/V(45.0/45.0) -> Je(46.0),1,5.0,Jw,3,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,H(35.0) -> Jw/P(44.0/44.0) -> Je/V(46.0/46.0),H(37.0) -> Jw(41.0) -> P/V(45.0/45.0) -> Je(46.0),1,3.0,Jw,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,H(38.0) -> Jw(41.0) -> P/V(44.0/44.0) -> Je(45.0),H(36.0) -> Jw(44.0) -> P(45.0) -> V(46.0) -> Je(47.0),1,3.0,Jw,0,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,H(36.0) -> Jw(41.0) -> P/V(44.0/44.0) -> Je(47.0),H(36.0) -> Jw(44.0) -> Je/P(45.0/45.0) -> V(46.0),1,3.0,Jw,1,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Jw_delta_peak,V-Jw,original_priority,True,H(36.0) -> P(44.0) -> V(45.0) -> Je/Jw(46.0/46.0),H(36.0) -> Jw(40.0) -> P/V(45.0/45.0) -> Je(46.0),1,6.0,Jw,3,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Je_delta_peak,H-Je,added_all_pair,False,H(77.0) -> V(79.0) -> Je/P(82.0/82.0) -> Jw(83.0),H/Je(77.0/77.0) -> Jw/P/V(81.0/81.0/81.0),1,5.0,Je,4,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Jw_delta_peak,H-Jw,original_priority,True,H(77.0) -> V(79.0) -> Je(81.0) -> P(82.0) -> Jw(84.0),H(78.0) -> Jw(79.0) -> Je(80.0) -> P/V(81.0/81.0),1,5.0,Jw,4,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W081,W081_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,H(77.0) -> Je(78.0) -> V(80.0) -> P(81.0) -> Jw(84.0),H(78.0) -> Jw/V(80.0/80.0) -> Je/P(82.0/82.0),2,4.0,Je,4,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_H_delta_peak,P-H,added_all_pair,False,H(77.0) -> V(79.0) -> Je/P(80.0/80.0) -> Jw(81.0),H(77.0) -> Je/V(81.0/81.0) -> Jw(83.0) -> P(84.0),1,4.0,P,1,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Je_delta_peak,P-Je,added_all_pair,False,H(77.0) -> V(78.0) -> P(80.0) -> Je(81.0) -> Jw(82.0),H(77.0) -> Je(78.0) -> V(82.0) -> Jw/P(83.0/83.0),3,4.0,V,4,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,H(77.0) -> V(79.0) -> Je/P(80.0/80.0) -> Jw(84.0),H(78.0) -> Je/Jw(81.0/81.0) -> V(82.0) -> P(83.0),3,3.0,Jw,4,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_V_delta_peak,P-V,original_priority,True,H(77.0) -> Je(79.0) -> P(81.0) -> Jw/V(82.0/82.0),H(77.0) -> V(78.0) -> Je(81.0) -> P(82.0) -> Jw(83.0),1,4.0,V,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_H_delta_peak,V-H,added_all_pair,False,H(77.0) -> V(78.0) -> P(80.0) -> Je/Jw(81.0/81.0),H(77.0) -> Je(80.0) -> V(82.0) -> Jw/P(83.0/83.0),2,4.0,V,3,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Je_delta_peak,V-Je,added_all_pair,False,H(77.0) -> V(78.0) -> P(81.0) -> Je/Jw(82.0/82.0),H(77.0) -> Je(78.0) -> P/V(82.0/82.0) -> Jw(83.0),2,4.0,Je,3,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Jw_delta_peak,V-Jw,original_priority,True,H(77.0) -> V(78.0) -> Je/P(81.0/81.0) -> Jw(84.0),H(78.0) -> Je(80.0) -> Jw(81.0) -> P/V(82.0/82.0),2,4.0,V,4,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W113,W113_H_vs_Je_delta_peak,H-Je,original_priority,True,Jw(109.0) -> Je/V(113.0/113.0) -> P(114.0) -> H(115.0),Je/Jw(108.0/108.0) -> P(112.0) -> H/V(115.0/115.0),1,5.0,Je,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W113,W113_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,Je(108.0) -> Jw(109.0) -> P(112.0) -> H/V(114.0/114.0),Jw(106.0) -> Je(113.0) -> P/V(114.0/114.0) -> H(115.0),2,5.0,Je,0,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
