window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,object,median_peak_day_high,q25_peak_day_high,q75_peak_day_high,median_peak_day_low,q25_peak_day_low,q75_peak_day_low,shift_high_minus_low,abs_shift_high_low,shift_ge_threshold_flag,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,H,36.0,35.0,38.0,37.0,33.0,47.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,Je,47.0,46.0,48.0,45.0,44.0,46.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,Jw,42.0,40.0,46.0,43.0,40.0,46.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,P,45.0,43.25,45.0,44.0,42.0,45.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,V,45.0,44.0,46.0,45.0,44.0,46.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,H,36.0,34.0,39.0,37.0,34.0,47.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,Je,46.0,45.0,47.0,46.0,45.0,47.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,Jw,46.0,44.0,48.0,41.0,39.0,42.0,5.0,5.0,True,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,P,44.0,43.0,45.0,45.0,43.0,45.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,V,45.0,45.0,46.0,45.0,44.0,46.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,H,36.0,34.0,45.0,36.0,34.0,46.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,Je,45.0,45.0,46.0,46.0,46.0,47.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,Jw,46.0,44.0,48.0,40.0,39.0,42.0,6.0,6.0,True,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,P,44.0,42.0,45.0,45.0,44.0,45.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,V,45.0,44.0,46.0,45.0,44.0,46.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,H,37.0,33.0,47.0,36.0,35.0,38.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,Je,45.0,44.0,46.0,47.0,46.0,48.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,Jw,42.0,40.0,45.0,42.0,40.0,46.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,P,43.0,41.0,45.0,45.0,45.0,46.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,V,45.0,43.0,45.0,46.0,45.0,47.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,H,36.0,34.0,40.0,36.0,34.0,47.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,Je,47.0,46.0,48.0,46.0,45.0,46.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,Jw,42.0,40.0,46.0,43.0,41.0,46.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,P,44.0,41.0,45.0,45.0,44.0,46.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,V,45.0,44.0,45.0,46.0,45.0,47.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,H,36.0,34.0,44.0,36.0,34.0,46.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,Je,46.0,45.0,47.0,46.0,45.0,47.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,Jw,46.0,44.0,48.0,41.0,39.0,42.0,5.0,5.0,True,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,P,44.0,41.25,45.0,45.0,44.0,46.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,V,45.0,44.0,46.0,45.0,44.0,46.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,H,35.0,34.0,45.0,37.0,35.0,46.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,Je,46.0,45.0,46.0,46.0,45.0,47.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,Jw,44.0,41.0,48.0,41.0,40.0,43.0,3.0,3.0,True,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,P,44.0,42.0,45.0,45.0,44.0,46.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_V_delta_peak,P-V,added_all_pair,False,V,46.0,45.0,46.0,45.0,44.0,46.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,H,38.0,34.0,47.0,36.0,34.0,38.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,Je,45.0,45.0,46.0,47.0,46.0,48.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,Jw,41.0,40.0,45.0,44.0,41.0,47.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,P,44.0,42.0,45.0,45.0,44.0,46.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_H_delta_peak,V-H,added_all_pair,False,V,44.0,43.0,45.0,46.0,45.0,47.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,H,36.0,34.0,40.75,36.0,34.0,47.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,Je,47.0,46.0,48.0,45.0,45.0,46.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,Jw,41.0,40.0,44.0,44.0,41.0,46.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,P,44.0,42.0,45.0,45.0,44.0,46.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Je_delta_peak,V-Je,added_all_pair,False,V,44.0,43.0,45.0,46.0,45.0,47.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Jw_delta_peak,V-Jw,original_priority,True,H,36.0,34.0,43.0,36.0,34.0,46.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Jw_delta_peak,V-Jw,original_priority,True,Je,46.0,45.0,47.0,46.0,45.0,47.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Jw_delta_peak,V-Jw,original_priority,True,Jw,46.0,44.0,48.0,40.0,39.0,42.0,6.0,6.0,True,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Jw_delta_peak,V-Jw,original_priority,True,P,44.0,42.0,45.0,45.0,44.0,46.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W045,W045_V_vs_Jw_delta_peak,V-Jw,original_priority,True,V,45.0,44.0,46.0,45.0,45.0,46.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Je_delta_peak,H-Je,added_all_pair,False,H,77.0,76.0,78.0,77.0,76.0,81.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Je_delta_peak,H-Je,added_all_pair,False,Je,82.0,80.0,85.0,77.0,75.0,81.0,5.0,5.0,True,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Je_delta_peak,H-Je,added_all_pair,False,Jw,83.0,81.0,84.0,81.0,77.0,84.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Je_delta_peak,H-Je,added_all_pair,False,P,82.0,79.0,84.0,81.0,79.0,84.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Je_delta_peak,H-Je,added_all_pair,False,V,79.0,77.0,81.0,81.0,78.0,83.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Jw_delta_peak,H-Jw,original_priority,True,H,77.0,75.0,78.0,78.0,77.0,80.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Jw_delta_peak,H-Jw,original_priority,True,Je,81.0,77.0,84.0,80.0,76.0,82.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Jw_delta_peak,H-Jw,original_priority,True,Jw,84.0,83.0,85.0,79.0,76.0,82.0,5.0,5.0,True,strict_99,direction_specific_99,stable,False
W081,W081_H_vs_Jw_delta_peak,H-Jw,original_priority,True,P,82.0,79.0,84.0,81.0,79.0,84.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
