left_out_year_index,window_id,field,anchor_day,peak_day,relative_to_anchor,peak_score,inside_accepted_window,inside_buffer_only,near_analysis_edge,left_out_year
0,W002,P,45,45,0,25.306467373007383,True,False,False,1979
0,W003,P,81,82,1,57.62538615542817,True,False,False,1979
0,W005,P,113,112,-1,23.47502447335298,True,False,False,1979
0,W007,P,160,158,-2,21.849702793763754,True,False,False,1979
0,W002,V,45,46,1,18.234400715574324,True,False,False,1979
0,W003,V,81,81,0,19.568294486046902,True,False,False,1979
0,W005,V,113,114,1,19.058255330306952,True,False,False,1979
0,W007,V,160,161,1,34.24906689280414,True,False,False,1979
0,W002,H,45,35,-10,10.486162179663712,False,True,True,1979
0,W003,H,81,77,-4,13.130255028797608,True,False,False,1979
0,W005,H,113,115,2,30.56913991717265,True,False,False,1979
0,W007,H,160,155,-5,8.851142708018287,True,False,False,1979
0,W002,Je,45,46,1,11.125683688559693,True,False,False,1979
0,W003,Je,81,91,10,7.674187973430664,False,True,True,1979
0,W005,Je,113,110,-3,16.427009908759004,True,False,False,1979
0,W007,Je,160,161,1,20.468688981799872,True,False,False,1979
0,W002,Jw,45,42,-3,11.448312686023872,True,False,False,1979
0,W003,Jw,81,83,2,15.253994818032641,True,False,False,1979
0,W005,Jw,113,104,-9,25.576894661978265,False,True,False,1979
0,W007,Jw,160,153,-7,11.25358977876701,False,True,False,1979
1,W002,P,45,45,0,26.41412836424528,True,False,False,1980
1,W003,P,81,82,1,59.946201853045224,True,False,False,1980
1,W005,P,113,113,0,28.9544009967575,True,False,False,1980
1,W007,P,160,158,-2,18.940233716405896,True,False,False,1980
1,W002,V,45,45,0,18.23269581178021,True,False,False,1980
1,W003,V,81,80,-1,21.369826089880455,True,False,False,1980
1,W005,V,113,114,1,21.274820939979218,True,False,False,1980
1,W007,V,160,161,1,33.53071632093149,True,False,False,1980
1,W002,H,45,35,-10,10.079109156352953,False,True,True,1980
1,W003,H,81,77,-4,13.593833640456019,True,False,False,1980
1,W005,H,113,115,2,35.24854770216211,True,False,False,1980
1,W007,H,160,155,-5,12.105814098573058,True,False,False,1980
1,W002,Je,45,46,1,12.857171227721686,True,False,False,1980
1,W003,Je,81,91,10,7.242167905748797,False,True,True,1980
1,W005,Je,113,112,-1,16.827662160443992,True,False,False,1980
1,W007,Je,160,161,1,21.49257346689166,True,False,False,1980
1,W002,Jw,45,41,-4,12.09629070328154,True,False,False,1980
1,W003,Jw,81,81,0,13.5184519035379,True,False,False,1980
1,W005,Jw,113,108,-5,23.666329270728617,True,False,False,1980
1,W007,Jw,160,152,-8,11.356860031419625,False,True,False,1980
2,W002,P,45,45,0,27.713898746136657,True,False,False,1981
2,W003,P,81,82,1,59.436777468148904,True,False,False,1981
2,W005,P,113,113,0,27.959784556075252,True,False,False,1981
2,W007,P,160,157,-3,19.000220579746408,True,False,False,1981
2,W002,V,45,45,0,19.965109262891122,True,False,False,1981
2,W003,V,81,79,-2,19.11168353551519,True,False,False,1981
2,W005,V,113,114,1,21.095737383158635,True,False,False,1981
2,W007,V,160,161,1,31.1154791263681,True,False,False,1981
2,W002,H,45,35,-10,11.431076829853161,False,True,True,1981
2,W003,H,81,77,-4,12.848873096938359,True,False,False,1981
2,W005,H,113,115,2,35.90041126629201,True,False,False,1981
2,W007,H,160,154,-6,8.072043878025875,False,True,False,1981
2,W002,Je,45,46,1,11.273084505578002,True,False,False,1981
2,W003,Je,81,91,10,6.3970537841659,False,True,True,1981
2,W005,Je,113,112,-1,16.893552272712085,True,False,False,1981
2,W007,Je,160,162,2,22.50835756756298,True,False,False,1981
2,W002,Jw,45,41,-4,10.799750604727365,True,False,False,1981
2,W003,Jw,81,83,2,16.99689260389907,True,False,False,1981
2,W005,Jw,113,108,-5,24.78748511155819,True,False,False,1981
2,W007,Jw,160,152,-8,12.09382379787726,False,True,False,1981
3,W002,P,45,45,0,28.595077070320702,True,False,False,1982
3,W003,P,81,82,1,61.82977376365372,True,False,False,1982
3,W005,P,113,112,-1,24.531493420409177,True,False,False,1982
3,W007,P,160,158,-2,21.304793375955555,True,False,False,1982
3,W002,V,45,45,0,20.90782827082739,True,False,False,1982
3,W003,V,81,80,-1,23.21619010987774,True,False,False,1982
3,W005,V,113,114,1,19.079735583323355,True,False,False,1982
3,W007,V,160,161,1,34.30058085226832,True,False,False,1982
3,W002,H,45,35,-10,8.877490304397144,False,True,True,1982
3,W003,H,81,77,-4,14.722729626156184,True,False,False,1982
3,W005,H,113,115,2,31.46476208227754,True,False,False,1982
3,W007,H,160,154,-6,9.529551462995304,False,True,False,1982
3,W002,Je,45,46,1,11.344100357580125,True,False,False,1982
