bootstrap_id,sampled_year_indices
0,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
1,44;30;6;29;18;30;0;37;39;4;30;1;16;1;30;28;35;9;21;13;40;42;39;42;18;3;34;8;9;36;25;10;35;39;35;7;34;42;4;4;6;34;15;13;43
2,19;31;19;25;42;8;9;17;9;2;7;28;14;38;40;38;21;33;22;12;20;17;26;11;25;25;29;4;7;19;41;44;44;12;8;43;4;30;19;31;17;23;39;6;35
3,7;27;24;20;44;9;34;24;4;1;20;30;0;29;30;16;6;3;44;30;17;17;35;22;5;39;19;34;28;16;23;8;0;10;7;39;6;7;29;32;19;43;33;7;25
4,13;14;19;9;5;10;5;32;26;23;41;29;23;3;24;7;15;7;22;15;22;35;24;37;20;27;35;29;10;10;37;20;12;18;35;21;30;43;16;43;15;15;16;1;17
5,1;6;14;21;5;38;15;27;5;31;0;9;17;14;5;24;44;7;11;20;22;0;28;12;25;19;10;15;1;17;32;6;29;44;4;40;6;29;44;25;13;34;42;11;44
6,36;18;23;35;41;19;0;40;11;12;18;44;24;32;3;37;6;1;37;18;5;31;16;7;36;37;4;24;8;36;9;38;20;10;28;17;34;9;16;2;17;2;28;11;34
7,43;30;23;7;6;14;26;44;42;0;33;24;43;6;18;36;33;11;7;0;23;42;26;39;34;9;1;31;20;39;2;40;43;42;31;8;19;44;6;5;27;42;41;9;1
8,40;29;8;7;7;4;40;23;26;40;0;8;31;37;15;14;11;13;12;22;29;19;14;28;17;33;37;18;4;22;44;16;42;15;13;26;31;18;29;3;0;38;20;1;2
9,2;18;37;24;36;9;20;31;44;37;15;23;11;8;40;31;24;27;9;40;34;31;40;36;11;6;19;33;30;5;9;42;7;23;26;16;35;16;38;29;25;6;9;6;44
10,2;18;35;37;6;14;17;44;43;40;22;20;28;36;14;44;24;20;22;35;31;9;33;34;17;14;0;9;22;4;0;24;13;6;9;37;37;33;17;29;23;24;42;5;33
11,12;4;43;27;26;24;26;38;37;26;17;42;11;20;13;44;32;39;19;2;20;25;41;10;31;9;2;33;39;21;5;25;33;9;4;28;11;9;4;9;33;10;25;19;16
12,9;38;26;37;24;18;13;16;8;33;35;35;35;1;43;41;19;30;19;24;0;3;12;17;32;44;42;28;36;19;14;44;36;21;33;32;27;27;17;10;37;11;30;0;20
13,18;20;29;1;38;27;34;2;40;34;39;4;32;11;2;2;30;25;36;43;41;31;15;4;23;27;11;38;23;34;36;19;44;39;20;6;25;19;18;9;17;32;2;10;12
14,40;44;16;38;37;19;5;36;40;14;13;31;34;11;4;12;6;42;26;35;37;7;12;36;13;27;12;33;32;13;17;32;30;5;23;16;19;29;0;6;37;9;8;14;16
15,43;1;18;41;23;34;42;1;32;33;42;37;34;18;14;6;27;15;30;10;0;32;31;33;0;20;44;36;20;28;3;22;34;3;20;10;43;38;21;33;6;39;7;16;17
16,29;6;18;11;1;13;20;20;35;39;13;14;40;6;10;18;44;18;29;31;7;35;0;26;7;26;37;9;9;9;9;36;10;41;5;17;42;39;10;17;28;37;29;10;4
17,26;12;1;40;40;18;44;8;27;12;33;32;17;3;36;40;10;20;1;36;10;6;25;11;0;17;18;41;11;22;28;26;26;19;33;8;15;39;14;17;36;11;19;1;27
18,34;11;5;20;10;21;41;29;0;22;4;11;33;34;13;35;2;9;26;20;5;6;28;17;15;28;38;3;4;10;43;7;35;14;43;33;30;31;3;28;18;34;28;5;33
19,3;21;30;32;6;21;29;26;44;35;11;12;39;29;17;30;19;14;29;23;31;36;37;24;5;29;44;20;29;4;38;18;12;38;38;30;5;18;30;20;12;4;22;44;14
20,30;6;37;33;5;40;31;3;43;37;9;33;35;18;11;20;16;5;41;33;20;22;16;37;0;42;3;8;15;16;37;14;34;3;33;23;16;35;16;37;29;37;5;6;41
21,2;7;21;25;5;11;25;42;3;18;14;39;30;33;2;23;25;29;40;20;6;31;16;28;23;11;34;32;3;44;10;27;8;9;39;14;9;26;34;5;1;22;4;22;22
22,2;42;19;24;3;24;22;7;15;20;18;16;38;12;9;29;27;35;10;2;23;30;23;28;13;4;6;20;34;1;6;8;20;33;26;13;22;40;14;23;43;10;13;39;43
23,25;4;31;4;26;17;7;3;30;25;5;33;17;19;2;42;41;25;24;3;23;37;15;24;20;22;44;26;40;16;18;23;0;13;9;14;37;36;39;38;32;3;44;43;7
24,34;32;38;10;31;17;11;29;44;11;3;3;13;39;23;25;21;33;6;4;1;37;9;33;1;30;17;8;21;4;25;33;27;39;38;6;25;27;9;42;24;26;22;0;14
25,25;10;32;29;15;41;18;8;15;2;34;20;4;36;13;19;15;30;8;40;38;30;13;13;11;34;44;10;34;5;18;2;29;21;19;40;2;31;41;15;26;21;28;31;5
26,42;6;30;16;18;43;7;6;9;25;11;37;13;24;27;14;41;8;21;14;33;38;42;39;17;40;14;24;3;40;39;4;25;26;10;10;9;21;31;25;3;3;2;31;19
27,37;4;27;36;21;3;20;7;2;24;23;4;16;43;23;3;36;3;37;6;21;17;18;5;38;27;39;26;36;33;29;14;35;2;19;22;40;12;9;24;44;30;11;24;13
28,29;38;13;38;37;36;35;9;15;25;7;40;22;1;42;40;25;38;6;30;36;37;35;30;9;41;24;19;21;16;18;38;1;0;18;25;27;4;22;26;36;26;12;23;44
29,41;8;20;33;25;11;41;20;19;20;22;18;13;40;25;7;4;39;34;40;28;0;32;32;38;41;26;27;33;18;29;34;24;44;24;40;22;38;24;43;10;16;0;30;11
30,21;35;39;15;11;37;44;10;9;1;35;44;32;19;39;21;13;24;19;30;7;7;37;32;0;8;20;28;28;27;8;24;20;23;8;36;17;2;38;3;43;17;21;21;8
31,13;35;25;37;33;39;43;10;6;22;3;27;19;0;20;25;33;3;13;19;29;33;12;41;26;3;34;44;36;0;12;37;8;0;28;28;9;37;38;12;35;1;22;41;6
32,10;40;4;8;5;20;32;16;29;22;41;36;20;35;9;2;19;24;21;41;18;3;6;3;16;3;13;38;33;28;24;17;1;24;10;44;23;38;23;38;26;10;31;22;22
33,20;44;44;29;44;30;30;6;10;21;24;3;2;40;23;11;0;18;6;39;27;43;37;21;21;6;19;42;20;30;22;25;19;12;11;14;19;29;24;33;13;20;36;31;26
34,9;21;26;40;23;42;0;9;19;24;1;36;35;8;27;2;1;2;5;15;41;31;23;9;13;12;27;0;44;33;13;39;21;28;28;27;2;7;9;9;33;3;32;6;6
35,24;32;4;14;15;16;44;33;8;43;29;43;37;26;14;24;31;37;12;44;7;1;17;44;37;40;10;4;38;25;17;38;20;31;29;14;15;34;44;44;22;39;21;37;3
36,39;39;25;3;29;0;19;25;13;0;41;1;39;29;17;11;20;32;1;4;8;19;29;30;7;33;34;17;20;16;29;11;25;29;27;43;41;29;21;10;44;1;26;8;25
37,18;30;12;31;21;9;27;24;3;38;20;32;37;31;13;38;43;41;24;26;10;33;25;14;18;40;1;2;24;15;26;22;31;38;12;41;22;18;36;44;29;17;10;6;6
38,1;30;0;29;27;6;1;11;12;26;28;23;36;16;3;25;9;8;25;29;15;33;35;30;37;37;6;36;33;30;12;20;42;24;14;36;42;24;14;30;33;14;21;5;37
39,27;43;17;34;5;37;32;25;12;23;11;42;2;33;34;15;23;17;2;41;32;44;23;44;21;15;33;10;7;37;38;31;15;1;29;11;17;44;36;6;0;7;23;9;23
40,16;38;19;33;7;31;29;15;16;18;5;18;22;13;36;16;27;7;37;24;31;27;25;39;6;39;35;38;6;9;34;10;34;26;4;20;24;11;30;11;25;9;24;28;43
41,42;22;3;2;34;24;27;15;16;19;16;34;19;10;33;19;38;32;41;13;40;39;27;27;28;19;33;30;12;30;6;32;23;12;41;30;20;38;21;24;13;4;40;36;42
42,25;43;21;42;24;15;34;17;1;43;38;34;7;20;9;8;26;35;0;38;34;44;43;20;34;32;0;42;36;23;43;20;28;30;8;31;43;0;1;23;3;33;16;17;27
43,6;27;18;28;44;17;10;2;10;28;26;19;23;21;25;37;29;0;12;43;21;40;8;43;13;5;12;6;41;12;24;10;32;8;19;34;30;34;31;36;24;38;35;28;31
44,33;16;16;20;21;44;35;41;13;29;9;13;41;9;27;38;44;7;4;31;44;17;30;38;27;31;35;36;41;21;3;9;16;8;15;15;37;2;17;8;19;29;27;0;35
45,33;41;14;31;4;20;2;41;32;19;9;0;22;1;3;26;6;36;7;39;36;3;34;30;14;32;8;4;14;13;38;44;8;44;19;29;24;26;30;44;39;33;5;26;31
46,27;22;13;43;44;0;14;6;43;2;31;28;23;23;3;3;41;30;40;18;33;7;5;12;31;30;32;25;7;35;29;11;28;19;9;41;41;17;12;27;31;31;28;41;8
47,3;24;41;33;11;5;26;32;8;29;25;14;36;18;9;8;18;3;32;28;35;8;35;16;27;5;7;23;28;44;41;12;18;20;37;22;37;13;14;2;12;24;33;12;43
48,23;38;25;5;19;3;4;12;23;27;38;25;8;33;6;10;20;25;24;1;26;1;22;18;38;19;10;7;30;23;2;24;41;22;43;37;1;33;25;16;17;29;39;13;44
49,17;27;42;34;17;27;7;7;0;17;31;29;21;32;39;13;38;15;17;31;15;40;6;33;13;32;43;31;24;18;10;22;5;4;22;24;0;16;42;25;0;3;31;21;6
50,1;0;31;1;32;15;7;40;15;8;0;38;44;15;35;27;32;27;34;24;40;4;20;43;42;18;0;32;38;3;22;20;8;1;26;31;6;2;14;10;3;21;41;32;3
51,3;41;7;30;26;41;1;0;39;37;36;31;29;33;0;16;43;10;40;11;29;1;38;43;24;32;27;8;33;9;2;27;34;36;23;12;28;26;42;0;7;8;0;21;14
52,31;37;19;31;25;35;2;36;44;34;29;14;8;18;18;6;0;22;38;31;15;26;26;1;30;41;5;35;2;19;39;33;5;43;11;32;15;3;25;38;16;10;8;34;30
53,34;40;1;18;31;17;41;42;4;44;7;2;32;25;30;20;28;28;2;24;27;12;23;8;27;29;18;40;9;29;38;25;5;6;16;15;15;19;30;36;8;18;20;4;4
54,26;6;33;15;19;35;19;42;31;12;30;23;22;8;36;32;42;27;19;15;9;20;21;1;16;32;18;35;15;35;23;1;12;0;24;7;37;9;37;41;1;0;24;16;21
55,44;1;15;3;31;20;40;21;39;28;19;42;18;38;27;21;12;40;39;18;18;18;32;38;7;41;10;5;17;42;4;20;36;13;17;15;37;31;20;43;26;31;7;4;11
56,28;27;8;6;27;30;37;19;1;10;37;44;39;13;33;34;17;25;9;2;13;2;0;5;30;30;4;31;23;2;15;26;42;18;2;18;31;36;0;0;1;31;32;6;6
57,43;38;20;28;15;15;42;42;22;11;15;13;41;24;21;30;8;1;4;20;6;16;41;11;21;40;42;9;43;3;9;12;1;35;29;9;18;7;7;9;42;7;18;28;34
58,39;13;11;17;20;44;22;24;20;31;18;10;16;30;39;36;6;17;3;26;9;33;37;2;28;34;11;29;0;19;2;25;34;32;17;7;26;22;26;43;33;24;6;5;30
59,25;43;1;7;15;4;2;11;37;37;40;41;41;2;12;27;37;5;39;31;34;9;31;1;38;34;4;1;37;2;5;16;18;2;2;35;31;43;22;13;8;28;11;38;1
60,5;33;19;32;42;26;29;32;12;41;42;8;41;0;20;18;37;26;34;8;43;28;6;39;28;3;36;29;44;37;29;38;29;8;1;11;2;25;29;38;23;27;18;35;27
61,33;0;4;14;34;18;8;43;29;29;11;41;34;13;14;37;38;2;27;5;0;42;25;25;12;22;7;38;27;17;31;28;11;9;14;8;24;18;21;44;42;18;28;42;10
62,34;0;36;44;31;16;21;27;29;23;14;12;2;33;6;29;24;43;22;25;2;27;29;33;2;24;23;7;14;37;16;16;30;29;16;7;1;31;20;25;25;22;6;11;9
63,12;41;4;12;19;42;9;38;16;30;34;22;30;3;35;18;28;26;30;1;7;5;1;1;36;12;8;21;22;22;27;43;43;36;37;40;33;20;23;6;44;6;1;44;18
64,42;16;39;28;41;39;38;15;30;13;34;1;9;29;27;30;28;16;36;11;0;19;39;7;23;12;20;11;40;8;3;14;44;29;36;6;24;18;16;18;12;23;8;15;4
65,43;32;25;20;13;38;27;42;1;30;15;27;11;43;39;25;31;19;5;29;33;32;1;42;33;28;14;43;20;38;26;5;28;14;30;42;21;37;39;16;9;42;27;40;32
66,6;7;33;33;9;25;26;34;31;23;19;23;9;16;32;27;34;7;1;16;13;0;25;8;13;5;42;6;39;11;27;17;10;5;18;13;12;17;16;43;28;4;41;21;38
67,15;3;3;14;4;44;9;17;27;22;22;19;23;8;4;30;23;24;6;20;40;30;17;8;0;4;34;3;7;37;12;42;20;38;24;0;17;29;8;41;40;22;0;12;5
68,17;28;36;1;1;22;43;39;8;21;43;28;3;0;36;12;18;32;6;33;28;44;27;14;32;16;1;22;42;22;19;42;11;30;31;27;34;5;9;15;26;10;38;24;30
69,29;13;2;44;29;20;41;24;30;2;26;39;13;2;20;31;27;14;38;23;24;30;6;18;10;17;41;34;5;35;20;11;3;42;31;30;12;32;7;9;39;34;40;43;21
70,7;15;3;12;24;27;0;24;32;38;35;24;32;39;8;32;19;22;41;32;32;10;14;9;7;21;6;19;15;22;37;40;4;39;7;19;37;18;30;27;25;8;31;8;0
71,18;30;5;22;29;3;10;19;36;2;28;28;33;23;3;22;7;1;3;22;7;31;27;11;34;0;18;8;42;2;26;41;12;26;43;1;1;3;17;7;13;15;24;38;11
72,40;1;0;29;42;18;21;9;19;41;3;12;25;39;44;28;20;8;18;28;13;5;44;33;35;33;16;2;10;14;33;44;38;42;9;35;43;21;28;1;21;36;10;41;38
73,17;8;25;8;15;35;26;18;29;34;38;33;42;6;12;32;2;29;30;9;1;24;12;22;8;40;24;7;1;40;41;22;25;14;19;38;42;3;16;5;4;21;31;6;7
74,21;16;0;18;25;21;6;16;41;39;42;38;10;41;33;24;19;27;36;15;27;33;26;30;10;6;12;8;0;13;14;23;27;20;13;26;31;14;4;28;17;22;0;35;10
75,37;23;5;42;24;41;4;15;37;24;30;2;31;21;19;33;37;18;19;13;11;36;7;6;7;13;21;11;17;29;22;11;6;42;25;31;38;12;9;25;21;14;33;26;33
76,15;38;36;11;2;14;27;34;0;22;20;20;29;12;15;12;40;21;30;18;16;9;30;40;43;21;35;11;20;30;26;11;36;17;7;21;2;29;20;18;17;9;20;44;6
77,34;10;0;1;4;42;4;39;13;22;10;23;35;30;44;20;11;40;9;37;18;16;19;28;13;9;19;14;3;20;14;1;22;15;32;18;38;5;31;2;16;15;10;16;37
78,33;21;18;10;18;9;19;11;15;18;1;16;14;29;34;23;1;35;36;2;19;17;5;15;31;15;27;43;43;12;17;32;44;26;36;16;12;10;25;28;27;18;22;22;18
79,11;29;41;11;13;1;38;34;42;25;43;8;17;41;28;39;18;19;40;27;11;3;26;41;34;22;12;20;38;5;24;34;25;43;25;44;32;6;24;16;28;21;26;32;17
80,31;19;40;35;22;14;39;32;10;3;41;37;33;13;17;18;0;16;10;12;39;34;23;20;25;23;15;43;5;14;12;18;30;35;41;15;26;19;43;19;10;8;5;18;41
81,11;7;3;25;31;1;9;24;27;22;15;1;15;13;37;30;37;26;32;4;25;41;3;35;30;11;4;29;36;22;34;16;34;13;39;39;6;37;25;13;1;28;29;14;22
82,39;0;23;8;33;3;25;17;0;9;40;40;2;29;43;9;4;8;12;19;15;2;43;13;20;3;37;22;9;26;35;7;21;20;1;0;23;32;16;23;6;27;16;9;23
83,10;28;8;41;40;21;21;15;21;40;35;22;19;31;3;4;10;41;26;28;18;34;23;13;39;3;15;43;2;23;40;0;23;1;27;31;29;30;41;28;34;7;13;5;32
84,10;12;9;6;26;33;11;3;33;18;10;16;37;19;20;42;5;41;40;23;40;42;18;27;31;23;0;22;13;3;28;23;5;14;1;9;33;17;0;4;2;7;38;1;0
85,0;0;9;16;23;8;32;33;20;12;37;1;34;9;1;8;24;13;12;23;28;37;43;36;10;0;4;27;15;2;0;14;9;11;3;36;20;29;2;43;19;25;30;3;0
86,31;19;39;32;13;40;18;3;26;25;33;18;17;11;10;21;6;1;24;43;43;22;39;43;10;27;41;19;26;3;34;5;23;26;29;36;22;42;12;26;31;29;19;4;43
87,8;11;17;35;6;13;14;1;10;23;3;18;30;44;29;10;42;30;42;21;29;41;38;25;31;6;18;3;20;25;22;8;34;20;21;44;11;27;7;27;31;40;39;20;37
88,32;6;29;0;41;4;27;0;2;10;7;16;9;2;8;22;10;31;15;22;6;10;17;34;22;22;10;18;8;12;42;39;4;9;6;30;33;22;37;18;14;6;4;15;32
89,26;41;30;34;18;31;28;18;3;37;18;42;14;16;19;21;43;25;14;18;4;18;6;12;36;3;29;40;2;7;30;6;37;43;0;18;9;10;41;39;36;23;11;42;10
90,1;21;23;14;25;44;42;36;12;6;32;33;3;27;4;25;6;43;10;1;7;42;5;0;15;22;10;41;40;18;31;9;44;21;13;42;40;37;36;23;23;1;4;7;41
91,9;20;16;9;27;36;12;4;40;4;42;3;3;14;29;5;20;34;35;32;26;24;2;33;13;27;23;17;27;11;24;34;29;1;10;4;21;0;35;2;31;0;5;1;33
92,27;30;22;6;22;31;8;43;26;27;21;10;44;1;28;23;30;40;12;1;12;14;5;11;9;28;4;24;37;36;7;6;25;5;18;39;17;43;4;31;34;23;32;22;44
93,37;39;14;15;4;1;10;18;41;36;34;2;2;21;39;43;12;25;35;5;34;1;12;17;13;14;10;14;34;20;19;7;11;13;1;21;14;16;40;8;42;19;25;41;10
94,16;1;31;43;24;21;10;2;0;37;2;1;6;40;6;20;18;43;32;15;7;37;7;6;12;26;6;12;32;34;10;3;37;7;11;40;29;41;20;1;25;12;11;43;34
95,36;29;9;22;30;14;28;41;29;17;37;19;3;19;32;6;23;17;34;17;5;44;14;30;1;27;29;3;20;21;19;17;15;20;35;10;12;39;34;1;20;9;24;7;6
96,31;11;36;25;37;4;22;25;19;33;11;35;3;13;8;5;2;43;31;32;10;5;36;33;36;12;38;26;42;29;38;6;0;21;11;5;43;16;30;26;4;42;0;43;13
97,28;14;24;2;41;17;14;7;20;7;40;24;6;4;32;10;22;35;20;13;38;41;7;2;34;16;3;31;37;7;20;42;35;17;10;10;9;4;37;10;31;34;10;26;1
98,12;44;0;2;16;17;36;29;28;21;40;17;11;41;18;29;8;17;9;35;43;23;16;42;31;44;4;32;8;33;26;24;44;37;41;19;41;35;38;25;22;18;16;43;19
