bootstrap_id,window_id,field,anchor_day,peak_day,relative_to_anchor,peak_score,inside_accepted_window,inside_buffer_only,near_analysis_edge
0,W002,P,45,45,0,34.42319839170595,True,False,False
0,W003,P,81,79,-2,56.28242823570297,True,False,False
0,W005,P,113,113,0,48.681276718956575,True,False,False
0,W007,P,160,159,-1,14.222725710414483,True,False,False
0,W002,V,45,45,0,25.412302834347553,True,False,False
0,W003,V,81,76,-5,24.134665955324724,True,False,False
0,W005,V,113,113,0,19.031253447043827,True,False,False
0,W007,V,160,161,1,35.54272490380023,True,False,False
0,W002,H,45,35,-10,13.753260942599645,False,True,True
0,W003,H,81,75,-6,11.860156798826434,True,False,False
0,W005,H,113,115,2,40.8671564657209,True,False,False
0,W007,H,160,155,-5,8.92507877594895,True,False,False
0,W002,Je,45,45,0,17.74211654108308,True,False,False
0,W003,Je,81,91,10,6.414093185473627,False,True,True
0,W005,Je,113,109,-4,18.35829524416804,True,False,False
0,W007,Je,160,159,-1,17.647092313219296,True,False,False
0,W002,Jw,45,39,-6,11.186609158950283,False,True,False
0,W003,Jw,81,83,2,21.098251777015133,True,False,False
0,W005,Jw,113,109,-4,22.622972146151284,True,False,False
0,W007,Jw,160,151,-9,36.00345204160013,False,True,True
1,W002,P,45,46,1,23.398721634014468,True,False,False
1,W003,P,81,80,-1,60.256445892971556,True,False,False
1,W005,P,113,102,-11,70.18688595561093,False,True,True
1,W007,P,160,155,-5,31.584227218166735,True,False,False
1,W002,V,45,35,-10,20.27504022532324,False,True,True
1,W003,V,81,76,-5,28.97871624449692,True,False,False
1,W005,V,113,114,1,30.749697868021244,True,False,False
1,W007,V,160,168,8,35.66149636492882,False,True,True
1,W002,H,45,36,-9,10.687236768412069,False,True,True
1,W003,H,81,75,-6,15.674808399658893,True,False,False
1,W005,H,113,116,3,31.093532191180365,True,False,False
1,W007,H,160,155,-5,3.6243549545415266,True,False,False
1,W002,Je,45,49,4,11.916663967422734,False,True,False
1,W003,Je,81,91,10,10.722028759957453,False,True,True
1,W005,Je,113,110,-3,23.799762959684816,True,False,False
1,W007,Je,160,162,2,24.71859288824468,True,False,False
1,W002,Jw,45,42,-3,27.01975325333004,True,False,False
1,W003,Jw,81,79,-2,16.613045027919384,True,False,False
1,W005,Jw,113,108,-5,32.10963100284877,True,False,False
1,W007,Jw,160,168,8,21.234895678134066,False,True,True
2,W002,P,45,44,-1,35.71003621988356,True,False,False
2,W003,P,81,86,5,105.16676300280878,True,False,False
2,W005,P,113,111,-2,30.08313346068311,True,False,False
2,W007,P,160,164,4,17.581444258323046,True,False,False
2,W002,V,45,45,0,26.36383707376409,True,False,False
2,W003,V,81,73,-8,29.457922769450438,False,True,False
2,W005,V,113,115,2,20.405988304463165,True,False,False
2,W007,V,160,168,8,24.073222716640636,False,True,True
2,W002,H,45,35,-10,5.6204266416645,False,True,True
2,W003,H,81,82,1,13.81063812207178,True,False,False
2,W005,H,113,113,0,35.320813783312424,True,False,False
2,W007,H,160,154,-6,6.9861410899675125,False,True,False
2,W002,Je,45,45,0,8.00089828528588,True,False,False
2,W003,Je,81,87,6,9.116111102091818,False,True,False
2,W005,Je,113,113,0,17.021754026085773,True,False,False
2,W007,Je,160,161,1,19.557029864714114,True,False,False
2,W002,Jw,45,49,4,20.568678089444532,False,True,False
2,W003,Jw,81,85,4,18.718953534270824,True,False,False
2,W005,Jw,113,102,-11,31.436587221704862,False,True,True
2,W007,Jw,160,150,-10,14.17780688232639,False,True,True
3,W002,P,45,43,-2,29.499518245785424,True,False,False
3,W003,P,81,77,-4,67.1181298783282,True,False,False
3,W005,P,113,116,3,26.085954014570717,True,False,False
3,W007,P,160,155,-5,30.562568301748314,True,False,False
3,W002,V,45,45,0,19.151740644870834,True,False,False
3,W003,V,81,77,-4,40.62396276167586,True,False,False
3,W005,V,113,114,1,34.5208810323805,True,False,False
3,W007,V,160,168,8,42.25317213400755,False,True,True
3,W002,H,45,39,-6,5.798837912566064,False,True,False
3,W003,H,81,76,-5,22.524848774250987,True,False,False
3,W005,H,113,116,3,73.96946818237336,True,False,False
3,W007,H,160,154,-6,12.830398752890002,False,True,False
3,W002,Je,45,53,8,6.1875124562430965,False,True,True
3,W003,Je,81,77,-4,9.643161954410818,True,False,False
3,W005,Je,113,113,0,28.303453538724423,True,False,False
3,W007,Je,160,162,2,23.981640559471995,True,False,False
3,W002,Jw,45,46,1,14.38643840105366,True,False,False
3,W003,Jw,81,85,4,16.409407024188095,True,False,False
3,W005,Jw,113,108,-5,35.83719091172513,True,False,False
3,W007,Jw,160,168,8,18.355992816403386,False,True,True
4,W002,P,45,45,0,28.636341466963714,True,False,False
4,W003,P,81,81,0,74.35730861508685,True,False,False
4,W005,P,113,114,1,25.130994069330228,True,False,False
4,W007,P,160,155,-5,20.70070195213698,True,False,False
4,W002,V,45,47,2,18.433698586253822,True,False,False
4,W003,V,81,82,1,17.66138313815506,True,False,False
4,W005,V,113,114,1,31.48823914305801,True,False,False
4,W007,V,160,162,2,35.23361504029163,True,False,False
4,W002,H,45,36,-9,11.72308238868693,False,True,True
4,W003,H,81,91,10,24.942041595358106,False,True,True
4,W005,H,113,114,1,54.74009514413247,True,False,False
4,W007,H,160,165,5,3.7258039193005303,False,True,False
4,W002,Je,45,46,1,15.733662246269056,True,False,False
4,W003,Je,81,91,10,8.585145513855874,False,True,True
4,W005,Je,113,111,-2,20.139839105357087,True,False,False
4,W007,Je,160,161,1,26.236943829041845,True,False,False
4,W002,Jw,45,41,-4,11.498219141864482,True,False,False
4,W003,Jw,81,91,10,19.273906885012472,False,True,True
4,W005,Jw,113,107,-6,19.68153290496919,True,False,False
4,W007,Jw,160,154,-6,21.068649059046713,False,True,False
5,W002,P,45,45,0,28.90347383637684,True,False,False
5,W003,P,81,87,6,62.89338940257588,False,True,False
5,W005,P,113,113,0,33.46925158770837,True,False,False
5,W007,P,160,163,3,26.192151924767266,True,False,False
5,W002,V,45,46,1,23.946317838815283,True,False,False
5,W003,V,81,83,2,20.037680564388378,True,False,False
5,W005,V,113,115,2,26.930631934953134,True,False,False
5,W007,V,160,163,3,40.55438664844485,True,False,False
5,W002,H,45,35,-10,11.119939054885782,False,True,True
5,W003,H,81,77,-4,17.011001288648476,True,False,False
5,W005,H,113,113,0,41.52883791963472,True,False,False
5,W007,H,160,154,-6,15.021133395881694,False,True,False
5,W002,Je,45,46,1,11.013615187095887,True,False,False
5,W003,Je,81,77,-4,7.750963728812653,True,False,False
5,W005,Je,113,112,-1,18.464734703382888,True,False,False
5,W007,Je,160,164,4,20.651366542256785,True,False,False
5,W002,Jw,45,51,6,8.408961671515595,False,True,False
5,W003,Jw,81,85,4,24.64366758125418,True,False,False
5,W005,Jw,113,102,-11,33.28290572449879,False,True,True
5,W007,Jw,160,156,-4,16.366987201941182,True,False,False
6,W002,P,45,45,0,33.22903372775792,True,False,False
6,W003,P,81,78,-3,65.73761483374876,True,False,False
6,W005,P,113,113,0,43.62817728489753,True,False,False
