window_id,field,anchor_day,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,observed_peak_day,observed_relative_to_anchor,observed_peak_score,observed_window_median_score,observed_peak_sharpness,observed_second_peak_day,observed_second_peak_score,observed_second_peak_ratio,observed_inside_accepted_window,observed_inside_buffer_only,observed_near_analysis_edge,observed_peak_position_label,observed_morphology_label
W002,P,45,40,48,35,53,45,0,26.563465838769993,16.08892037930392,1.6510409158926578,42,23.51065727098314,0.8850749150613016,True,False,False,inside,broad_peak
W003,P,81,75,86,70,91,82,1,59.21762425438138,45.173496083127205,1.310893098586182,79,54.95677182721146,0.9280475621773249,True,False,False,inside,multi_peak
W005,P,113,107,117,102,122,113,0,26.616812351441734,16.49916859590669,1.613221429717686,110,22.61836252400773,0.849777284573394,True,False,False,inside,broad_peak
W007,P,160,155,164,150,169,158,-2,21.186921722771807,13.572455514006393,1.5610234788323674,155,18.739719715808558,0.8844946878558113,True,False,False,inside,broad_peak
W002,V,45,40,48,35,53,45,0,19.235007755373612,11.723371554917993,1.6407402653125382,42,15.454294380933383,0.8034462256255641,True,False,False,inside,broad_peak
W003,V,81,75,86,70,91,80,-1,20.958436491781047,16.641561157566887,1.259403267117838,77,20.14945937845848,0.9614008843818187,True,False,False,inside,multi_peak
W005,V,113,107,117,102,122,114,1,20.004865865386734,14.26555932340824,1.4023190687350697,117,17.878941440245736,0.8937296336078233,True,False,False,inside,broad_peak
W007,V,160,155,164,150,169,161,1,34.08042868585578,25.227418961709308,1.3509280809734738,164,29.00517277605967,0.8510800448967807,True,False,False,inside,broad_peak
W002,H,45,40,48,35,53,35,-10,10.10918859242761,1.8277777592836175,5.530863115650244,38,7.824404603741401,0.7739893792863208,False,True,True,near_left_edge,edge_peak
W003,H,81,75,86,70,91,77,-4,13.498661553176767,9.788263662158116,1.3790659936310485,74,12.001298240670767,0.8890732013239038,True,False,False,inside,broad_peak
W005,H,113,107,117,102,122,115,2,34.607065236011024,16.25384613655767,2.1291616116737955,112,28.10977856347503,0.8122554851667941,True,False,False,inside,broad_peak
W007,H,160,155,164,150,169,155,-5,9.746850391531572,3.9080497002252974,2.4940446358626582,152,7.007457239930065,0.7189458089988132,True,False,False,inside,clear_peak
W002,Je,45,40,48,35,53,46,1,12.201986759874023,6.548734272628787,1.8632587996238719,49,9.077913943782736,0.7439701519456868,True,False,False,inside,broad_peak
W003,Je,81,75,86,70,91,91,10,7.0285914641388905,5.796210298034853,1.2126184356219551,88,6.620162900207162,0.9418904106156115,False,True,True,near_right_edge,edge_peak
W005,Je,113,107,117,102,122,111,-2,16.652666002833563,12.148908320994156,1.3707129532006264,108,15.954546190829195,0.9580775947895923,True,False,False,inside,multi_peak
W007,Je,160,155,164,150,169,162,2,20.266046161694703,12.589655863943594,1.6097378975811456,159,17.098626751221754,0.8437080728425579,True,False,False,inside,broad_peak
W002,Jw,45,40,48,35,53,41,-4,11.770966007882706,8.916572482936521,1.3201222813372049,44,10.94054628142348,0.9294518626675911,True,False,False,inside,multi_peak
W003,Jw,81,75,86,70,91,83,2,14.807843176914874,10.572915536945832,1.4005449230319278,80,13.58982804331006,0.9177452705939192,True,False,False,inside,multi_peak
W005,Jw,113,107,117,102,122,104,-9,25.06998583750547,19.549915189674103,1.2823577797793704,107,24.717924468339127,0.9859568580752986,False,True,False,inside,multi_peak
W007,Jw,160,155,164,150,169,152,-8,11.561730035015003,9.935659854203305,1.1636600089649591,155,10.813803603691476,0.9353101630068845,False,True,False,inside,multi_peak
