window_id,field,n_loyo_valid,loyo_median_peak_day,loyo_min_peak_day,loyo_max_peak_day,loyo_iqr_peak_day,loyo_support_median_within_2d,loyo_support_near_analysis_edge
W002,P,45,45,44,45,0.0,1.0,0.0
W003,P,45,82,80,83,0.0,1.0,0.0
W005,P,45,112,112,114,1.0,1.0,0.0
W007,P,45,158,157,158,0.0,1.0,0.0
W002,V,45,45,45,46,0.0,1.0,0.0
W003,V,45,80,78,81,1.0,1.0,0.0
W005,V,45,114,113,115,0.0,1.0,0.0
W007,V,45,161,161,162,0.0,1.0,0.0
W002,H,45,35,35,35,0.0,1.0,1.0
W003,H,45,77,76,77,0.0,1.0,0.0
W005,H,45,115,114,115,0.0,1.0,0.0
W007,H,45,155,154,155,1.0,1.0,0.0
W002,Je,45,46,46,46,0.0,1.0,0.0
W003,Je,45,91,81,91,0.0,0.9111111111111111,0.9111111111111111
W005,Je,45,111,109,112,1.0,1.0,0.0
W007,Je,45,162,161,162,1.0,1.0,0.0
W002,Jw,45,41,40,45,0.0,0.9333333333333333,0.0
W003,Jw,45,83,81,84,1.0,1.0,0.0
W005,Jw,45,104,102,109,4.0,0.7111111111111111,0.26666666666666666
W007,Jw,45,152,151,168,2.0,0.8444444444444444,0.4888888888888889
