window_id,field,observed_peak_day,bootstrap_modal_peak_day,bootstrap_q95_width,support_modal_within_2d,localization_q_value,timing_confidence_label,usable_for_timing_order,caution
W002,P,45,45,12.0,0.717,3.4289139417585714e-196,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W003,P,82,82,16.0,0.433,5.340806556645518e-47,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W005,P,113,102,15.0,0.245,0.3320340209778183,boundary_truncated,False,observed_or_modal_peak_near_analysis_edge
W007,P,158,158,13.0,0.675,5.836960301558467e-175,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W002,V,45,45,9.0,0.833,1.15090480008473e-310,timing_moderate,True,use_with_caution
W003,V,80,70,15.024999999999977,0.173,0.9999897415899828,boundary_truncated,False,observed_or_modal_peak_near_analysis_edge
W005,V,114,114,14.025000000000006,0.661,1.1557671050559054e-175,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W007,V,161,161,14.0,0.657,4.512969051639323e-161,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W002,H,35,35,18.0,0.867,0.0,boundary_truncated,False,observed_or_modal_peak_near_analysis_edge;bootstrap_often_near_analysis_edge
W003,H,77,77,21.0,0.584,1.9234817147971927e-129,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W005,H,115,115,7.0,0.872,0.0,timing_moderate,True,use_with_caution
W007,H,155,155,18.0,0.668,1.693611496376299e-169,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W002,Je,46,46,18.0,0.831,1.764004296274107e-308,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W003,Je,91,91,18.0,0.434,2.183537416495247e-47,boundary_truncated,False,observed_or_modal_peak_near_analysis_edge;bootstrap_often_near_analysis_edge
W005,Je,111,112,10.0,0.548,7.225039645780083e-98,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W007,Je,162,161,10.0,0.819,1.126990243488e-311,timing_moderate,True,use_with_caution
W002,Jw,41,40,14.024999999999977,0.529,7.077087478391638e-71,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W003,Jw,83,83,19.0,0.5,1.1384276725585478e-78,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W005,Jw,104,102,10.0,0.405,1.5965413335236424e-31,boundary_truncated,False,observed_or_modal_peak_near_analysis_edge;bootstrap_often_near_analysis_edge
W007,Jw,152,150,18.0,0.354,1.865287419884455e-13,boundary_truncated,False,observed_or_modal_peak_near_analysis_edge;bootstrap_often_near_analysis_edge
