window_id,field,anchor_day,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,observed_peak_day,observed_relative_to_anchor,observed_peak_score,observed_window_median_score,observed_peak_sharpness,observed_second_peak_day,observed_second_peak_score,observed_second_peak_ratio,observed_inside_accepted_window,observed_inside_buffer_only,observed_near_analysis_edge,observed_peak_position_label,observed_morphology_label,n_bootstrap_valid,observed_peak_day_boot,bootstrap_modal_peak_day,bootstrap_modal_relative_to_anchor,bootstrap_modal_fraction,bootstrap_median_peak_day,bootstrap_q025_peak_day,bootstrap_q975_peak_day,bootstrap_q95_width,bootstrap_iqr,support_observed_within_0d,support_observed_within_1d,support_observed_within_2d,support_modal_within_1d,support_modal_within_2d,support_inside_accepted_window,support_inside_buffer_only,support_near_analysis_edge,localization_p_value,localization_null_window_length,localization_null_p0_modal_r2,localization_q_value,localization_supported,n_loyo_valid,loyo_median_peak_day,loyo_min_peak_day,loyo_max_peak_day,loyo_iqr_peak_day,loyo_support_median_within_2d,loyo_support_near_analysis_edge,bootstrap_modal_near_analysis_edge,timing_confidence_label,usable_for_timing_order,caution
W002,P,45,40,48,35,53,45,0,26.563465838769993,16.08892037930392,1.6510409158926578,42,23.51065727098314,0.8850749150613016,True,False,False,inside,broad_peak,1000,45,45,0,0.288,44.0,35.0,47.0,12.0,3.0,0.288,0.612,0.717,0.612,0.717,0.941,0.059,0.046,1.0286741825275714e-196,19,0.2631578947368421,3.4289139417585714e-196,True,45,45,44,45,0.0,1.0,0.0,False,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W003,P,81,75,86,70,91,82,1,59.21762425438138,45.173496083127205,1.310893098586182,79,54.95677182721146,0.9280475621773249,True,False,False,inside,multi_peak,1000,82,82,1,0.126,82.0,75.0,91.0,16.0,6.0,0.126,0.276,0.433,0.276,0.433,0.863,0.137,0.055,4.272645245316414e-47,22,0.22727272727272727,5.340806556645518e-47,True,45,82,80,83,0.0,1.0,0.0,False,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W005,P,113,107,117,102,122,113,0,26.616812351441734,16.49916859590669,1.613221429717686,110,22.61836252400773,0.849777284573394,True,False,False,inside,broad_peak,1000,113,102,-11,0.228,112.0,102.0,117.0,15.0,9.0,0.131,0.362,0.557,0.24,0.245,0.726,0.274,0.245,0.3154323199289274,21,0.23809523809523808,0.3320340209778183,False,45,112,112,114,1.0,1.0,0.0,True,boundary_truncated,False,observed_or_modal_peak_near_analysis_edge
W007,P,160,155,164,150,169,158,-2,21.186921722771807,13.572455514006393,1.5610234788323674,155,18.739719715808558,0.8844946878558113,True,False,False,inside,broad_peak,1000,158,158,-2,0.291,158.0,153.0,166.0,13.0,2.0,0.291,0.555,0.675,0.555,0.675,0.812,0.188,0.027,2.334784120623387e-175,20,0.25,5.836960301558467e-175,True,45,158,157,158,0.0,1.0,0.0,False,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W002,V,45,40,48,35,53,45,0,19.235007755373612,11.723371554917993,1.6407402653125382,42,15.454294380933383,0.8034462256255641,True,False,False,inside,broad_peak,1000,45,45,0,0.306,45.0,41.0,50.0,9.0,2.0,0.306,0.661,0.833,0.661,0.833,0.926,0.074,0.012,2.3018096001695e-311,19,0.2631578947368421,1.15090480008473e-310,True,45,45,45,46,0.0,1.0,0.0,False,timing_moderate,True,use_with_caution
W003,V,81,75,86,70,91,80,-1,20.958436491781047,16.641561157566887,1.259403267117838,77,20.14945937845848,0.9614008843818187,True,False,False,inside,multi_peak,1000,80,70,-11,0.158,78.0,70.0,85.02499999999998,15.024999999999977,6.0,0.078,0.267,0.451,0.168,0.173,0.787,0.213,0.17,0.9999897415899828,22,0.22727272727272727,0.9999897415899828,False,45,80,78,81,1.0,1.0,0.0,True,boundary_truncated,False,observed_or_modal_peak_near_analysis_edge
W005,V,113,107,117,102,122,114,1,20.004865865386734,14.26555932340824,1.4023190687350697,117,17.878941440245736,0.8937296336078233,True,False,False,inside,broad_peak,1000,114,114,1,0.183,114.0,107.975,122.0,14.025000000000006,3.0,0.183,0.476,0.661,0.476,0.661,0.824,0.176,0.127,4.045184867695669e-176,21,0.23809523809523808,1.1557671050559054e-175,True,45,114,113,115,0.0,1.0,0.0,False,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W007,V,160,155,164,150,169,161,1,34.08042868585578,25.227418961709308,1.3509280809734738,164,29.00517277605967,0.8510800448967807,True,False,False,inside,broad_peak,1000,161,161,1,0.254,161.0,154.0,168.0,14.0,2.25,0.254,0.564,0.657,0.564,0.657,0.799,0.201,0.119,2.2564845258196615e-161,20,0.25,4.512969051639323e-161,True,45,161,161,162,0.0,1.0,0.0,False,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W002,H,45,40,48,35,53,35,-10,10.10918859242761,1.8277777592836175,5.530863115650244,38,7.824404603741401,0.7739893792863208,False,True,True,near_left_edge,edge_peak,1000,35,35,-10,0.675,35.0,35.0,53.0,18.0,1.0,0.675,0.797,0.867,0.797,0.867,0.015,0.985,0.849,0.0,19,0.2631578947368421,0.0,True,45,35,35,35,0.0,1.0,1.0,True,boundary_truncated,False,observed_or_modal_peak_near_analysis_edge;bootstrap_often_near_analysis_edge
W003,H,81,75,86,70,91,77,-4,13.498661553176767,9.788263662158116,1.3790659936310485,74,12.001298240670767,0.8890732013239038,True,False,False,inside,broad_peak,1000,77,77,-4,0.204,77.0,70.0,91.0,21.0,5.0,0.204,0.453,0.584,0.453,0.584,0.666,0.334,0.257,1.0579149431384559e-129,22,0.22727272727272727,1.9234817147971927e-129,True,45,77,76,77,0.0,1.0,0.0,False,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
W005,H,113,107,117,102,122,115,2,34.607065236011024,16.25384613655767,2.1291616116737955,112,28.10977856347503,0.8122554851667941,True,False,False,inside,broad_peak,1000,115,115,2,0.326,115.0,110.0,117.0,7.0,2.0,0.326,0.73,0.872,0.73,0.872,0.973,0.027,0.01,0.0,21,0.23809523809523808,0.0,True,45,115,114,115,0.0,1.0,0.0,False,timing_moderate,True,use_with_caution
W007,H,160,155,164,150,169,155,-5,9.746850391531572,3.9080497002252974,2.4940446358626582,152,7.007457239930065,0.7189458089988132,True,False,False,inside,clear_peak,1000,155,155,-5,0.246,155.0,150.0,168.0,18.0,3.0,0.246,0.555,0.668,0.555,0.668,0.424,0.576,0.224,7.621251733693345e-170,20,0.25,1.693611496376299e-169,True,45,155,154,155,1.0,1.0,0.0,False,timing_uncertain,False,bootstrap_or_loyo_timing_uncertain
