window_id,field,n_bootstrap_valid,observed_peak_day,bootstrap_modal_peak_day,bootstrap_modal_relative_to_anchor,bootstrap_modal_fraction,bootstrap_median_peak_day,bootstrap_q025_peak_day,bootstrap_q975_peak_day,bootstrap_q95_width,bootstrap_iqr,support_observed_within_0d,support_observed_within_1d,support_observed_within_2d,support_modal_within_1d,support_modal_within_2d,support_inside_accepted_window,support_inside_buffer_only,support_near_analysis_edge,localization_p_value,localization_null_window_length,localization_null_p0_modal_r2,localization_q_value,localization_supported
W002,P,1000,45,45,0,0.288,44.0,35.0,47.0,12.0,3.0,0.288,0.612,0.717,0.612,0.717,0.941,0.059,0.046,1.0286741825275714e-196,19,0.2631578947368421,3.4289139417585714e-196,True
W003,P,1000,82,82,1,0.126,82.0,75.0,91.0,16.0,6.0,0.126,0.276,0.433,0.276,0.433,0.863,0.137,0.055,4.272645245316414e-47,22,0.22727272727272727,5.340806556645518e-47,True
W005,P,1000,113,102,-11,0.228,112.0,102.0,117.0,15.0,9.0,0.131,0.362,0.557,0.24,0.245,0.726,0.274,0.245,0.3154323199289274,21,0.23809523809523808,0.3320340209778183,False
W007,P,1000,158,158,-2,0.291,158.0,153.0,166.0,13.0,2.0,0.291,0.555,0.675,0.555,0.675,0.812,0.188,0.027,2.334784120623387e-175,20,0.25,5.836960301558467e-175,True
W002,V,1000,45,45,0,0.306,45.0,41.0,50.0,9.0,2.0,0.306,0.661,0.833,0.661,0.833,0.926,0.074,0.012,2.3018096001695e-311,19,0.2631578947368421,1.15090480008473e-310,True
W003,V,1000,80,70,-11,0.158,78.0,70.0,85.02499999999998,15.024999999999977,6.0,0.078,0.267,0.451,0.168,0.173,0.787,0.213,0.17,0.9999897415899828,22,0.22727272727272727,0.9999897415899828,False
W005,V,1000,114,114,1,0.183,114.0,107.975,122.0,14.025000000000006,3.0,0.183,0.476,0.661,0.476,0.661,0.824,0.176,0.127,4.045184867695669e-176,21,0.23809523809523808,1.1557671050559054e-175,True
W007,V,1000,161,161,1,0.254,161.0,154.0,168.0,14.0,2.25,0.254,0.564,0.657,0.564,0.657,0.799,0.201,0.119,2.2564845258196615e-161,20,0.25,4.512969051639323e-161,True
W002,H,1000,35,35,-10,0.675,35.0,35.0,53.0,18.0,1.0,0.675,0.797,0.867,0.797,0.867,0.015,0.985,0.849,0.0,19,0.2631578947368421,0.0,True
W003,H,1000,77,77,-4,0.204,77.0,70.0,91.0,21.0,5.0,0.204,0.453,0.584,0.453,0.584,0.666,0.334,0.257,1.0579149431384559e-129,22,0.22727272727272727,1.9234817147971927e-129,True
W005,H,1000,115,115,2,0.326,115.0,110.0,117.0,7.0,2.0,0.326,0.73,0.872,0.73,0.872,0.973,0.027,0.01,0.0,21,0.23809523809523808,0.0,True
W007,H,1000,155,155,-5,0.246,155.0,150.0,168.0,18.0,3.0,0.246,0.555,0.668,0.555,0.668,0.424,0.576,0.224,7.621251733693345e-170,20,0.25,1.693611496376299e-169,True
W002,Je,1000,46,46,1,0.282,46.0,35.0,53.0,18.0,2.0,0.282,0.66,0.831,0.66,0.831,0.86,0.14,0.084,4.410010740685267e-309,19,0.2631578947368421,1.764004296274107e-308,True
W003,Je,1000,91,91,10,0.365,87.0,73.0,91.0,18.0,10.0,0.365,0.394,0.434,0.394,0.434,0.374,0.626,0.408,1.6376530623714353e-47,22,0.22727272727272727,2.183537416495247e-47,True
W005,Je,1000,111,112,-1,0.169,111.0,105.0,115.0,10.0,5.0,0.072,0.317,0.573,0.396,0.548,0.946,0.054,0.018,4.3350237874680496e-98,21,0.23809523809523808,7.225039645780083e-98,True
W007,Je,1000,162,161,1,0.308,162.0,157.0,167.0,10.0,2.0,0.247,0.671,0.844,0.673,0.819,0.896,0.104,0.034,1.69048536523e-312,20,0.25,1.126990243488e-311,True
W002,Jw,1000,41,40,-5,0.143,42.0,37.0,51.02499999999998,14.024999999999977,6.0,0.118,0.348,0.541,0.394,0.529,0.659,0.341,0.043,4.953961234874146e-71,19,0.2631578947368421,7.077087478391638e-71,True
W003,Jw,1000,83,83,2,0.125,83.0,72.0,91.0,19.0,5.0,0.125,0.342,0.5,0.342,0.5,0.782,0.218,0.102,7.39977987163056e-79,22,0.22727272727272727,1.1384276725585478e-78,True
W005,Jw,1000,104,102,-11,0.227,106.0,102.0,112.0,10.0,6.0,0.074,0.261,0.544,0.331,0.405,0.456,0.544,0.331,1.357060133495096e-31,21,0.23809523809523808,1.5965413335236424e-31,True
W007,Jw,1000,152,150,-10,0.206,156.0,150.0,168.0,18.0,15.0,0.074,0.189,0.444,0.28,0.354,0.256,0.744,0.472,1.6787586778960095e-13,20,0.25,1.865287419884455e-13,True
