from_window,to_window,sector,from_band_rank,to_band_rank,link_type,peak_lat_shift,peak_value_change,band_share_change,confidence
S3,T3_early,full_easm_lon,1.0,1.0,continue,1.25,0.0657024521426468,-0.02415991407086282,medium_peak_distance_and_overlap
S3,T3_early,full_easm_lon,2.0,2.0,continue,3.75,0.5896841342713213,-0.028185863316765758,medium_peak_distance_and_overlap
S3,T3_early,full_easm_lon,3.0,3.0,continue,3.75,0.36981479042793985,-0.020452719083875692,medium_peak_distance_and_overlap
S3,T3_early,full_easm_lon,4.0,,disappear,,,,low_no_nearby_target_band
S3,T3_early,full_easm_lon,5.0,4.0,continue,1.75,-1.9309279420978074,0.03768116556386614,medium_peak_distance_and_overlap
S3,T3_early,full_easm_lon,6.0,7.0,continue,0.0,0.551100566848651,0.0,medium_peak_distance_and_overlap
S3,T3_early,full_easm_lon,7.0,8.0,continue,-0.25,0.6245804327819577,0.0,medium_peak_distance_and_overlap
S3,T3_early,full_easm_lon,,5.0,emerge,,,,low_no_source_band
S3,T3_early,full_easm_lon,,6.0,emerge,,,,low_no_source_band
T3_early,T3_full,full_easm_lon,1.0,1.0,continue,0.25,0.18796764509174047,-0.007546637611111406,medium_peak_distance_and_overlap
T3_early,T3_full,full_easm_lon,2.0,2.0,continue,0.0,0.20285935471184935,-0.003362728196805498,medium_peak_distance_and_overlap
T3_early,T3_full,full_easm_lon,3.0,3.0,continue,-0.25,0.22621594171230797,0.0008816427805891092,medium_peak_distance_and_overlap
T3_early,T3_full,full_easm_lon,4.0,5.0,continue,-0.25,-0.5483440880447121,0.006450403858459075,medium_peak_distance_and_overlap
T3_early,T3_full,full_easm_lon,5.0,6.0,continue,-2.75,0.7914299060265773,-0.002025951313915586,medium_peak_distance_and_overlap
T3_early,T3_full,full_easm_lon,6.0,7.0,continue,0.25,-0.03415302572238055,0.0,medium_peak_distance_and_overlap
T3_early,T3_full,full_easm_lon,7.0,8.0,continue,0.0,0.01971579637498788,0.0,medium_peak_distance_and_overlap
T3_early,T3_full,full_easm_lon,8.0,9.0,continue,0.0,0.008998314195792112,0.0,medium_peak_distance_and_overlap
T3_early,T3_full,full_easm_lon,,4.0,emerge,,,,low_no_source_band
T3_full,T3_late,full_easm_lon,1.0,1.0,continue,0.0,0.22754820731779546,-0.20497590861530113,medium_peak_distance_and_overlap
T3_full,T3_late,full_easm_lon,2.0,2.0,continue,-1.5,0.33965570764819475,-0.20898134630771914,medium_peak_distance_and_overlap
T3_full,T3_late,full_easm_lon,3.0,3.0,continue,0.0,0.2827965306870688,0.008526496300306219,medium_peak_distance_and_overlap
T3_full,T3_late,full_easm_lon,4.0,4.0,continue,-0.25,-0.2339635956078734,0.004571107230670557,medium_peak_distance_and_overlap
T3_full,T3_late,full_easm_lon,5.0,5.0,continue,0.0,-0.6512905225267582,0.20997150032753464,medium_peak_distance_and_overlap
T3_full,T3_late,full_easm_lon,6.0,6.0,continue,0.0,-0.021458599526090083,0.002025951313915586,medium_peak_distance_and_overlap
T3_full,T3_late,full_easm_lon,7.0,7.0,continue,6.5,1.4070810497732182,0.0,medium_peak_distance_and_overlap
T3_full,T3_late,full_easm_lon,8.0,8.0,continue,4.5,0.2340694969449233,0.0,medium_peak_distance_and_overlap
T3_full,T3_late,full_easm_lon,9.0,,disappear,,,,low_no_nearby_target_band
T3_late,S4,full_easm_lon,1.0,1.0,continue,0.0,-0.8537111172524376,0.24035119728937215,medium_peak_distance_and_overlap
T3_late,S4,full_easm_lon,2.0,2.0,continue,1.5,0.5283465959239972,0.17690775164022154,medium_peak_distance_and_overlap
T3_late,S4,full_easm_lon,3.0,3.0,continue,6.75,-3.2617943024712286,0.07316690837351403,medium_peak_distance_and_overlap
T3_late,S4,full_easm_lon,4.0,4.0,continue,2.25,-0.011266937719498493,-0.18203992929248514,medium_peak_distance_and_overlap
T3_late,S4,full_easm_lon,5.0,5.0,continue,2.0,-0.6870528655796333,-0.0011815001440741435,medium_peak_distance_and_overlap
T3_late,S4,full_easm_lon,6.0,6.0,continue,2.75,-0.7657932066275013,0.0,medium_peak_distance_and_overlap
T3_late,S4,full_easm_lon,7.0,7.0,continue,0.0,-0.5550604014989569,0.0,medium_peak_distance_and_overlap
T3_late,S4,full_easm_lon,8.0,8.0,continue,0.0,-0.8881393849529777,0.0,medium_peak_distance_and_overlap
S3,T3_early,west_sector,1.0,1.0,continue,0.0,-0.37896436802582123,-0.00825371974528255,medium_peak_distance_and_overlap
S3,T3_early,west_sector,2.0,2.0,continue,0.0,0.27109849364092664,-0.012618439523271352,medium_peak_distance_and_overlap
S3,T3_early,west_sector,3.0,3.0,continue,0.25,1.835058998110794,-0.0288347768196775,medium_peak_distance_and_overlap
S3,T3_early,west_sector,4.0,4.0,continue,-0.25,1.0316695458173566,-0.07598818525095452,medium_peak_distance_and_overlap
S3,T3_early,west_sector,5.0,5.0,continue,-0.25,-0.046475814921215886,-0.016363271667860557,medium_peak_distance_and_overlap
S3,T3_early,west_sector,6.0,6.0,continue,1.25,0.2200449583178976,-0.016363271667860557,medium_peak_distance_and_overlap
S3,T3_early,west_sector,7.0,7.0,continue,3.75,-5.008448593795134,0.04241929866012184,medium_peak_distance_and_overlap
S3,T3_early,west_sector,8.0,,disappear,,,,low_no_nearby_target_band
S3,T3_early,west_sector,9.0,8.0,continue,0.0,0.43513665583200334,-0.005336646896414665,medium_peak_distance_and_overlap
S3,T3_early,west_sector,10.0,9.0,continue,0.25,0.2362225159789011,0.004376206506269631,medium_peak_distance_and_overlap
T3_early,T3_full,west_sector,1.0,1.0,continue,0.0,-0.06682554472650537,-0.006945188271883396,medium_peak_distance_and_overlap
T3_early,T3_full,west_sector,2.0,2.0,continue,0.0,0.13397250045790177,0.003971357662277408,medium_peak_distance_and_overlap
T3_early,T3_full,west_sector,3.0,3.0,continue,-0.25,0.007403592128225611,-0.007121508157337808,medium_peak_distance_and_overlap
T3_early,T3_full,west_sector,4.0,4.0,continue,0.0,0.24593258496978088,0.035649577266605115,medium_peak_distance_and_overlap
T3_early,T3_full,west_sector,5.0,5.0,continue,0.0,-0.19286986071741374,-0.0031316676550525724,medium_peak_distance_and_overlap
T3_early,T3_full,west_sector,6.0,6.0,continue,0.0,-0.5638871792738396,-0.0031316676550525724,medium_peak_distance_and_overlap
T3_early,T3_full,west_sector,7.0,7.0,continue,0.0,0.13708750367757183,-0.0013705916899285908,medium_peak_distance_and_overlap
T3_early,T3_full,west_sector,8.0,8.0,continue,-0.25,-0.008960118508375636,0.005245641052772199,medium_peak_distance_and_overlap
T3_early,T3_full,west_sector,9.0,9.0,continue,-0.25,0.10572917187420616,-0.00018592548520618424,medium_peak_distance_and_overlap
T3_full,T3_late,west_sector,1.0,1.0,continue,0.0,-0.08019065367180289,0.00793212836709789,medium_peak_distance_and_overlap
T3_full,T3_late,west_sector,2.0,2.0,continue,0.0,0.16076700054948123,0.003892684618640674,medium_peak_distance_and_overlap
T3_full,T3_late,west_sector,3.0,3.0,continue,0.0,0.0236227184875748,-0.008569636872928554,medium_peak_distance_and_overlap
T3_full,T3_late,west_sector,4.0,4.0,continue,0.0,0.295119101963742,-0.024519554652251307,medium_peak_distance_and_overlap
T3_full,T3_late,west_sector,5.0,5.0,continue,4.75,-0.888844527715932,0.019119810025554296,medium_peak_distance_and_overlap
T3_full,T3_late,west_sector,6.0,6.0,continue,5.5,-3.951880860172908,0.05467283129800282,medium_peak_distance_and_overlap
T3_full,T3_late,west_sector,7.0,7.0,continue,4.75,-2.052176205021372,0.01649063782870752,medium_peak_distance_and_overlap
T3_full,T3_late,west_sector,8.0,8.0,continue,0.0,-0.00814415399523405,0.005639145991589822,medium_peak_distance_and_overlap
T3_full,T3_late,west_sector,9.0,9.0,continue,0.0,0.13623775244955016,7.636735864174904e-05,medium_peak_distance_and_overlap
T3_late,S4,west_sector,1.0,1.0,continue,0.0,0.10635349070458666,0.01294310696504708,medium_peak_distance_and_overlap
T3_late,S4,west_sector,2.0,2.0,continue,0.0,0.5246333524537157,0.006983192064374588,medium_peak_distance_and_overlap
T3_late,S4,west_sector,3.0,3.0,continue,3.0,1.7108430254031202,-0.014504703581963763,medium_peak_distance_and_overlap
T3_late,S4,west_sector,4.0,4.0,continue,4.0,-5.434419063246038,0.19840488866041672,medium_peak_distance_and_overlap
T3_late,S4,west_sector,5.0,5.0,continue,0.0,-0.5853602356554282,0.03149113317748897,medium_peak_distance_and_overlap
T3_late,S4,west_sector,6.0,6.0,continue,-1.75,1.1031040743639453,0.004702428267368219,medium_peak_distance_and_overlap
T3_late,S4,west_sector,7.0,7.0,continue,-3.0,1.6896583974194992,-0.002425604975990092,medium_peak_distance_and_overlap
T3_late,S4,west_sector,8.0,8.0,continue,0.25,-0.419889830243116,-0.01898818013907269,medium_peak_distance_and_overlap
T3_late,S4,west_sector,9.0,9.0,continue,0.25,-0.39043624616244443,-0.011796560641804704,medium_peak_distance_and_overlap
S3,T3_early,mid_sector,1.0,1.0,continue,0.5,-0.03500475071408715,0.02127057055810999,medium_peak_distance_and_overlap
S3,T3_early,mid_sector,2.0,3.0,continue,-0.25,1.1787564974801885,-0.33100770098921894,medium_peak_distance_and_overlap
S3,T3_early,mid_sector,3.0,4.0,continue,2.75,-1.2349498963836112,0.031663377194097564,medium_peak_distance_and_overlap
S3,T3_early,mid_sector,4.0,5.0,continue,-0.25,0.7643832024175259,0.0,medium_peak_distance_and_overlap
S3,T3_early,mid_sector,5.0,6.0,continue,0.0,0.07115661481483171,0.0,medium_peak_distance_and_overlap
S3,T3_early,mid_sector,6.0,7.0,continue,0.0,0.41711667868217717,0.0,medium_peak_distance_and_overlap
S3,T3_early,mid_sector,7.0,8.0,continue,0.0,0.8237628920891309,0.0,medium_peak_distance_and_overlap
S3,T3_early,mid_sector,,2.0,emerge,,,,low_no_source_band
T3_early,T3_full,mid_sector,1.0,1.0,continue,-0.5,0.14329603041774952,0.006587593102764688,medium_peak_distance_and_overlap
T3_early,T3_full,mid_sector,2.0,2.0,continue,0.0,0.021213952890937193,0.006587593102764688,medium_peak_distance_and_overlap
T3_early,T3_full,mid_sector,3.0,3.0,continue,-0.25,-0.036977670955218755,0.006472785337657161,medium_peak_distance_and_overlap
T3_early,T3_full,mid_sector,4.0,4.0,continue,0.25,-0.9679689752788265,0.004196362028498435,medium_peak_distance_and_overlap
T3_early,T3_full,mid_sector,5.0,5.0,continue,0.0,0.11407871260799585,0.0,medium_peak_distance_and_overlap
