figure,description
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\P_mean_state_S3_T3early_T3full_T3late_S4_cartopy.png,P mean state chain
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\V850_mean_state_S3_T3early_T3full_T3late_S4_cartopy.png,V850 mean state chain
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\P_change_T3_full_minus_S3_cartopy.png,P change T3_full_minus_S3
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\V850_change_T3_full_minus_S3_cartopy.png,V850 change T3_full_minus_S3
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\P_V_object_transition_panel_T3_full_minus_S3.png,P/V object transition panel T3_full_minus_S3
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\P_change_T3_late_minus_T3_early_cartopy.png,P change T3_late_minus_T3_early
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\V850_change_T3_late_minus_T3_early_cartopy.png,V850 change T3_late_minus_T3_early
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\P_V_object_transition_panel_T3_late_minus_T3_early.png,P/V object transition panel T3_late_minus_T3_early
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\P_change_S4_minus_T3_full_cartopy.png,P change S4_minus_T3_full
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\V850_change_S4_minus_T3_full_cartopy.png,V850 change S4_minus_T3_full
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\P_V_object_transition_panel_S4_minus_T3_full.png,P/V object transition panel S4_minus_T3_full
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\P_lat_profile_chain_by_sector.png,P profile chain by sector
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\V850_lat_profile_chain_by_sector.png,V850 profile chain by sector
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\P_lat_profile_delta_chain_by_sector.png,P profile deltas by sector
D:\easm_project01\lead_lag_screen\V1\outputs\lead_lag_screen_v1_smooth5_a_t3_p_v_latitudinal_object_change_audit_v1_a\figures\V850_lat_profile_delta_chain_by_sector.png,V850 profile deltas by sector
