window,region,lat_min,lat_max,lon_min,lon_max,P_mean,P_integrated,V850_mean,V850_abs_mean,V850_positive_mean,V850_negative_mean,V850_positive_fraction,V850_negative_fraction,n_valid_grid
S3,north_northeast,35.0,50.0,110.0,135.0,4.567258850197549,28138.881776067097,1.2119561379720623,1.3849105287976304,1.2984333333848463,-0.08647719541278397,0.8792403830546989,0.12075961694530109,6161
S3,main_meiyu,24.0,35.0,100.0,125.0,7.430617247576283,33772.155390234206,3.136809112038606,3.204375860169479,3.1705924861040415,-0.033783374065436744,0.9273927392739274,0.07260726072607261,4545
S3,south_china,18.0,25.0,105.0,120.0,7.068950662239017,12504.97372150082,4.7291287698395985,4.7291287698395985,4.7291287698395985,0.0,1.0,0.0,1769
S3,scs,10.0,20.0,105.0,130.0,8.472196508968043,35083.36574363666,2.4847167778345876,2.4888292944180566,2.486773036126322,-0.0020562582917345675,0.9934798357884569,0.006520164211543105,4141
S3,south_china_scs,10.0,25.0,105.0,130.0,7.881378023105376,48557.17000035222,3.2287317132555935,3.2316741966659492,3.230202954960772,-0.001471241705177692,0.9948060379808472,0.005193962019152735,6161
S3,main_easm_domain,10.0,50.0,100.0,135.0,6.252552773136778,141939.200502978,2.2091659952860065,2.339871055147262,2.2745185252166342,-0.06535252993062748,0.8894321836042465,0.11056781639575348,22701
T3_early,north_northeast,35.0,50.0,110.0,135.0,4.889059541008079,30121.495832150773,1.6238439325581489,1.739574980734259,1.6817094566462036,-0.057865524088055155,0.9108910891089109,0.0891089108910891,6161
T3_early,main_meiyu,24.0,35.0,100.0,125.0,6.642056437405136,30188.146508006343,3.167814035392253,3.209611501984248,3.1887127686882506,-0.020898733295997507,0.9397139713971397,0.06028602860286029,4545
T3_early,south_china,18.0,25.0,105.0,120.0,8.217750002654945,14537.199754696598,4.1699525128218164,4.1699525128218164,4.1699525128218164,0.0,1.0,0.0,1769
T3_early,scs,10.0,20.0,105.0,130.0,9.208732001065378,38133.35921641173,2.1768792995257047,2.178971941696799,2.177925620611252,-0.0010463210855472178,0.9963776865491427,0.003622313450857281,4141
T3_early,south_china_scs,10.0,25.0,105.0,130.0,8.57983425823209,52860.35886496791,2.7502276213595014,2.751842212368354,2.7510349168639276,-0.000807295504425778,0.9967537737380295,0.0032462262619704593,6161
T3_early,main_easm_domain,10.0,50.0,100.0,135.0,6.349748428533032,144145.63907612837,2.126943845997581,2.2058322213342874,2.166388033665934,-0.0394441876683528,0.9163032465530153,0.08369675344698471,22701
T3_full,north_northeast,35.0,50.0,110.0,135.0,4.854478133331817,29908.439779457323,1.6353834711858342,1.7251533728081292,1.6802684219969817,-0.04488495081114748,0.9185197208245415,0.08148027917545853,6161
T3_full,main_meiyu,24.0,35.0,100.0,125.0,6.2870956890395595,28574.849906684798,2.9506150398996733,2.9828922298174723,2.966753634858573,-0.016138594958899743,0.9458745874587459,0.05412541254125412,4545
T3_full,south_china,18.0,25.0,105.0,120.0,8.135019826941914,14390.850073860245,3.787146324387231,3.787146324387231,3.787146324387231,0.0,1.0,0.0,1769
T3_full,scs,10.0,20.0,105.0,130.0,9.400015442996883,38925.463949450095,2.0252617637302612,2.0296504238565527,2.0274560937934067,-0.002194330063145487,0.9934798357884569,0.006520164211543105,4141
T3_full,south_china_scs,10.0,25.0,105.0,130.0,8.734887103484834,53815.63944457006,2.508185131274701,2.511578548063072,2.509881839668886,-0.0016967083941854745,0.9943191040415517,0.005680895958448304,6161
T3_full,main_easm_domain,10.0,50.0,100.0,135.0,6.334763186694597,143805.45910115406,2.013862632861311,2.07576077692339,2.0448117048923504,-0.030949072031039686,0.9240562089775781,0.07594379102242192,22701
T3_late,north_northeast,35.0,50.0,110.0,135.0,4.812980444120301,29652.772516225177,1.6492309175390567,1.7133715625621202,1.6813012400505885,-0.03207032251153192,0.9344262295081968,0.06557377049180328,6161
T3_late,main_meiyu,24.0,35.0,100.0,125.0,5.8611427910008675,26638.893985098945,2.6899762453085776,2.713748085176702,2.7018621652426393,-0.011885919934062097,0.9535753575357536,0.04642464246424643,4545
T3_late,south_china,18.0,25.0,105.0,120.0,8.035743616086275,14215.230456856621,3.327778898265729,3.327778898265729,3.327778898265729,0.0,1.0,0.0,1769
T3_late,scs,10.0,20.0,105.0,130.0,9.62955557331469,39875.98962909613,1.8433207207757294,1.8541192820467873,1.8487200014112584,-0.005399280635529034,0.9818884327457136,0.018111567254286403,4141
T3_late,south_china_scs,10.0,25.0,105.0,130.0,8.920950517788125,54961.976140092636,2.21773414317294,2.2260999075984698,2.2219170253857046,-0.004182882212765116,0.9858789157604285,0.014121084239571499,6161
T3_late,main_easm_domain,10.0,50.0,100.0,135.0,6.316780896488476,143397.2431311849,1.8781651770977859,1.9247766998771714,1.9014709384874786,-0.023305761389692824,0.9331306990881459,0.0668693009118541,22701
S4,north_northeast,35.0,50.0,110.0,135.0,4.3582273523888055,26851.038718067433,0.8523388187770552,1.0039202066149147,0.9281295126959851,-0.0757906939189297,0.8258399610452849,0.17416003895471516,6161
S4,main_meiyu,24.0,35.0,100.0,125.0,5.98265932277578,27191.18662201592,1.3820860953269969,1.4236979158509446,1.4028920055889709,-0.020805910261973773,0.9372937293729373,0.0627062706270627,4545
S4,south_china,18.0,25.0,105.0,120.0,8.91867963050502,15777.144266363379,2.0980402097630924,2.102839411107402,2.100439810435247,-0.0023996006721547715,0.9903900508762012,0.009609949123798756,1769
S4,scs,10.0,20.0,105.0,130.0,9.42246720001215,39018.43667525031,1.834980407381767,1.8537446089496226,1.844362508165695,-0.009382100783927719,0.9642598406182081,0.035740159381791835,4141
S4,south_china_scs,10.0,25.0,105.0,130.0,9.239630642661153,56925.364389435366,1.8805472880640157,1.8953489197393452,1.8879481039016803,-0.007400815837664779,0.9715955202077585,0.02840447979224152,6161
S4,main_easm_domain,10.0,50.0,100.0,135.0,6.380071328788434,144833.99923482625,1.32401001279944,1.4075674369363296,1.3657887248678848,-0.04177871206844483,0.8857759570062993,0.11422404299370072,22701
