window,sector,n_precip_bands,multiband,band_rank,peak_lat,peak_value,south_edge,north_edge,band_width,band_integrated_amount,band_share,band_centroid_lat,narrow_width_flag
S3,east_sector,6,True,1,13.25,10.141440733162096,10.0,22.25,12.25,106.97212849137357,0.349741939994882,15.550842030840203,False
S3,east_sector,6,True,2,33.75,10.438171509659838,29.0,40.5,11.5,90.16864187363,0.2948034799375821,34.566634672355164,False
S3,east_sector,6,True,3,42.25,5.170197981430018,10.0,59.5,49.5,304.65418825781205,0.996057088248418,31.01876043469369,False
S3,east_sector,6,True,4,47.5,4.211640469009734,10.0,60.0,50.0,305.86016790819815,1.0,31.129952322970677,False
S3,east_sector,6,True,5,50.5,4.394843763785387,10.0,60.0,50.0,305.86016790819815,1.0,31.129952322970677,False
S3,east_sector,6,True,6,55.5,4.7907059617276815,10.0,60.0,50.0,305.86016790819815,1.0,31.129952322970677,False
S3,full_easm_lon,7,True,1,10.5,9.66275511866941,10.0,37.75,27.75,208.74687042420035,0.7311978751392687,23.098085202474003,False
S3,full_easm_lon,7,True,2,14.25,8.844559375024453,10.0,38.25,28.25,211.04820834264953,0.7392589942953448,23.256696179493883,False
S3,full_easm_lon,7,True,3,18.0,8.273437061416027,10.0,38.75,28.75,213.17034634227846,0.7466924125445752,23.406247091893494,False
S3,full_easm_lon,7,True,4,21.75,7.6927152959304035,10.0,39.75,29.75,217.10107472284167,0.7604609554395024,23.69048172747723,False
S3,full_easm_lon,7,True,5,31.75,8.935107983976204,10.0,38.25,28.25,211.04820834264953,0.7392589942953448,23.256696179493883,False
S3,full_easm_lon,7,True,6,51.25,3.924943349944971,10.0,60.0,50.0,285.4861556927269,1.0,29.97809105059959,False
S3,full_easm_lon,7,True,7,55.75,4.08429353504266,10.0,60.0,50.0,285.4861556927269,1.0,29.97809105059959,False
S3,mid_sector,7,True,1,12.5,11.090382273374958,10.0,24.75,14.75,128.5799583893776,0.42862185925675317,16.539758878213576,False
S3,mid_sector,7,True,2,22.25,7.035855750651416,10.0,42.25,32.25,237.5540822198338,0.791887582408088,24.009147764454934,False
S3,mid_sector,7,True,3,30.75,9.916711330878487,26.75,37.0,10.25,77.47986266075888,0.2582794644251177,31.723101865842867,False
