window,sector,V850_mean_peak_lat,V850_positive_peak_lat,V850_positive_centroid_lat,V850_positive_north_edge,V850_positive_integrated_strength,V850_abs_peak_lat,V850_abs_centroid_lat
S3,east_sector,28.25,28.25,30.986993683494305,60.0,118.59872931040927,28.25,30.986993683494305
S3,full_easm_lon,25.5,25.5,25.95410723974089,52.0,88.88115477180583,25.5,26.57275597683555
S3,mid_sector,25.75,25.75,24.787620322136533,52.75,105.28980094252132,25.75,25.601336553675715
S3,south_scs_ref,25.75,25.75,25.75691820835991,54.25,101.17767385853965,25.75,26.426876503093634
S3,west_sector,22.25,22.25,23.581655961124348,42.5,58.22646374354401,22.25,29.93776825117029
S4,east_sector,33.25,33.25,30.029262950903362,55.5,73.07627483870027,33.25,30.493963305894372
S4,full_easm_lon,21.25,21.25,26.141085377348947,49.0,53.18311011571829,21.25,27.900992745164057
S4,mid_sector,11.5,11.5,22.530081758787176,46.0,57.2265405121014,11.5,25.18829683255299
S4,south_scs_ref,28.75,28.75,25.59567243989851,47.0,57.868059195648414,28.75,27.728270051646483
S4,west_sector,21.75,21.75,26.49303002209482,45.25,34.144210161619505,21.75,31.762419614974153
T3_early,east_sector,29.25,29.25,33.4593898442812,60.0,107.1965122805392,29.25,33.4593898442812
T3_early,full_easm_lon,25.75,25.75,27.74130999029194,54.75,86.56009200782171,25.75,28.32222486879094
T3_early,mid_sector,25.75,25.75,26.368965423843264,52.75,106.9034429399505,25.75,27.14017217007903
T3_early,south_scs_ref,25.75,25.75,27.53981887434209,55.25,100.6231825089007,25.75,28.199555165662456
T3_early,west_sector,24.25,24.25,24.51106702635065,44.75,59.32074714361384,24.25,30.09460981121524
T3_full,east_sector,33.25,33.25,33.57416036017082,60.0,101.94227253397891,33.25,33.57416036017082
T3_full,full_easm_lon,25.75,25.75,28.098202177206975,55.0,82.06295346007416,25.75,28.59002551815592
T3_full,mid_sector,28.5,28.5,26.6177292149829,53.25,98.58500613049539,28.5,27.288750140511624
T3_full,south_scs_ref,25.75,25.75,27.875055878349087,55.25,94.85784633939286,25.75,28.444921714019635
T3_full,west_sector,22.25,22.25,25.05018005221695,45.0,57.56773609848811,22.25,30.05449438317868
T3_late,east_sector,35.25,35.25,33.72843937015803,60.0,95.63718483810655,35.25,33.72843937015803
T3_late,full_easm_lon,25.75,25.75,28.583277945677455,55.25,76.67126877775645,25.75,28.95845636993457
T3_late,mid_sector,28.5,28.5,26.99581650399041,54.5,88.66302768555059,28.5,27.540339693959435
T3_late,south_scs_ref,28.5,28.5,28.33553535550566,55.5,87.94038985302286,28.5,28.784561330604316
T3_late,west_sector,22.25,22.25,25.795696379418594,47.25,55.611376352080725,22.25,30.07187497440185
