window,sector,lat_band,lat_min,lat_max,V850_mean,V850_abs_mean,V850_positive_mean,V850_positive_integrated,n_valid_grid
S3,full_easm_lon,10_15N,10.0,15.0,1.594587183342869,1.6024274738914783,1.5985073286171738,4507.79066670043,2820
S3,full_easm_lon,15_20N,15.0,20.0,2.788627367948692,2.788627367948692,2.788627367948692,7863.929177615311,2820
S3,full_easm_lon,20_25N,20.0,25.0,4.05561676557722,4.056109224256055,4.055862994916637,11437.533645664917,2820
S3,full_easm_lon,25_30N,25.0,30.0,4.249420915791607,4.2924266003356815,4.270923758063643,12044.004997739474,2820
S3,full_easm_lon,30_35N,30.0,35.0,2.473368348947155,2.536739488729078,2.5050539188381165,7064.252051123489,2820
S3,full_easm_lon,35_40N,35.0,40.0,1.3440635133526153,1.3914754324912522,1.3677694729219336,3857.109913639853,2820
S3,full_easm_lon,40_45N,40.0,45.0,0.9143446598508915,1.0610534205657465,0.9876990402083188,2785.311293387459,2820
S3,full_easm_lon,45_50N,45.0,50.0,0.35381687166713915,1.0548152123153294,0.7043160419912343,1986.1712384152806,2820
S3,full_easm_lon,50_55N,50.0,55.0,-0.016075503707443248,1.0532670036748273,0.5185957499836918,1462.440014954011,2820
S3,full_easm_lon,55_60N,55.0,60.0,-0.2963869456743584,0.7565648806961517,0.23008896751089658,681.2934327997648,2961
S3,west_sector,10_15N,10.0,15.0,0.964355807820146,0.9869166438885928,0.9756362258543695,956.123501337282,980
S3,west_sector,15_20N,15.0,20.0,2.358039477198391,2.358039477198391,2.358039477198391,2310.878687654423,980
S3,west_sector,20_25N,20.0,25.0,3.9062541249461207,3.906550068165773,3.9064020965559467,3828.274054624828,980
S3,west_sector,25_30N,25.0,30.0,2.8472963162342393,2.9710473676773916,2.9091718419558155,2850.988405116699,980
S3,west_sector,30_35N,30.0,35.0,0.6326374600504138,0.8149911479943132,0.7238143040223635,709.3380179419162,980
S3,west_sector,35_40N,35.0,40.0,0.7246343652353961,0.8609956594939668,0.7928150123646815,776.9587121173879,980
S3,west_sector,40_45N,40.0,45.0,0.11322264387440105,0.4989282475128216,0.3060754456936114,299.95393677973914,980
S3,west_sector,45_50N,45.0,50.0,-0.6699046783413584,0.6858791019401149,0.00798721179937828,7.827467563390714,980
S3,west_sector,50_55N,50.0,55.0,-1.3145103252852526,1.315296908320507,0.00039329151762722004,0.38542568727467563,980
S3,west_sector,55_60N,55.0,60.0,-1.0850203113356038,1.0851915689885006,8.562882644826205e-05,0.08811206241526165,1029
S3,mid_sector,10_15N,10.0,15.0,2.5895227901317193,2.5895227901317193,2.5895227901317193,2330.5705111185475,900
S3,mid_sector,15_20N,15.0,20.0,3.567232752201893,3.567232752201893,3.567232752201893,3210.5094769817038,900
S3,mid_sector,20_25N,20.0,25.0,4.468118243185692,4.4693390310957515,4.468728637140721,4021.855773426649,900
S3,mid_sector,25_30N,25.0,30.0,5.240826608428843,5.240826608428843,5.240826608428843,4716.743947585958,900
S3,mid_sector,30_35N,30.0,35.0,2.942487377942327,2.942487377942327,2.942487377942327,2648.2386401480944,900
S3,mid_sector,35_40N,35.0,40.0,1.2908599130574012,1.2909349614991306,1.290897437278266,1161.8076935504394,900
S3,mid_sector,40_45N,40.0,45.0,0.8871224137018334,0.9290345665416716,0.9080784901217523,817.2706411095771,900
S3,mid_sector,45_50N,45.0,50.0,0.07049936102117889,0.8325065249645534,0.4515029429928662,406.35264869357957,900
S3,mid_sector,50_55N,50.0,55.0,-0.009223495112829163,0.5046172140469913,0.24769685946708112,222.927173520373,900
S3,mid_sector,55_60N,55.0,60.0,-0.4599636004515248,0.49074480628051287,0.015390602914494027,14.544119754196856,945
S3,east_sector,10_15N,10.0,15.0,1.3359187856948553,1.3359187856948553,1.3359187856948553,1309.2004099809583,980
S3,east_sector,15_20N,15.0,20.0,2.517534711476101,2.517534711476101,2.517534711476101,2467.184017246579,980
S3,east_sector,20_25N,20.0,25.0,3.8629531776770416,3.8629531776770416,3.8629531776770416,3785.6941141235006,980
S3,east_sector,25_30N,25.0,30.0,4.801489313180572,4.801489313180572,4.801489313180572,4705.45952691696,980
S3,east_sector,30_35N,30.0,35.0,3.8991005157538767,3.8991005157538767,3.8991005157538767,3821.1185054387993,980
S3,east_sector,35_40N,35.0,40.0,2.0074026054076417,2.0074026054076417,2.0074026054076417,1967.2545532994889,980
S3,east_sector,40_45N,40.0,45.0,1.7516501318198459,1.7516501318198459,1.7516501318198459,1716.617129183449,980
S3,east_sector,45_50N,45.0,50.0,1.6222556654215934,1.6222556654215934,1.6222556654215934,1589.8105521131615,980
S3,east_sector,50_55N,50.0,55.0,1.2798470721524655,1.2838725803135729,1.2818598262330192,1256.222629708359,980
S3,east_sector,55_60N,55.0,60.0,0.6406098976357602,0.6634656198702042,0.6520377587529822,670.9468537568187,1029
S3,south_scs_ref,10_15N,10.0,15.0,1.8153346191180877,1.8237652781141993,1.8195499486161437,3675.49089620461,2020
S3,south_scs_ref,15_20N,15.0,20.0,3.091871809250591,3.091871809250591,3.091871809250591,6245.581054686193,2020
S3,south_scs_ref,20_25N,20.0,25.0,4.661932177870665,4.662476093276137,4.6622041355734005,9417.65235385827,2020
S3,south_scs_ref,25_30N,25.0,30.0,5.116811741233571,5.119267733968352,5.118039737600961,10338.440269953942,2020
S3,south_scs_ref,30_35N,30.0,35.0,2.841284320152882,2.852584270342318,2.8469342952476,5750.807276400153,2020
S3,south_scs_ref,35_40N,35.0,40.0,1.4746307486646661,1.476522095226822,1.4755764219457441,2980.6643723304032,2020
S3,south_scs_ref,40_45N,40.0,45.0,1.008084872890789,1.124627130985437,1.0663560019381129,2154.039123914988,2020
S3,south_scs_ref,45_50N,45.0,50.0,0.2523612980152732,1.0538381593697828,0.6530997286925281,1319.2614519589067,2020
S3,south_scs_ref,50_55N,50.0,55.0,-0.027528077873632994,0.9933183692153985,0.4828951456708829,975.4481942551834,2020
S3,south_scs_ref,55_60N,55.0,60.0,-0.3807982400286326,0.6980679425511442,0.15863485126125582,336.4645195251236,2121
T3_early,full_easm_lon,10_15N,10.0,15.0,1.5138863079492983,1.5169487290782835,1.515417518513791,4273.47740220889,2820
T3_early,full_easm_lon,15_20N,15.0,20.0,2.375461868938006,2.375494039931825,2.3754779544349156,6698.847831506462,2820
T3_early,full_easm_lon,20_25N,20.0,25.0,3.2752157649246456,3.275784800972277,3.275500282948461,9236.910797914661,2820
T3_early,full_easm_lon,25_30N,25.0,30.0,3.5720299648430576,3.5995442033657947,3.585787084104426,10111.919577174482,2820
T3_early,full_easm_lon,30_35N,30.0,35.0,2.5870148942127194,2.6251129350220226,2.606063914617371,7349.100239220987,2820
T3_early,full_easm_lon,35_40N,35.0,40.0,1.8133988570834658,1.851349622253265,1.8323742396683653,5167.2953558647905,2820
T3_early,full_easm_lon,40_45N,40.0,45.0,1.3236025151173316,1.3749154569813868,1.3492589860493591,3804.910340659193,2820
T3_early,full_easm_lon,45_50N,45.0,50.0,0.6365932247177233,1.0812273087743531,0.8589102667460383,2422.126952223828,2820
T3_early,full_easm_lon,50_55N,50.0,55.0,0.2464493946003192,1.1452981132879496,0.6958737539441344,1962.363986122459,2820
T3_early,full_easm_lon,55_60N,55.0,60.0,-0.3220137591305039,0.87869034265915,0.278338291764323,824.1596819141605,2961
T3_early,west_sector,10_15N,10.0,15.0,1.115770586844847,1.1245828598894767,1.120176723367162,1097.7731888998187,980
T3_early,west_sector,15_20N,15.0,20.0,2.153854596937442,2.153854596937442,2.153854596937442,2110.777504998693,980
T3_early,west_sector,20_25N,20.0,25.0,3.451040971161696,3.4513703769568878,3.451205674059292,3382.1815605781057,980
T3_early,west_sector,25_30N,25.0,30.0,2.7967504722877807,2.8759240974246354,2.8363372848562083,2779.610539159084,980
T3_early,west_sector,30_35N,30.0,35.0,0.8405085325750118,0.9501375887813753,0.8953230606781936,877.4165994646297,980
T3_early,west_sector,35_40N,35.0,40.0,1.0085790283192637,1.1177842913588902,1.063181659839077,1041.9180266422954,980
T3_early,west_sector,40_45N,40.0,45.0,0.5224597016874929,0.6672549909462291,0.5948573463168609,582.9601993905237,980
T3_early,west_sector,45_50N,45.0,50.0,-0.34503692313094386,0.4188227869196177,0.03689293189433696,36.15507325645022,980
T3_early,west_sector,50_55N,50.0,55.0,-1.057448049294542,1.0627569347421535,0.002654442723805712,2.6013538693295977,980
T3_early,west_sector,55_60N,55.0,60.0,-1.2715341347663405,1.2716494324758982,5.764885477884808e-05,0.059320671567434674,1029
T3_early,mid_sector,10_15N,10.0,15.0,2.436297227199195,2.436297227199195,2.436297227199195,2192.6675044792755,900
T3_early,mid_sector,15_20N,15.0,20.0,3.1018015869551645,3.1019023894024653,3.1018519881788147,2791.6667893609333,900
T3_early,mid_sector,20_25N,20.0,25.0,3.734326206202332,3.735750499507923,3.7350383528551276,3361.5345175696148,900
T3_early,mid_sector,25_30N,25.0,30.0,4.707909992910425,4.707909992910425,4.707909992910425,4237.118993619382,900
T3_early,mid_sector,30_35N,30.0,35.0,3.751655080024585,3.751655080024585,3.751655080024585,3376.4895720221266,900
T3_early,mid_sector,35_40N,35.0,40.0,2.0262452596003433,2.0262452596003433,2.0262452596003433,1823.6207336403088,900
T3_early,mid_sector,40_45N,40.0,45.0,1.3636854281979909,1.3667999977347405,1.3652427129663656,1228.718441669729,900
T3_early,mid_sector,45_50N,45.0,50.0,0.26139744313460084,0.8453781857978561,0.5533878144662284,498.0490330196056,900
T3_early,mid_sector,50_55N,50.0,55.0,0.020954420712072843,0.54906042865432,0.28500742468319645,256.50668221487683,900
T3_early,mid_sector,55_60N,55.0,60.0,-0.4871128877661186,0.539319497157211,0.026103304695546194,24.667622937291153,945
T3_early,east_sector,10_15N,10.0,15.0,1.0869194645725324,1.0869194645725324,1.0869194645725324,1065.1810752810818,980
