window,sector,lat_band,lat_min,lat_max,P_mean,P_integrated,P_share_within_sector_window,n_valid_grid
S3,full_easm_lon,10_15N,10.0,15.0,9.145361058203454,25789.91818413374,0.15934202248605786,2820
S3,full_easm_lon,15_20N,15.0,20.0,8.046719727215567,22691.7496307479,0.14020010665001173,2820
S3,full_easm_lon,20_25N,20.0,25.0,6.8628834605214735,19353.331358670555,0.11957381712170771,2820
S3,full_easm_lon,25_30N,25.0,30.0,6.2244419829124356,17552.926391813067,0.10845008393788133,2820
S3,full_easm_lon,30_35N,30.0,35.0,8.36433048849474,23587.41197755517,0.14573392218156622,2820
S3,full_easm_lon,35_40N,35.0,40.0,5.112559155548342,14417.416818646325,0.08907745804020958,2820
S3,full_easm_lon,40_45N,40.0,45.0,3.081315824352201,8689.310624673208,0.05368657314302085,2820
S3,full_easm_lon,45_50N,45.0,50.0,3.304668131352749,9319.164130414752,0.05757809892291013,2820
S3,full_easm_lon,50_55N,50.0,55.0,3.725447076898339,10505.760756853317,0.06490944076672316,2820
S3,full_easm_lon,55_60N,55.0,60.0,3.3588634871060887,9945.59478532113,0.061448476749911385,2961
S3,west_sector,10_15N,10.0,15.0,6.939959485069155,6801.160295367771,0.137564868070848,980
S3,west_sector,15_20N,15.0,20.0,6.490932599935727,6361.113947937012,0.12866419302417975,980
S3,west_sector,20_25N,20.0,25.0,8.821254613265646,8644.829521000333,0.17485616878657553,980
S3,west_sector,25_30N,25.0,30.0,8.478096113097694,8308.53419083574,0.16805403198670577,980
S3,west_sector,30_35N,30.0,35.0,7.447719908410242,7298.765510242038,0.14762976770013148,980
S3,west_sector,35_40N,35.0,40.0,2.8925951599964477,2834.743256796519,0.05733743437888668,980
S3,west_sector,40_45N,40.0,45.0,0.903910746913486,885.8325319752163,0.017917447920913376,980
S3,west_sector,45_50N,45.0,50.0,2.4482802075980743,2399.314603446113,0.048530159935845994,980
S3,west_sector,50_55N,50.0,55.0,3.3899074516733223,3322.1093026398557,0.06719522965013078,980
S3,west_sector,55_60N,55.0,60.0,2.5104536123107906,2583.2567670678036,0.05225069854578269,1029
S3,mid_sector,10_15N,10.0,15.0,10.665885537152231,9599.296983437009,0.17681841972946324,900
S3,mid_sector,15_20N,15.0,20.0,8.74803278841513,7873.229509573618,0.1450243702692209,900
S3,mid_sector,20_25N,20.0,25.0,6.699827741824021,6029.8449676416185,0.11106934812327278,900
S3,mid_sector,25_30N,25.0,30.0,6.007366873401594,5406.630186061435,0.09958977279383077,900
S3,mid_sector,30_35N,30.0,35.0,8.6814876828634,7813.338914577061,0.14392118944439378,900
S3,mid_sector,35_40N,35.0,40.0,4.992708908334897,4493.438017501407,0.08276883304868997,900
S3,mid_sector,40_45N,40.0,45.0,3.4570043188891,3111.30388700019,0.05731001317562477,900
S3,mid_sector,45_50N,45.0,50.0,3.2459505335183794,2921.3554801665414,0.05381117600198527,900
