comparison,target_window,reference_window,region,P_delta,P_delta_percent,P_direction,V850_delta,V850_delta_percent,V850_direction,V850_abs_delta,V850_abs_delta_percent
T3_full_minus_S3,T3_full,S3,north_northeast,0.28721928313426837,6.288657870176226,increase,0.4234273332137719,34.937512996326994,increase,0.34024284401049876,24.56785741284639
T3_full_minus_S3,T3_full,S3,main_meiyu,-1.1435215585367233,-15.38932124258879,decrease,-0.18619407213893258,-5.935779497207767,decrease,-0.2214836303520067,-6.911911711265121
T3_full_minus_S3,T3_full,S3,south_china,1.0660691647028973,15.081010119332634,increase,-0.9419824454523673,-19.918731151072404,decrease,-0.9419824454523673,-19.918731151072404
T3_full_minus_S3,T3_full,S3,scs,0.9278189340288403,10.951338688222346,increase,-0.4594550141043263,-18.49124287335227,decrease,-0.45917887056150386,-18.44959281021602
T3_full_minus_S3,T3_full,S3,south_china_scs,0.8535090803794576,10.829439697947171,increase,-0.7205465819808925,-22.31670655764555,decrease,-0.7200956486028773,-22.28243333891099
T3_full_minus_S3,T3_full,S3,main_easm_domain,0.082210413557819,1.3148295830628505,increase,-0.1953033624246956,-8.840592460749466,decrease,-0.264110278223872,-11.287386013980587
T3_late_minus_T3_early,T3_late,T3_early,north_northeast,-0.07607909688777781,-1.5561090277106955,decrease,0.025386984980907856,1.5633882340474712,increase,-0.026203418172138893,-1.5063115107046816
T3_late_minus_T3_early,T3_late,T3_early,main_meiyu,-0.7809136464042687,-11.7571064588748,decrease,-0.47783779008367544,-15.084149029742758,decrease,-0.4958634168075462,-15.449328259853043
T3_late_minus_T3_early,T3_late,T3_early,south_china,-0.18200638656866985,-2.2147958566501567,decrease,-0.8421736145560876,-20.196239932386828,decrease,-0.8421736145560876,-20.196239932386828
T3_late_minus_T3_early,T3_late,T3_early,scs,0.42082357224931144,4.569831896515454,increase,-0.3335585787499753,-15.322787020054376,decrease,-0.32485265965001164,-14.908528808179323
T3_late_minus_T3_early,T3_late,T3_early,south_china_scs,0.34111625955603486,3.9757907820741902,increase,-0.5324934781865616,-19.36179660370576,decrease,-0.5257423047698842,-19.105103570506234
T3_late_minus_T3_early,T3_late,T3_early,main_easm_domain,-0.03296753204455616,-0.5191943021933638,decrease,-0.24877866889979527,-11.696532062561946,decrease,-0.281055521457116,-12.741473206294362
S4_minus_T3_full,S4,T3_full,north_northeast,-0.49625078094301145,-10.222536126708542,decrease,-0.783044652408779,-47.88140923553452,decrease,-0.7212331661932145,-41.80690120433888
S4_minus_T3_full,S4,T3_full,main_meiyu,-0.30443636626377923,-4.842241653717952,decrease,-1.5685289445726764,-53.15938959716038,decrease,-1.5591943139665276,-52.271225167995325
S4_minus_T3_full,S4,T3_full,south_china,0.7836598035631059,9.633164027059248,increase,-1.6891061146241388,-44.60102594259914,decrease,-1.6843069132798294,-44.47430252255579
S4_minus_T3_full,S4,T3_full,scs,0.022451757015266693,0.23884808648898023,increase,-0.1902813563484942,-9.39539568445816,decrease,-0.17590581490693014,-8.666803546035789
S4_minus_T3_full,S4,T3_full,south_china_scs,0.5047435391763191,5.7784781096363425,increase,-0.6276378432106853,-25.023585196508574,decrease,-0.6162296283237267,-24.535550711681413
S4_minus_T3_full,S4,T3_full,main_easm_domain,0.0453081420938366,0.7152302423711886,increase,-0.6898526200618709,-34.25519739058483,decrease,-0.6681933399870603,-32.190286444155184
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",north_northeast,-0.03458140767626183,-0.7073222853230269,decrease,-0.013847446353222548,-0.8396305335995872,decrease,,
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",main_meiyu,-0.3549607483655768,-5.344139299488547,decrease,-0.2171989954925797,-6.856431377155797,decrease,,
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",south_china,-0.08273017571303143,-1.006725389386431,decrease,-0.38280618843458525,-9.18010906017583,decrease,,
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",scs,-0.2295401303178064,-2.3837043004757694,decrease,-0.15161753579544346,-6.964903190933813,decrease,,
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",south_china_scs,-0.1860634143032911,-2.0856904646235384,decrease,-0.2420424900848004,-8.800816638048058,decrease,,
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",main_easm_domain,-0.01498524183843486,-0.23599741008789643,decrease,-0.11308121313627018,-5.316605482982684,decrease,,
