window,source,target,best_positive_lag,best_positive_corr,best_positive_abs_corr,lag0_corr,lag0_abs_corr,lag_minus_tau0_abs,n_pairs_best_positive,n_pairs_lag0,classification,lag_tau0_class,classification_reason
S1,V_PC1,P_PC1,2.0,-0.43176428597857297,0.43176428597857297,-0.3463105267566052,0.3463105267566052,0.0854537592219678,1665,1755,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin
T1,V_PC1,P_PC1,2.0,-0.5978548140047099,0.5978548140047099,-0.5105600013044614,0.5105600013044614,0.08729481270024841,405,405,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin
S2,V_PC1,P_PC1,1.0,-0.4080012836136854,0.4080012836136854,-0.3969189607573613,0.3969189607573613,0.011082322856324045,1170,1170,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed
T2,V_PC1,P_PC1,1.0,-0.41776409972096623,0.41776409972096623,-0.3997363155140718,0.3997363155140718,0.018027784206894437,540,540,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed
S3,V_PC1,P_PC1,1.0,-0.2626034347909785,0.2626034347909785,-0.29585756018755266,0.29585756018755266,-0.033254125396574186,900,900,lead_lag_ambiguous_same_day_dominant,tau0_abs_dominant,lag0 absolute correlation exceeds best positive lag
T3,V_PC1,P_PC1,1.0,-0.2116402954863159,0.2116402954863159,-0.2633608825117682,0.2633608825117682,-0.05172058702545229,495,495,lead_lag_ambiguous_same_day_dominant,tau0_abs_dominant,lag0 absolute correlation exceeds best positive lag
S4,V_PC1,P_PC1,1.0,-0.2296605958909109,0.2296605958909109,-0.2367494071390734,0.2367494071390734,-0.007088811248162491,1665,1665,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed
T4,V_PC1,P_PC1,5.0,-0.20279185013038972,0.20279185013038972,-0.10777711138096138,0.10777711138096138,0.09501473874942834,450,450,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin
S5,V_PC1,P_PC1,1.0,-0.20496429329401597,0.20496429329401597,-0.24052303973739286,0.24052303973739286,-0.03555874644337689,855,855,lead_lag_ambiguous_same_day_dominant,tau0_abs_dominant,lag0 absolute correlation exceeds best positive lag
