window,pc1_series_mode,source,target,best_positive_lag,best_positive_corr,best_positive_abs_corr,lag0_corr,lag0_abs_corr,lag_minus_tau0_abs,n_pairs_best_positive,n_pairs_lag0,classification,lag_tau0_class,classification_reason,raw_best_positive_abs_corr,corr_drop_from_raw_abs
S1,raw,V_PC1,P_PC1,2.0,-0.43176428597857297,0.43176428597857297,-0.3463105267566052,0.3463105267566052,0.0854537592219678,1665.0,1755.0,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin,0.43176428597857297,0.0
T1,raw,V_PC1,P_PC1,2.0,-0.5978548140047099,0.5978548140047099,-0.5105600013044614,0.5105600013044614,0.08729481270024841,405.0,405.0,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin,0.5978548140047099,0.0
S2,raw,V_PC1,P_PC1,1.0,-0.4080012836136854,0.4080012836136854,-0.3969189607573613,0.3969189607573613,0.011082322856324045,1170.0,1170.0,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed,0.4080012836136854,0.0
T2,raw,V_PC1,P_PC1,1.0,-0.41776409972096623,0.41776409972096623,-0.3997363155140718,0.3997363155140718,0.018027784206894437,540.0,540.0,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed,0.41776409972096623,0.0
S3,raw,V_PC1,P_PC1,1.0,-0.2626034347909785,0.2626034347909785,-0.29585756018755266,0.29585756018755266,-0.033254125396574186,900.0,900.0,lead_lag_ambiguous_same_day_dominant,tau0_abs_dominant,lag0 absolute correlation exceeds best positive lag,0.2626034347909785,0.0
T3,raw,V_PC1,P_PC1,1.0,-0.2116402954863159,0.2116402954863159,-0.2633608825117682,0.2633608825117682,-0.05172058702545229,495.0,495.0,lead_lag_ambiguous_same_day_dominant,tau0_abs_dominant,lag0 absolute correlation exceeds best positive lag,0.2116402954863159,0.0
S4,raw,V_PC1,P_PC1,1.0,-0.2296605958909109,0.2296605958909109,-0.2367494071390734,0.2367494071390734,-0.007088811248162491,1665.0,1665.0,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed,0.2296605958909109,0.0
T4,raw,V_PC1,P_PC1,5.0,-0.20279185013038972,0.20279185013038972,-0.10777711138096138,0.10777711138096138,0.09501473874942834,450.0,450.0,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin,0.20279185013038972,0.0
S5,raw,V_PC1,P_PC1,1.0,-0.20496429329401597,0.20496429329401597,-0.24052303973739286,0.24052303973739286,-0.03555874644337689,855.0,855.0,lead_lag_ambiguous_same_day_dominant,tau0_abs_dominant,lag0 absolute correlation exceeds best positive lag,0.20496429329401597,0.0
S1,doy_residual,V_PC1_doy_residual,P_PC1_doy_residual,2.0,-0.43176428597861555,0.43176428597861555,-0.3463105267566288,0.3463105267566288,0.08545375922198672,1665.0,1755.0,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin,0.43176428597857297,-4.2577052994374753e-14
T1,doy_residual,V_PC1_doy_residual,P_PC1_doy_residual,2.0,-0.5978548140047243,0.5978548140047243,-0.5105600013045454,0.5105600013045454,0.08729481270017891,405.0,405.0,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin,0.5978548140047099,-1.4432899320127035e-14
S2,doy_residual,V_PC1_doy_residual,P_PC1_doy_residual,1.0,-0.40800128361371574,0.40800128361371574,-0.3969189607573958,0.3969189607573958,0.011082322856319937,1170.0,1170.0,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed,0.4080012836136854,-3.036459972349803e-14
T2,doy_residual,V_PC1_doy_residual,P_PC1_doy_residual,1.0,-0.4177640997210164,0.4177640997210164,-0.39973631551407296,0.39973631551407296,0.018027784206943454,540.0,540.0,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed,0.41776409972096623,-5.0182080713057076e-14
S3,doy_residual,V_PC1_doy_residual,P_PC1_doy_residual,1.0,-0.26260343479101717,0.26260343479101717,-0.29585756018762,0.29585756018762,-0.03325412539660283,900.0,900.0,lead_lag_ambiguous_same_day_dominant,tau0_abs_dominant,lag0 absolute correlation exceeds best positive lag,0.2626034347909785,-3.8691272408186705e-14
T3,doy_residual,V_PC1_doy_residual,P_PC1_doy_residual,1.0,-0.2116402954863481,0.2116402954863481,-0.2633608825118149,0.2633608825118149,-0.05172058702546678,495.0,495.0,lead_lag_ambiguous_same_day_dominant,tau0_abs_dominant,lag0 absolute correlation exceeds best positive lag,0.2116402954863159,-3.219646771412954e-14
S4,doy_residual,V_PC1_doy_residual,P_PC1_doy_residual,1.0,-0.22966059589093557,0.22966059589093557,-0.23674940713908882,0.23674940713908882,-0.007088811248153248,1665.0,1665.0,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed,0.2296605958909109,-2.4674706722294104e-14
T4,doy_residual,V_PC1_doy_residual,P_PC1_doy_residual,5.0,-0.20279185013043802,0.20279185013043802,-0.10777711138095375,0.10777711138095375,0.09501473874948427,450.0,450.0,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin,0.20279185013038972,-4.829470157119431e-14
S5,doy_residual,V_PC1_doy_residual,P_PC1_doy_residual,1.0,-0.2049642932940166,0.2049642932940166,-0.24052303973739095,0.24052303973739095,-0.03555874644337434,855.0,855.0,lead_lag_ambiguous_same_day_dominant,tau0_abs_dominant,lag0 absolute correlation exceeds best positive lag,0.20496429329401597,-6.38378239159465e-16
S1,window_centered,,,2.0,-0.43176428597857297,0.43176428597857297,-0.3463105267566052,0.3463105267566052,0.0854537592219678,,,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin,0.43176428597857297,0.0
T1,window_centered,,,2.0,-0.5978548140047099,0.5978548140047099,-0.5105600013044614,0.5105600013044614,0.08729481270024841,,,lead_lag_yes_clear,stable_lag_dominant,best positive lag exceeds lag0 by margin,0.5978548140047099,0.0
S2,window_centered,,,1.0,-0.4080012836136854,0.4080012836136854,-0.3969189607573613,0.3969189607573613,0.011082322856324045,,,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed,0.4080012836136854,0.0
T2,window_centered,,,1.0,-0.41776409972096623,0.41776409972096623,-0.3997363155140718,0.3997363155140718,0.018027784206894437,,,lead_lag_ambiguous_coupled_or_close,tau0_coupled_or_close,positive lag and lag0 are close or mixed,0.41776409972096623,0.0
