window,field,pc_mode,n_samples,n_old_indices_available,best_matching_old_index,best_corr,best_abs_corr,multi_index_R2,alignment_class
S1,V,V_PC1,1755,3,V_NS_diff,-0.7036110865860548,0.7036110865860548,0.5006736829385683,aligned_with_old_index_space
T1,V,V_PC1,405,3,V_NS_diff,-0.7147325262976696,0.7147325262976696,0.5095622682706675,aligned_with_old_index_space
S2,V,V_PC1,1170,3,V_NS_diff,-0.6463072564826277,0.6463072564826277,0.43666623811756766,partially_aligned_with_old_index_space
T2,V,V_PC1,540,3,V_NS_diff,-0.6614600302282228,0.6614600302282228,0.4500061407280429,partially_aligned_with_old_index_space
S3,V,V_PC1,900,3,V_NS_diff,-0.7029855630698052,0.7029855630698052,0.5045159777565633,aligned_with_old_index_space
T3,V,V_PC1,495,3,V_NS_diff,-0.6875096363965134,0.6875096363965134,0.4906651545364935,partially_aligned_with_old_index_space
S4,V,V_PC1,1665,3,V_NS_diff,-0.7026004025193164,0.7026004025193164,0.5048816465574377,aligned_with_old_index_space
T4,V,V_PC1,450,3,V_strength,-0.6627372468843179,0.6627372468843179,0.4812948712789109,partially_aligned_with_old_index_space
S5,V,V_PC1,855,3,V_NS_diff,-0.769482691851763,0.769482691851763,0.6017360272245895,aligned_with_old_index_space
S1,P,P_PC1,1755,7,P_main_band_share,0.8321429023768708,0.8321429023768708,0.7141009621905127,aligned_with_old_index_space
T1,P,P_PC1,405,7,P_main_band_share,0.8891513499869158,0.8891513499869158,0.8642136854264305,aligned_with_old_index_space
S2,P,P_PC1,1170,7,P_main_band_share,0.8807380398779573,0.8807380398779573,0.7996254645552371,aligned_with_old_index_space
T2,P,P_PC1,540,7,P_main_band_share,0.8969795335339849,0.8969795335339849,0.8184963915776292,aligned_with_old_index_space
S3,P,P_PC1,900,7,P_main_minus_south,0.8115094831346757,0.8115094831346757,0.7864263930149776,aligned_with_old_index_space
T3,P,P_PC1,495,7,P_main_minus_south,0.8040673821348858,0.8040673821348858,0.7721120378242265,aligned_with_old_index_space
S4,P,P_PC1,1665,7,P_main_band_share,0.6927089768281814,0.6927089768281814,0.5782681820772702,aligned_with_old_index_space
T4,P,P_PC1,450,7,P_main_band_share,0.7860453581798638,0.7860453581798638,0.6364201891260233,aligned_with_old_index_space
S5,P,P_PC1,855,7,P_main_band_share,0.6753005662403034,0.6753005662403034,0.5015815459279147,aligned_with_old_index_space
