window_id,method,k,cluster_id,cluster_size,skip_reason,min_cluster_size_for_type_peak
W045,kmedoids_behavior_pca,3,2,2,cluster_size_below_min_cluster_size_for_type_peak,8
W045,kmedoids_behavior_pca,4,2,2,cluster_size_below_min_cluster_size_for_type_peak,8
W045,kmedoids_behavior_pca,5,0,2,cluster_size_below_min_cluster_size_for_type_peak,8
W045,kmedoids_behavior_pca,6,2,7,cluster_size_below_min_cluster_size_for_type_peak,8
W045,kmedoids_behavior_pca,6,3,2,cluster_size_below_min_cluster_size_for_type_peak,8
W045,kmedoids_behavior_pca,6,4,5,cluster_size_below_min_cluster_size_for_type_peak,8
W045,kmedoids_behavior_pca,6,5,3,cluster_size_below_min_cluster_size_for_type_peak,8
W081,kmedoids_behavior_pca,4,3,7,cluster_size_below_min_cluster_size_for_type_peak,8
W081,kmedoids_behavior_pca,5,1,7,cluster_size_below_min_cluster_size_for_type_peak,8
W081,kmedoids_behavior_pca,5,2,6,cluster_size_below_min_cluster_size_for_type_peak,8
W081,kmedoids_behavior_pca,6,0,6,cluster_size_below_min_cluster_size_for_type_peak,8
W081,kmedoids_behavior_pca,6,1,3,cluster_size_below_min_cluster_size_for_type_peak,8
W081,kmedoids_behavior_pca,6,2,6,cluster_size_below_min_cluster_size_for_type_peak,8
W113,kmedoids_behavior_pca,4,2,5,cluster_size_below_min_cluster_size_for_type_peak,8
W113,kmedoids_behavior_pca,5,1,6,cluster_size_below_min_cluster_size_for_type_peak,8
W113,kmedoids_behavior_pca,5,2,6,cluster_size_below_min_cluster_size_for_type_peak,8
W113,kmedoids_behavior_pca,6,2,3,cluster_size_below_min_cluster_size_for_type_peak,8
W113,kmedoids_behavior_pca,6,3,6,cluster_size_below_min_cluster_size_for_type_peak,8
W113,kmedoids_behavior_pca,6,5,4,cluster_size_below_min_cluster_size_for_type_peak,8
W160,kmedoids_behavior_pca,3,0,3,cluster_size_below_min_cluster_size_for_type_peak,8
W160,kmedoids_behavior_pca,4,0,7,cluster_size_below_min_cluster_size_for_type_peak,8
W160,kmedoids_behavior_pca,5,3,7,cluster_size_below_min_cluster_size_for_type_peak,8
W160,kmedoids_behavior_pca,5,4,2,cluster_size_below_min_cluster_size_for_type_peak,8
W160,kmedoids_behavior_pca,6,0,5,cluster_size_below_min_cluster_size_for_type_peak,8
W160,kmedoids_behavior_pca,6,1,6,cluster_size_below_min_cluster_size_for_type_peak,8
W160,kmedoids_behavior_pca,6,3,4,cluster_size_below_min_cluster_size_for_type_peak,8
