window_id,object,feature_kind,component,explained_variance_ratio
W045,P,profile_pca,1,0.08829269030724053
W045,P,profile_pca,2,0.08035356493289839
W045,P,profile_pca,3,0.07225797973710528
W045,V,profile_pca,1,0.15548655271178716
W045,V,profile_pca,2,0.12367398732395773
W045,V,profile_pca,3,0.09009858650440142
W045,H,profile_pca,1,0.30751466122134824
W045,H,profile_pca,2,0.14265728401456043
W045,H,profile_pca,3,0.09487953268385733
W045,Je,profile_pca,1,0.17303873214946372
W045,Je,profile_pca,2,0.128297738852184
W045,Je,profile_pca,3,0.11066597861266236
W045,Jw,profile_pca,1,0.16009548012078634
W045,Jw,profile_pca,2,0.11406327977684408
W045,Jw,profile_pca,3,0.08657384201087574
W081,P,profile_pca,1,0.10154777956750116
W081,P,profile_pca,2,0.07765040896952317
W081,P,profile_pca,3,0.07641678965019386
W081,V,profile_pca,1,0.14028744319927522
W081,V,profile_pca,2,0.12955846447886207
W081,V,profile_pca,3,0.10169602345783073
W081,H,profile_pca,1,0.33277782652871035
W081,H,profile_pca,2,0.13068793654997674
W081,H,profile_pca,3,0.09880964757101342
W081,Je,profile_pca,1,0.19092520315752903
W081,Je,profile_pca,2,0.14466892185816044
W081,Je,profile_pca,3,0.11816879078417865
W081,Jw,profile_pca,1,0.18867543538767223
W081,Jw,profile_pca,2,0.1316509061421922
W081,Jw,profile_pca,3,0.11481379375593329
W113,P,profile_pca,1,0.08428958339088774
W113,P,profile_pca,2,0.07968372768768969
W113,P,profile_pca,3,0.07613373466411825
W113,V,profile_pca,1,0.15903998629346935
W113,V,profile_pca,2,0.1285745996439743
W113,V,profile_pca,3,0.09144485570724993
W113,H,profile_pca,1,0.30472655953243
W113,H,profile_pca,2,0.11629877702530453
W113,H,profile_pca,3,0.08690279140188821
W113,Je,profile_pca,1,0.1815958719746854
W113,Je,profile_pca,2,0.12813237617586
W113,Je,profile_pca,3,0.11779110324158654
W113,Jw,profile_pca,1,0.17307328987222362
W113,Jw,profile_pca,2,0.12258752218300774
W113,Jw,profile_pca,3,0.10694954899208922
W160,P,profile_pca,1,0.09871092406236172
W160,P,profile_pca,2,0.08986983590098147
W160,P,profile_pca,3,0.06849292008279202
W160,V,profile_pca,1,0.17542722738762812
W160,V,profile_pca,2,0.11318792271056528
W160,V,profile_pca,3,0.10281645286494813
W160,H,profile_pca,1,0.277894797407102
W160,H,profile_pca,2,0.1178259997436781
W160,H,profile_pca,3,0.09666872464686918
W160,Je,profile_pca,1,0.18316579143877573
W160,Je,profile_pca,2,0.14382245845890565
W160,Je,profile_pca,3,0.11916357094465982
W160,Jw,profile_pca,1,0.17314514892455252
W160,Jw,profile_pca,2,0.15991424843411525
W160,Jw,profile_pca,3,0.12012407243004829
