window,source_variable,target_variable,source_family,target_family,source_index_type,target_index_type,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,p_pos_surrogate,q_pos_within_window,q_pos_global,evidence_tier,lead_lag_label,lead_lag_group,lag_vs_tau0_label,forward_vs_reverse_label,v1_stability_judgement,v1_stability_use_class,v1_stability_interpretation_guardrail,D_pos_0_used,D_pos_neg_used,same_day_coupling_detected,failure_reason,risk_note
T3_forw17,V_lowlat_20_30_mean,P_main_28_35_mean,V,P,new_v1_1,new_v1_1,2,0.2333999038040249,0.2333999038040249,0.1979775028880879,0.1979775028880879,0.0509490509490509,0.1850190625700829,0.1850190625700829,Tier4d_ambiguous_marginal_statistical_support,lead_lag_ambiguous_marginal_statistical_support,lead_lag_ambiguous,lag_tau0_close_or_coupled,stable_forward_over_reverse,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.0265583832035953,0.0850391575207452,False,marginal_statistical_support,marginal
T3_forw17,V_lowlat_20_30_mean,P_south_10_25_mean,V,P,new_v1_1,new_v1_1,5,-0.1329318355328554,0.1329318355328554,0.0108312893613333,0.0108312893613333,0.3046953046953047,0.4655067155067155,0.4655067155067155,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.1048321143054722,-0.0490431673168104,False,positive_lag_not_supported,
T3_forw17,V_lowlat_20_30_mean,P_scs_10_20_mean,V,P,new_v1_1,new_v1_1,5,-0.1300030153674349,0.1300030153674349,-0.0052221841779307,0.0052221841779307,0.3396603396603396,0.4749487800335258,0.4749487800335258,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.1125185147900148,-0.0443645406759539,False,positive_lag_not_supported,
T3_forw17,V_lowlat_20_30_mean,P_highlat_40_60_mean,V,P,new_v1_1,new_v1_1,2,0.286556216219033,0.286556216219033,0.2557631973398572,0.2557631973398572,0.0089910089910089,0.0824175824175824,0.0824175824175824,Tier2_main_supported_audit_moderate,lead_lag_yes_with_same_day_coupling,lead_lag_yes,lag_tau0_close_or_coupled,stable_forward_over_reverse,significant_lagged_but_tau0_coupled,temporal_candidate_with_tau0_coupling,"Forward direction is stable versus reverse, but positive lag is not stably stronger than lag0 or has same-day coupling.",0.017613111314481,0.065991072496141,True,,same_day_coupling_present
T3_forw17,V_lowlat_20_30_mean,P_highlat_35_60_mean,V,P,new_v1_1,new_v1_1,1,0.423568030708207,0.423568030708207,0.400116131447306,0.400116131447306,0.0009990009990009,0.0235478806907378,0.0235478806907378,Tier1b_audit_stable_with_same_day,lead_lag_yes_with_same_day_coupling,lead_lag_yes,lag_tau0_close_or_coupled,stable_forward_over_reverse,significant_lagged_but_tau0_coupled,temporal_candidate_with_tau0_coupling,"Forward direction is stable versus reverse, but positive lag is not stably stronger than lag0 or has same-day coupling.",0.0115042548203461,0.0577208954317731,True,,same_day_coupling_present
T3_forw17,V_lowlat_20_30_mean,P_highlat_minus_main,V,P,new_v1_1,new_v1_1,2,-0.1169076707213889,0.1169076707213889,-0.0949645801906867,0.0949645801906867,0.3786213786213786,0.4958137100994244,0.4958137100994244,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.0045713089881551,0.0468194576838734,False,positive_lag_not_supported,
T3_forw17,V_lowlat_20_30_mean,P_south_minus_main,V,P,new_v1_1,new_v1_1,3,-0.1773379930685968,0.1773379930685968,-0.0885893042732895,0.0885893042732895,0.1588411588411588,0.3553589267874982,0.3553589267874982,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.0767702997730401,0.0790026331399649,False,positive_lag_not_supported,
T3_forw17,V_lowlat_20_30_mean,P_south_plus_highlat_minus_main,V,P,new_v1_1,new_v1_1,4,-0.127208787501144,0.127208787501144,-0.0416251870718355,0.0416251870718355,0.3176823176823177,0.4705550859397013,0.4705550859397013,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.0649002693997074,0.0143140939264495,False,positive_lag_not_supported,
T3_forw17,V_high_minus_low_35_55_minus_20_30,P_main_band_share,V,P,new_v1_1,old_v1,3,-0.2153345457861866,0.2153345457861866,-0.0980506873298697,0.0980506873298697,0.0819180819180819,0.2371312897628687,0.2371312897628687,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,stable_lag_dominant,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.1037331188718465,0.0883576072673015,False,positive_lag_not_supported,
T3_forw17,V_high_minus_low_35_55_minus_20_30,P_south_band_share_18_24,V,P,new_v1_1,old_v1,4,0.1883423530476229,0.1883423530476229,0.0614427740373274,0.0614427740373274,0.1238761238761238,0.3050680662620961,0.3050680662620961,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,stable_lag_dominant,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.1186980249525054,0.0325708971993035,False,positive_lag_not_supported,
