window_id,object,observed_peak_day,bootstrap_n,finite_bootstrap_n,bootstrap_median,bootstrap_q025,bootstrap_q975,bootstrap_width_q025_q975,mode_count,mode_merge_gap_days,mode1_day_range,mode1_day_weighted_mean,mode1_probability,mode2_day_range,mode2_day_weighted_mean,mode2_probability,mode3_day_range,mode3_day_weighted_mean,mode3_probability,distribution_type
W045,H,35.0,1000,1000,36.0,31.0,55.0,24.0,1,2,20-58,38.874,1.0,,,,,,,single_broad_mode
W045,Je,46.0,1000,1000,46.0,43.0,51.0,8.0,4,2,41-58,46.16952573158426,0.991,33-36,34.285714285714285,0.007,22-22,22.0,0.001,single_compact_mode
W045,Jw,41.0,1000,1000,42.0,38.0,50.0,12.0,1,2,32-52,43.034,1.0,,,,,,,single_compact_mode
W045,P,45.0,1000,1000,45.0,40.0,47.0,7.0,2,2,34-52,44.013013013013015,0.999,31-31,31.0,0.001,,,,single_compact_mode
W045,V,45.0,1000,1000,45.0,41.0,50.0,9.0,1,2,37-52,45.116,1.0,,,,,,,single_compact_mode
W081,H,77.0,1000,1000,77.0,70.0,83.0,13.0,2,2,68-88,77.35135135135135,0.999,91-91,91.0,0.001,,,,single_compact_mode
W081,Je,81.0,1000,991,81.0,70.0,88.0,18.0,1,2,61-91,79.95257315842584,1.0,,,,,,,single_broad_mode
W081,Jw,83.0,1000,999,82.0,73.0,88.0,15.0,1,2,69-91,81.62062062062063,1.0,,,,,,,single_broad_mode
W081,P,82.0,1000,1000,82.0,75.975,87.0,11.025000000000006,3,2,73-90,81.53259779338013,0.997,65-65,65.0,0.002,70-70,70.0,0.001,single_compact_mode
W081,V,80.0,1000,1000,80.0,70.0,86.0,16.0,1,2,67-89,79.744,1.0,,,,,,,single_broad_mode
W113,H,115.0,1000,1000,115.0,110.0,117.0,7.0,1,2,108-122,114.579,1.0,,,,,,,single_compact_mode
W113,Je,111.0,1000,999,111.0,106.0,115.0,9.0,1,2,101-119,110.54554554554555,1.0,,,,,,,single_compact_mode
W113,Jw,104.0,1000,1000,108.0,101.0,114.0,13.0,2,2,99-120,107.3687374749499,0.998,130-131,130.5,0.002,,,,single_compact_mode
W113,P,113.0,1000,1000,113.0,103.0,119.0,16.0,2,2,99-128,112.44644644644644,0.999,134-134,134.0,0.001,,,,single_broad_mode
W113,V,114.0,1000,1000,114.0,109.0,122.0,13.0,2,2,106-125,114.26526526526527,0.999,100-100,100.0,0.001,,,,single_compact_mode
W160,H,155.0,1000,1000,155.0,148.0,165.0,17.0,1,2,142-167,156.697,1.0,,,,,,,single_broad_mode
W160,Je,162.0,1000,1000,162.0,157.0,166.0,9.0,5,2,154-167,161.65757575757576,0.99,139-143,141.2,0.005,135-136,135.5,0.002,single_compact_mode
W160,Jw,152.0,1000,998,155.0,142.0,167.0,25.0,1,2,130-167,155.44188376753507,1.0,,,,,,,single_broad_mode
W160,P,158.0,1000,1000,158.0,153.0,165.0,12.0,2,2,150-167,157.97997997998,0.999,147-147,147.0,0.001,,,,single_compact_mode
W160,V,161.0,1000,999,161.0,148.0,166.0,18.0,1,2,135-167,159.87287287287288,1.0,,,,,,,single_broad_mode
