pair_type,source,target,window,best_positive_lag,best_positive_corr,lag0_corr,lag_minus_tau0_abs_corr,simple_classification,n_pairs_best_lag
EOF_PC,V_PC1,P_PC1,S1,2,-0.43176428538151346,-0.34631052612196533,0.08545375925954812,positive_lag_abs_dominant_over_tau0,
EOF_PC,V_PC1,P_PC1,T1,2,-0.5978548136647512,-0.5105600010015658,0.0872948126631854,positive_lag_abs_dominant_over_tau0,
EOF_PC,V_PC1,P_PC1,S2,1,-0.4080012826463076,-0.39691895980067915,0.011082322845628434,lag_tau0_close,
EOF_PC,V_PC1,P_PC1,T2,1,-0.4177640994015652,-0.39973631627590006,0.018027783125665164,lag_tau0_close,
EOF_PC,V_PC1,P_PC1,S3,1,-0.26260343440729206,-0.2958575602778961,-0.03325412587060406,tau0_abs_dominant,
EOF_PC,V_PC1,P_PC1,T3,1,-0.21164029559504738,-0.26336088173639044,-0.05172058614134306,tau0_abs_dominant,
EOF_PC,V_PC1,P_PC1,S4,1,-0.22966059585112727,-0.2367494070737011,-0.007088811222573821,lag_tau0_close,
EOF_PC,V_PC1,P_PC1,T4,5,-0.2027918517593067,-0.10777711302430096,0.09501473873500574,positive_lag_abs_dominant_over_tau0,
EOF_PC,V_PC1,P_PC1,S5,1,-0.2049642932451732,-0.24052303966995062,-0.03555874642477741,tau0_abs_dominant,
EOF_PC,V_PC2,P_PC2,S1,1,-0.4224663823751047,-0.39834386243047293,0.02412251994463177,positive_lag_abs_dominant_over_tau0,
EOF_PC,V_PC2,P_PC2,T1,2,-0.4594467098049936,-0.31650201875168027,0.1429446910533133,positive_lag_abs_dominant_over_tau0,
EOF_PC,V_PC2,P_PC2,S2,1,-0.23454154177517697,-0.24177701240452587,-0.0072354706293489,lag_tau0_close,
EOF_PC,V_PC2,P_PC2,T2,1,-0.29471646294172765,-0.2701049590023215,0.024611503939406143,positive_lag_abs_dominant_over_tau0,
EOF_PC,V_PC2,P_PC2,S3,1,-0.40338790599564867,-0.40364786635011396,-0.000259960354465294,lag_tau0_close,
EOF_PC,V_PC2,P_PC2,T3,1,-0.38019410950194105,-0.38704183644351964,-0.006847726941578591,lag_tau0_close,
EOF_PC,V_PC2,P_PC2,S4,1,-0.5395939028455216,-0.5690291352856242,-0.0294352324401026,tau0_abs_dominant,
EOF_PC,V_PC2,P_PC2,T4,1,-0.5487645755063663,-0.5510950940916525,-0.002330518585286212,lag_tau0_close,
EOF_PC,V_PC2,P_PC2,S5,1,-0.446789585394347,-0.4794348944529861,-0.032645309058639105,tau0_abs_dominant,
EOF_PC,V_PC3,P_PC3,S1,4,-0.08725396629751389,0.06632339953439916,0.020930566763114736,positive_lag_abs_dominant_over_tau0,
EOF_PC,V_PC3,P_PC3,T1,2,-0.19132514259117117,-0.14413050515554796,0.047194637435623216,positive_lag_abs_dominant_over_tau0,
EOF_PC,V_PC3,P_PC3,S2,2,-0.13208524493226223,-0.12051355786977509,0.011571687062487138,lag_tau0_close,
EOF_PC,V_PC3,P_PC3,T2,5,-0.08486606712468234,-0.12516995665045355,-0.040303889525771214,tau0_abs_dominant,
EOF_PC,V_PC3,P_PC3,S3,1,-0.1869879519028076,-0.25407006221794465,-0.06708211031513706,tau0_abs_dominant,
EOF_PC,V_PC3,P_PC3,T3,1,-0.20402246297397408,-0.2560777131059341,-0.052055250131959996,tau0_abs_dominant,
EOF_PC,V_PC3,P_PC3,S4,1,-0.3964502702061865,-0.4465563441982973,-0.05010607399211081,tau0_abs_dominant,
EOF_PC,V_PC3,P_PC3,T4,1,-0.3999581897151795,-0.43790991536428747,-0.03795172564910798,tau0_abs_dominant,
EOF_PC,V_PC3,P_PC3,S5,1,-0.37602997287522943,-0.41926174285587114,-0.04323176998064171,tau0_abs_dominant,
structural_index,V_pos_north_edge_lat,P_highlat_40_60_mean,S1,2,0.23462660388949894,0.18068869056940345,0.05393791332009548,positive_lag_abs_dominant_over_tau0,1550.0
structural_index,V_pos_north_edge_lat,P_highlat_40_60_mean,T1,2,0.17646005716766616,0.024195750742148397,0.15226430642551778,positive_lag_abs_dominant_over_tau0,405.0
structural_index,V_pos_north_edge_lat,P_highlat_40_60_mean,S2,2,0.18325152807300035,0.15098418905195482,0.03226733902104553,positive_lag_abs_dominant_over_tau0,1170.0
structural_index,V_pos_north_edge_lat,P_highlat_40_60_mean,T2,4,0.21127099037584102,0.15325485630252086,0.05801613407332015,positive_lag_abs_dominant_over_tau0,540.0
structural_index,V_pos_north_edge_lat,P_highlat_40_60_mean,S3,3,0.25841597320984105,0.17692349431705284,0.08149247889278821,positive_lag_abs_dominant_over_tau0,900.0
structural_index,V_pos_north_edge_lat,P_highlat_40_60_mean,T3,3,0.3293146750453701,0.14209610159113503,0.18721857345423507,positive_lag_abs_dominant_over_tau0,495.0
structural_index,V_pos_north_edge_lat,P_highlat_40_60_mean,S4,4,0.22242947101158636,0.015494579987235925,0.20693489102435045,positive_lag_abs_dominant_over_tau0,1665.0
structural_index,V_pos_north_edge_lat,P_highlat_40_60_mean,T4,3,0.28412364233797316,0.13227374458290134,0.15184989775507182,positive_lag_abs_dominant_over_tau0,449.0
structural_index,V_pos_north_edge_lat,P_highlat_40_60_mean,S5,3,0.38088707459550103,0.17574976764055802,0.205137306954943,positive_lag_abs_dominant_over_tau0,826.0
structural_index,V_highlat_35_55_mean,P_highlat_40_60_mean,S1,2,0.46804662927379775,0.30324815900422997,0.1647984702695678,positive_lag_abs_dominant_over_tau0,1665.0
structural_index,V_highlat_35_55_mean,P_highlat_40_60_mean,T1,2,0.4724116784293803,0.18380250518355706,0.28860917324582325,positive_lag_abs_dominant_over_tau0,405.0
structural_index,V_highlat_35_55_mean,P_highlat_40_60_mean,S2,2,0.4056091210722261,0.2551699182575407,0.15043920281468537,positive_lag_abs_dominant_over_tau0,1170.0
structural_index,V_highlat_35_55_mean,P_highlat_40_60_mean,T2,2,0.43157781990746685,0.26960871525028285,0.161969104657184,positive_lag_abs_dominant_over_tau0,540.0
structural_index,V_highlat_35_55_mean,P_highlat_40_60_mean,S3,3,0.4990559737233315,0.3418374251128579,0.15721854861047357,positive_lag_abs_dominant_over_tau0,900.0
structural_index,V_highlat_35_55_mean,P_highlat_40_60_mean,T3,3,0.5465361960678417,0.3706544985943138,0.17588169747352783,positive_lag_abs_dominant_over_tau0,495.0
structural_index,V_highlat_35_55_mean,P_highlat_40_60_mean,S4,3,0.4594465633734465,0.2193191965709621,0.24012736680248442,positive_lag_abs_dominant_over_tau0,1665.0
structural_index,V_highlat_35_55_mean,P_highlat_40_60_mean,T4,3,0.4724473181011361,0.13227596898108604,0.3401713491200501,positive_lag_abs_dominant_over_tau0,450.0
structural_index,V_highlat_35_55_mean,P_highlat_40_60_mean,S5,2,0.49286996328102417,0.2705853700952998,0.22228459318572436,positive_lag_abs_dominant_over_tau0,855.0
structural_index,V_high_minus_low_35_55_minus_20_30,P_highlat_40_60_mean,S1,3,0.23319901110919558,-0.05113762416081736,0.18206138694837823,positive_lag_abs_dominant_over_tau0,1620.0
structural_index,V_high_minus_low_35_55_minus_20_30,P_highlat_40_60_mean,T1,3,0.16476111118329953,-0.11549444305089275,0.04926666813240678,positive_lag_abs_dominant_over_tau0,405.0
structural_index,V_high_minus_low_35_55_minus_20_30,P_highlat_40_60_mean,S2,3,0.1659070340058325,0.00859174608282178,0.15731528792301072,positive_lag_abs_dominant_over_tau0,1170.0
structural_index,V_high_minus_low_35_55_minus_20_30,P_highlat_40_60_mean,T2,3,0.11651553678338972,0.032752281147363886,0.08376325563602582,positive_lag_abs_dominant_over_tau0,540.0
structural_index,V_high_minus_low_35_55_minus_20_30,P_highlat_40_60_mean,S3,3,0.27799413485658453,0.15327202319742517,0.12472211165915936,positive_lag_abs_dominant_over_tau0,900.0
structural_index,V_high_minus_low_35_55_minus_20_30,P_highlat_40_60_mean,T3,3,0.18550838965705949,0.07020864524942713,0.11529974440763235,positive_lag_abs_dominant_over_tau0,495.0
structural_index,V_high_minus_low_35_55_minus_20_30,P_highlat_40_60_mean,S4,4,0.1320727692547216,-0.04708222095238217,0.08499054830233944,positive_lag_abs_dominant_over_tau0,1665.0
structural_index,V_high_minus_low_35_55_minus_20_30,P_highlat_40_60_mean,T4,3,0.1377145341201159,-0.1090471260795864,0.028667408040529488,positive_lag_abs_dominant_over_tau0,450.0
structural_index,V_high_minus_low_35_55_minus_20_30,P_highlat_40_60_mean,S5,3,0.25874780890628946,0.006263193954680939,0.2524846149516085,positive_lag_abs_dominant_over_tau0,855.0
structural_index,V_pos_band_width,P_highlat_40_60_mean,S1,2,0.24801235194734406,0.20642970620161902,0.04158264574572504,positive_lag_abs_dominant_over_tau0,1550.0
structural_index,V_pos_band_width,P_highlat_40_60_mean,T1,2,0.20366512888633817,0.04136363105947888,0.1623014978268593,positive_lag_abs_dominant_over_tau0,405.0
