field,mode,singular_value,explained_variance_ratio
P,1,26722.435546875,0.11762265008761566
P,2,21717.005859375,0.07768528807897376
P,3,17127.466796875,0.04831980267367039
P,4,16056.5986328125,0.04246645282648838
P,5,14447.828125,0.03438301973817842
V,1,13184.9990234375,0.1479044394191378
V,2,12651.1005859375,0.1361688040878746
V,3,11267.2548828125,0.10800832809350056
V,4,9747.7880859375,0.08084127681261757
V,5,8407.9833984375,0.06014571566071351
