year,day,V_PC1,V_PC2,V_PC3,V_PC4,V_PC5
1979,85,-131.1694,94.860916,-252.09576,28.305834,84.68752
1979,86,-69.19129,90.85175,-269.9307,33.32707,40.60084
1979,87,-23.914394,137.94595,-268.73474,-20.074995,-5.2781663
1979,88,47.045586,129.82045,-277.4002,-16.169828,-41.51295
1979,89,114.74701,100.67847,-245.63327,30.088785,-61.84857
1979,90,111.3562,67.40853,-182.7623,57.776134,-41.908722
1979,91,121.53389,39.336876,-134.37724,114.93612,31.50573
1979,92,194.47417,9.5976,-116.81477,160.11719,90.02961
1979,93,282.64685,9.22511,-78.5824,182.31155,97.16753
1979,94,324.71542,10.429284,-58.834114,158.1849,78.00785
1979,95,349.06967,5.7563844,-68.10134,141.90167,69.24761
1979,96,348.8771,-0.67461824,-56.348526,93.53239,51.282303
1979,97,280.21243,-3.0577073,-15.703245,52.91569,30.09633
1979,98,163.42561,25.332024,-16.642675,41.300842,10.985926
1979,99,94.81956,19.303942,-5.1212916,67.592514,3.2487702
1979,100,21.722578,-53.088104,29.490347,105.92401,-12.496379
1979,101,-85.780136,-97.696304,53.65133,95.41333,-35.135174
1979,102,-138.36845,-129.54742,60.618927,45.688465,-59.13633
1979,103,-162.44925,-184.46297,61.577656,-15.00917,-50.55432
1979,104,-182.80913,-214.64784,35.868904,-73.65149,-32.22872
1979,105,-151.21149,-141.07669,-17.129023,-137.93073,-23.041489
1979,106,-62.205322,-101.37595,-78.7208,-153.14056,-36.93936
1979,107,-6.5602193,-102.882256,-127.535576,-139.84656,-36.41184
1979,108,40.139843,-95.31611,-144.83777,-134.69893,-31.907042
1979,109,79.05339,-62.085205,-130.42635,-110.77737,-21.218836
1979,110,66.96614,-51.347054,-86.391846,-59.189392,-13.208436
1979,111,-0.91317654,-30.775457,-33.334908,-32.374836,7.7293844
1979,112,-52.431515,-19.010738,24.894178,-26.877153,32.733765
1979,113,-97.631004,-12.944992,62.38334,-30.491934,68.89779
1979,114,-108.75719,-15.853928,92.91772,-49.280235,109.153015
1979,115,-84.167175,3.8150048,114.93305,-83.812416,164.60934
1979,116,-24.657633,46.50801,107.05853,-99.59811,204.53926
1979,117,51.669853,109.506355,53.98256,-93.00159,196.35066
1979,118,117.32274,139.05878,-17.154984,-63.738945,137.25204
1979,119,128.8781,133.01141,-76.33888,-35.797638,110.072105
1979,120,135.60197,143.45914,-105.298874,-41.204086,136.19379
1979,121,172.1141,188.5681,-131.38025,14.618706,124.06896
1979,122,133.32448,164.06137,-126.12017,98.972145,65.56774
1979,123,76.59971,117.03006,-75.145096,104.49268,86.97122
1979,124,79.96351,138.40154,-24.801105,78.961334,91.47657
1979,125,74.06254,134.96693,-16.583582,97.20472,9.46566
1979,126,43.95983,57.26824,4.3308415,95.28698,-52.330566
1979,127,29.128279,11.065839,53.882492,83.08996,-50.661682
1979,128,3.353284,15.720664,72.32327,66.445175,-108.030495
1979,129,-63.61196,-33.96434,59.188377,105.175545,-165.99681
1979,130,-117.01391,-99.23249,31.935492,60.541073,-183.1135
1979,131,-112.041504,-131.7589,-15.037001,-2.0470567,-104.57897
1979,132,-55.74647,-109.59692,-51.80962,-59.57186,36.899567
1979,133,43.61384,-39.57026,-39.125233,-39.88892,202.66493
1979,134,139.5716,82.57147,18.784346,-30.612982,311.0756
1979,135,192.46155,257.47202,82.65911,-2.1855576,345.75034
1979,136,191.91318,421.97235,86.031586,-7.8084035,279.9719
1979,137,192.84892,467.17615,22.798737,-11.772315,138.50629
1979,138,173.7373,370.6224,-55.400463,29.604797,-9.640548
