year,day,P_PC1,P_PC2,P_PC3,P_PC4,P_PC5
1979,1,-7.737398e-18,1.965511e-13,-2.614339e-13,-5.262781e-14,8.744405e-14
1979,2,-4.3844757e-20,9.777366e-17,4.6282704e-13,-3.4517764e-13,3.5406797e-14
1979,3,-85.764046,-372.65012,116.3548,108.52188,80.67187
1979,4,-120.73486,-339.34756,124.77737,-14.398402,79.0703
1979,5,-72.288246,-314.82068,10.035821,51.54131,73.939545
1979,6,-12.143386,-257.46042,-99.20335,23.712303,95.33425
1979,7,31.371248,-166.21808,-40.54595,25.465437,-3.3406708
1979,8,47.40274,-113.49316,-26.30799,6.6735225,21.314552
1979,9,14.816333,-95.45723,15.404067,-61.159164,67.99165
1979,10,0.82997745,15.763837,105.49902,-181.60912,4.887231
1979,11,-27.13856,54.812057,131.03265,-173.92593,15.738837
1979,12,-38.224945,127.47876,76.79594,-167.94945,12.797904
1979,13,-46.865017,192.39233,43.026783,-83.7881,-9.532006
1979,14,-88.03647,261.80896,25.147118,44.824043,-59.83148
1979,15,-155.1578,287.84473,-19.564167,117.53698,-70.15591
1979,16,-165.15872,236.93716,-99.62366,262.72052,-122.63444
1979,17,-217.541,106.33894,-126.37403,264.14288,-44.183838
1979,18,-269.27707,34.329834,-133.41402,136.62175,45.172523
1979,19,-253.66557,1.9505967,-92.547134,35.993065,84.37049
1979,20,-218.77052,-14.391938,-34.305428,-76.40723,128.62288
1979,21,-169.0327,87.46233,22.381214,-250.71889,89.31476
1979,22,-89.4483,179.73509,44.247368,-234.65427,14.9836235
1979,23,1.7093275,144.77376,23.389261,-86.585724,-9.057671
1979,24,40.731697,86.93038,-41.733047,-35.566742,38.10059
1979,25,60.07092,52.1761,-60.434597,25.184273,32.94662
1979,26,33.432518,5.680464,-41.014282,14.029201,74.792885
1979,27,46.810516,-2.961917,-48.06366,1.2226955,61.691174
1979,28,65.73681,19.049294,-15.802601,-8.49422,-25.925682
1979,29,78.94372,-72.71462,31.246136,75.548,-16.873888
1979,30,50.79459,-109.36079,69.04858,59.920105,53.91039
1979,31,66.62452,-195.82805,69.76112,146.96747,121.024864
1979,32,56.659286,-245.927,78.75806,146.76474,208.74487
1979,33,57.757317,-194.68951,79.99631,68.990005,190.25822
1979,34,89.48341,-83.97809,40.887627,21.203367,60.30566
1979,35,137.5049,-79.60751,-44.063835,73.99841,46.08206
1979,36,171.58643,11.841846,-61.90372,13.301114,-21.52865
1979,37,207.0621,50.278957,-66.39968,34.18457,-84.23962
1979,38,190.17569,11.381404,-57.143955,67.1643,-32.174126
1979,39,153.96213,65.13112,-37.475437,55.944702,7.455787
1979,40,134.28624,163.40808,-38.38176,128.67076,-68.54255
1979,41,78.80504,145.80519,-99.673454,296.9621,-52.542297
1979,42,-33.31686,144.02898,-62.0796,324.20227,-79.56779
1979,43,-171.0695,123.204155,-53.95581,348.67148,38.983223
1979,44,-337.04135,71.162865,-88.41073,280.68637,109.286
1979,45,-523.8464,26.462105,-26.840235,161.8955,192.19576
1979,46,-726.25543,15.214698,20.495472,-51.399147,282.46848
1979,47,-849.5648,32.342514,0.5894363,-152.27199,343.38022
1979,48,-870.75134,44.209152,27.473885,-237.54962,282.80283
1979,49,-813.54407,-17.934177,92.159134,-248.96896,311.86728
1979,50,-731.86816,-158.9846,65.39656,-324.10327,317.56848
1979,51,-578.0453,-177.1552,69.57125,-335.2507,253.72197
1979,52,-399.94714,-160.8513,57.509182,-314.10562,217.66032
1979,53,-266.15936,-114.66621,-18.16324,-292.65582,135.83876
1979,54,-98.097916,-73.323494,-102.045494,-173.10217,11.491272
1979,55,17.852522,-43.977875,-85.95431,-58.0784,-40.129047
1979,56,64.05636,-65.86151,-61.019337,-22.318062,-105.45979
1979,57,46.796383,-123.450905,-27.223673,-25.960102,-125.470535
1979,58,-16.827574,-159.91907,9.089791,-78.14492,-76.26539
1979,59,-134.05983,-126.32322,78.08932,-196.79193,-54.903694
1979,60,-170.65463,16.294397,80.93,-298.15012,-87.025536
1979,61,-147.39128,150.27113,90.20835,-305.26422,-91.32796
1979,62,-103.02218,258.78644,67.653244,-323.62857,-109.37897
1979,63,-1.5832082,354.93674,56.173622,-286.0727,-216.1733
1979,64,107.01663,368.7173,44.602367,-199.59041,-250.10735
1979,65,161.25815,262.31357,9.380322,-71.15382,-153.5725
1979,66,191.64835,132.34914,-4.411193,-48.899853,-61.153072
1979,67,191.3746,-7.241549,-2.635586,-78.0365,12.866248
1979,68,196.22856,-99.948074,17.981869,-75.08381,83.28974
1979,69,216.84477,-215.58801,76.1042,-18.927036,79.46736
1979,70,215.3883,-262.19495,97.06806,-12.212503,88.25956
1979,71,190.42267,-235.5036,93.63644,-20.387419,92.243195
1979,72,176.35226,-179.24545,101.38582,18.289215,69.38896
1979,73,138.0745,-191.68864,90.12615,20.347847,99.004196
1979,74,71.92139,-109.48461,27.421024,-110.63273,164.47083
1979,75,36.069237,-32.951862,14.211208,-161.11894,110.04927
1979,76,18.313244,1.1653464,19.661324,-120.89314,45.774467
1979,77,18.89042,74.58679,44.051296,-108.41317,26.215681
1979,78,2.2926843,177.07066,67.023026,-69.80506,-8.667457
1979,79,-87.944214,292.1331,80.922,26.795147,28.169743
1979,80,-175.31929,392.09955,99.5765,59.731373,89.90751
1979,81,-209.8291,486.30017,112.610214,26.96892,143.66263
1979,82,-219.02196,543.70935,91.59639,21.08923,138.97989
1979,83,-251.96182,556.4448,80.16112,-8.366132,137.1426
