field,mode,region,loading_mean,loading_abs_mean,loading_integrated,loading_sign,explained_variance_ratio,abs_loading_rank_within_mode
V,1,main_28_35,-0.006225973801201891,0.006239899507640722,-0.006248601505244852,negative,0.1479044394191378,2.0
V,1,south_10_25,-0.002673329305937087,0.004400088351484199,-0.0025980883241462018,negative,0.1479044394191378,6.0
V,1,scs_10_20,-0.0008275646663543484,0.0030922777194910406,-0.0008051454265812219,negative,0.1479044394191378,7.0
V,1,highlat_40_60,-0.004999997431350024,0.005949937052117498,-0.005121391860253059,negative,0.1479044394191378,3.0
V,1,highlat_35_60,-0.0049694611494275846,0.005760239906475014,-0.0050570643477776565,negative,0.1479044394191378,4.0
V,1,lowlat_20_30,-0.004859818336250094,0.006630414426575805,-0.004833617018720503,negative,0.1479044394191378,1.0
V,1,main_easm_domain,-0.004023800077249989,0.005334194814534596,-0.0038472884710308657,negative,0.1479044394191378,5.0
V,2,main_28_35,-0.0007236627389774858,0.0035827621559466976,-0.0007370266906464457,negative,0.1361688040878746,5.0
V,2,south_10_25,0.003319850076916379,0.005794472632042849,0.0033297087454178115,positive,0.1361688040878746,2.0
V,2,scs_10_20,0.003647461609079862,0.004637542996355837,0.003645094065551572,positive,0.1361688040878746,3.0
V,2,highlat_40_60,0.0005145870282072199,0.0019134020366758668,0.000614735498499472,positive,0.1361688040878746,7.0
V,2,highlat_35_60,0.000966746232994301,0.0023541522389402404,0.00112903592757233,positive,0.1361688040878746,6.0
V,2,lowlat_20_30,0.0035906606322201806,0.00821459796458459,0.003590751946971572,positive,0.1361688040878746,1.0
V,2,main_easm_domain,0.002200327970461127,0.0042730220689455,0.00245517843620515,positive,0.1361688040878746,4.0
V,3,main_28_35,-0.0024657700213271032,0.0033560175252849347,-0.002519935443931667,negative,0.10800832809350056,7.0
V,3,south_10_25,-0.003950546428496352,0.005336355028333845,-0.0038618248613107816,negative,0.10800832809350056,5.0
V,3,scs_10_20,-0.0018197028441310384,0.0038313129712348646,-0.001788279461245145,negative,0.10800832809350056,6.0
V,3,highlat_40_60,0.0067135270908047495,0.006849367612699377,0.00665863798081041,positive,0.10800832809350056,1.0
V,3,highlat_35_60,0.00567293200365833,0.006129984857707826,0.0054336260785340035,positive,0.10800832809350056,3.0
V,3,lowlat_20_30,-0.005630618723004179,0.006490410030071865,-0.005626430405301091,negative,0.10800832809350056,2.0
V,3,main_easm_domain,0.001348063179214088,0.005391481799511124,0.0005973699788937597,positive,0.10800832809350056,4.0
V,4,main_28_35,0.0031823786960794354,0.0031926783498280997,0.0031807435056612245,positive,0.08084127681261757,6.0
V,4,south_10_25,0.0032833526963913346,0.0032962351965434484,0.0032573398529034403,positive,0.08084127681261757,5.0
V,4,scs_10_20,0.002732251692815204,0.002741421592755419,0.0027186394801309863,positive,0.08084127681261757,7.0
V,4,highlat_40_60,0.0017361200905791582,0.008670473434238527,0.0016578984601685227,positive,0.08084127681261757,1.0
V,4,highlat_35_60,0.001632361210698294,0.007937581547325916,0.0015539281516888767,positive,0.08084127681261757,2.0
V,4,lowlat_20_30,0.0032532804790599027,0.0035316477210265394,0.003255006715678277,positive,0.08084127681261757,4.0
V,4,main_easm_domain,0.002064930347101697,0.00543646659607792,0.002093554111772393,positive,0.08084127681261757,3.0
V,5,main_28_35,0.005451594893213459,0.005494036988333358,0.005454714967771021,positive,0.06014571566071351,4.0
V,5,south_10_25,-0.004252241108333621,0.00739631636729162,-0.004253867242644529,negative,0.06014571566071351,1.0
V,5,scs_10_20,-0.004602916773810505,0.006620394754221283,-0.004580245897270105,negative,0.06014571566071351,3.0
V,5,highlat_40_60,-0.0016462489226377842,0.003146304026364559,-0.001359009007046943,negative,0.06014571566071351,7.0
V,5,highlat_35_60,-0.0004678183922272363,0.0033933368943440206,-2.6301031534797557e-05,negative,0.06014571566071351,6.0
V,5,lowlat_20_30,0.0014030424621198202,0.0068356791101224345,0.001331980606924199,positive,0.06014571566071351,2.0
V,5,main_easm_domain,0.00016884359903984552,0.004835238591376761,0.0003621507754213346,positive,0.06014571566071351,5.0
