window,source_pc,target_pc,best_positive_lag,best_positive_corr,lag0_corr,lag_minus_tau0_abs_corr,n_pairs_best_lag,simple_classification
S1,V_PC1,P_PC1,2,-0.43176428538151346,-0.34631052612196533,0.08545375925954812,1665,positive_lag_abs_dominant_over_tau0
T1,V_PC1,P_PC1,2,-0.5978548136647512,-0.5105600010015658,0.0872948126631854,405,positive_lag_abs_dominant_over_tau0
S2,V_PC1,P_PC1,1,-0.4080012826463076,-0.39691895980067915,0.011082322845628434,1170,lag_tau0_close
T2,V_PC1,P_PC1,1,-0.4177640994015652,-0.39973631627590006,0.018027783125665164,540,lag_tau0_close
S3,V_PC1,P_PC1,1,-0.26260343440729206,-0.2958575602778961,-0.03325412587060406,900,tau0_abs_dominant
T3,V_PC1,P_PC1,1,-0.21164029559504738,-0.26336088173639044,-0.05172058614134306,495,tau0_abs_dominant
S4,V_PC1,P_PC1,1,-0.22966059585112727,-0.2367494070737011,-0.007088811222573821,1665,lag_tau0_close
T4,V_PC1,P_PC1,5,-0.2027918517593067,-0.10777711302430096,0.09501473873500574,450,positive_lag_abs_dominant_over_tau0
S5,V_PC1,P_PC1,1,-0.2049642932451732,-0.24052303966995062,-0.03555874642477741,855,tau0_abs_dominant
S1,V_PC2,P_PC2,1,-0.4224663823751047,-0.39834386243047293,0.02412251994463177,1710,positive_lag_abs_dominant_over_tau0
T1,V_PC2,P_PC2,2,-0.4594467098049936,-0.31650201875168027,0.1429446910533133,405,positive_lag_abs_dominant_over_tau0
S2,V_PC2,P_PC2,1,-0.23454154177517697,-0.24177701240452587,-0.0072354706293489,1170,lag_tau0_close
T2,V_PC2,P_PC2,1,-0.29471646294172765,-0.2701049590023215,0.024611503939406143,540,positive_lag_abs_dominant_over_tau0
S3,V_PC2,P_PC2,1,-0.40338790599564867,-0.40364786635011396,-0.000259960354465294,900,lag_tau0_close
T3,V_PC2,P_PC2,1,-0.38019410950194105,-0.38704183644351964,-0.006847726941578591,495,lag_tau0_close
S4,V_PC2,P_PC2,1,-0.5395939028455216,-0.5690291352856242,-0.0294352324401026,1665,tau0_abs_dominant
T4,V_PC2,P_PC2,1,-0.5487645755063663,-0.5510950940916525,-0.002330518585286212,450,lag_tau0_close
S5,V_PC2,P_PC2,1,-0.446789585394347,-0.4794348944529861,-0.032645309058639105,855,tau0_abs_dominant
S1,V_PC3,P_PC3,4,-0.08725396629751389,0.06632339953439916,0.020930566763114736,1575,positive_lag_abs_dominant_over_tau0
T1,V_PC3,P_PC3,2,-0.19132514259117117,-0.14413050515554796,0.047194637435623216,405,positive_lag_abs_dominant_over_tau0
S2,V_PC3,P_PC3,2,-0.13208524493226223,-0.12051355786977509,0.011571687062487138,1170,lag_tau0_close
T2,V_PC3,P_PC3,5,-0.08486606712468234,-0.12516995665045355,-0.040303889525771214,540,tau0_abs_dominant
S3,V_PC3,P_PC3,1,-0.1869879519028076,-0.25407006221794465,-0.06708211031513706,900,tau0_abs_dominant
T3,V_PC3,P_PC3,1,-0.20402246297397408,-0.2560777131059341,-0.052055250131959996,495,tau0_abs_dominant
S4,V_PC3,P_PC3,1,-0.3964502702061865,-0.4465563441982973,-0.05010607399211081,1665,tau0_abs_dominant
T4,V_PC3,P_PC3,1,-0.3999581897151795,-0.43790991536428747,-0.03795172564910798,450,tau0_abs_dominant
S5,V_PC3,P_PC3,1,-0.37602997287522943,-0.41926174285587114,-0.04323176998064171,855,tau0_abs_dominant
