field,reconstruction,comparison,region,observed_delta,reconstructed_delta,sign_match,amplitude_ratio,error
P,PC12,S4_minus_T3,south_10_25,-5.454171456415135e-09,-1.2496073345189064e-07,True,22.911038725215217,-1.195065619954755e-07
P,PC123,S4_minus_T3,south_10_25,-5.454171456415135e-09,-1.487612964711327e-07,True,27.27477448406235,-1.4330712501471757e-07
P,PC1,S4_minus_T3,scs_10_20,-8.561862687087135e-09,-1.4411664674047086e-07,True,16.832394072124668,-1.3555478405338373e-07
P,PC12,S4_minus_T3,scs_10_20,-8.561862687087135e-09,-1.1575988072584138e-07,True,13.520408462101196,-1.0719801803875425e-07
P,PC123,S4_minus_T3,scs_10_20,-8.561862687087135e-09,-1.2087014186946765e-07,True,14.117271706746953,-1.1230827918238052e-07
P,PC1,S4_minus_T3,highlat_40_60,2.8836489496097032e-11,5.690080503013394e-11,True,1.9732223313047645,2.806431553403691e-11
P,PC12,S4_minus_T3,highlat_40_60,2.8836489496097032e-11,-2.0123071003809239e-10,False,6.978335905462022,-2.3006719953418942e-10
P,PC123,S4_minus_T3,highlat_40_60,2.8836489496097032e-11,-6.736667297448077e-10,False,23.361606822355657,-7.025032192409047e-10
P,PC1,S4_minus_T3,highlat_35_60,2.692988437012093e-10,-4.588840669317186e-10,False,1.7039956823611788,-7.281829106329279e-10
P,PC12,S4_minus_T3,highlat_35_60,2.692988437012093e-10,1.2131151811635777e-10,True,0.4504717378250407,-1.4798732558485154e-10
P,PC123,S4_minus_T3,highlat_35_60,2.692988437012093e-10,-4.128948489410201e-11,False,0.15332217668158002,-3.105883285953113e-10
P,PC1,S4_minus_T3,lowlat_20_30,-2.4358290415615182e-11,-1.6769163546777044e-08,True,688.4376227006048,-1.674480525636143e-08
P,PC12,S4_minus_T3,lowlat_20_30,-2.4358290415615182e-11,-6.336425981880412e-08,True,2601.342653266983,-6.33399015283885e-08
P,PC123,S4_minus_T3,lowlat_20_30,-2.4358290415615182e-11,-5.546872382811344e-08,True,2277.2010219795447,-5.544436553769782e-08
P,PC1,S4_minus_T3,main_easm_domain,-2.273597568848302e-09,-3.1852072765999816e-08,True,14.009547336969831,-2.9578475197151515e-08
P,PC12,S4_minus_T3,main_easm_domain,-2.273597568848302e-09,-3.4732618128305574e-08,True,15.276502141009717,-3.2459020559457274e-08
P,PC123,S4_minus_T3,main_easm_domain,-2.273597568848302e-09,-2.5544491270356662e-08,True,11.235273832253569,-2.327089370150836e-08
V,PC1,T3_minus_S3,main_28_35,-2.1343985460895123e-09,4.283832498282376e-08,False,20.070443292471772,4.497272352891327e-08
V,PC12,T3_minus_S3,main_28_35,-2.1343985460895123e-09,5.3162048967410145e-08,False,24.90727379139652,5.529644751349966e-08
V,PC123,T3_minus_S3,main_28_35,-2.1343985460895123e-09,4.9699220155533405e-09,False,2.3284882875594466,7.104320561642852e-09
V,PC1,T3_minus_S3,south_10_25,-1.0143418241189728e-09,1.7811625828665118e-08,False,17.559786459693473,1.882596765278409e-08
V,PC12,T3_minus_S3,south_10_25,-1.0143418241189728e-09,-2.8828468041757148e-08,True,28.420861051250352,-2.7814126217638175e-08
V,PC123,T3_minus_S3,south_10_25,-1.0143418241189728e-09,-1.0268335763041785e-07,True,101.23151307460438,-1.0166901580629888e-07
V,PC1,T3_minus_S3,scs_10_20,-2.196348686765019e-09,5.5198081384082615e-09,False,2.51317478489189,7.716156825173281e-09
V,PC12,T3_minus_S3,scs_10_20,-2.196348686765019e-09,-4.553796969810697e-08,True,20.73348825371595,-4.3341621011341957e-08
V,PC123,T3_minus_S3,scs_10_20,-2.196348686765019e-09,-7.973765168966718e-08,True,36.30464150349096,-7.754130300290217e-08
V,PC1,T3_minus_S3,highlat_40_60,3.154727579643043e-10,3.511055212750552e-08,True,111.29503654790464,3.4795079369541215e-08
V,PC12,T3_minus_S3,highlat_40_60,3.154727579643043e-10,2.6499792584361604e-08,True,84.00025648921499,2.61843198263973e-08
V,PC123,T3_minus_S3,highlat_40_60,3.154727579643043e-10,1.5384191464960144e-07,True,487.655148553298,1.5352644189163713e-07
V,PC1,T3_minus_S3,highlat_35_60,-2.536375268582955e-10,3.466954418637743e-08,False,136.6893322759251,3.4923181713235725e-08
V,PC12,T3_minus_S3,highlat_35_60,-2.536375268582955e-10,1.8854845162771032e-08,False,74.33775828174285,1.9108482689629327e-08
V,PC123,T3_minus_S3,highlat_35_60,-2.536375268582955e-10,1.227694110760442e-07,False,484.03488472994815,1.230230486029025e-07
V,PC1,T3_minus_S3,lowlat_20_30,8.382477920231164e-10,3.3137663926344874e-08,True,39.532062287175144,3.229941613432176e-08
V,PC12,T3_minus_S3,lowlat_20_30,8.382477920231164e-10,-1.715892976300531e-08,False,20.469996970218222,-1.7997177555028426e-08
V,PC123,T3_minus_S3,lowlat_20_30,8.382477920231164e-10,-1.2476075306805107e-07,False,148.83517052510237,-1.255990008600742e-07
V,PC1,T3_minus_S3,main_easm_domain,-1.333922613926952e-10,2.6375724822002904e-08,False,197.73054708439994,2.65091170833956e-08
V,PC12,T3_minus_S3,main_easm_domain,-1.333922613926952e-10,-8.014596220589091e-09,True,60.0829173815025,-7.881203959196396e-09
V,PC123,T3_minus_S3,main_easm_domain,-1.333922613926952e-10,3.4097162273359578e-09,False,25.561574500173215,3.543108488728653e-09
V,PC1,S4_minus_T3,main_28_35,2.4431418806726087e-09,1.3327108789400168e-08,True,5.454905789479222,1.0883966908727559e-08
V,PC12,S4_minus_T3,main_28_35,2.4431418806726087e-09,4.062480288466233e-09,True,1.6628098108439828,1.6193384077936244e-09
V,PC123,S4_minus_T3,main_28_35,2.4431418806726087e-09,5.5423075698796424e-08,True,22.685164597783483,5.2979933818123816e-08
V,PC1,S4_minus_T3,south_10_25,7.596623234674665e-10,5.541240821854907e-09,True,7.294347304947285,4.78157849838744e-09
V,PC12,S4_minus_T3,south_10_25,7.596623234674665e-10,4.739659685455111e-08,True,62.391664546702934,4.663693453108364e-08
V,PC123,S4_minus_T3,south_10_25,7.596623234674665e-10,1.2610719427282213e-07,True,166.0042763437416,1.2534753194935467e-07
V,PC1,S4_minus_T3,scs_10_20,1.372501117441867e-09,1.7172259556525332e-09,True,1.251165433550379,3.4472483821066614e-10
V,PC12,S4_minus_T3,scs_10_20,1.372501117441867e-09,4.7537062329114404e-08,True,34.63535419025104,4.616456121167254e-08
V,PC123,S4_minus_T3,scs_10_20,1.372501117441867e-09,8.398525710759371e-08,True,61.19139433862862,8.261275599015184e-08
V,PC1,S4_minus_T3,highlat_40_60,-3.4642428538567047e-10,1.0922979552696968e-08,False,31.53064035489467,1.1269403838082639e-08
V,PC12,S4_minus_T3,highlat_40_60,-3.4642428538567047e-10,1.8650374085639456e-08,False,53.83679745453236,1.8996798371025127e-08
V,PC123,S4_minus_T3,highlat_40_60,-3.4642428538567047e-10,-1.1706405944868848e-07,True,337.92105342257486,-1.167176351633028e-07
V,PC1,S4_minus_T3,highlat_35_60,5.508988515862644e-10,1.0785780892134023e-08,True,19.578514024992653,1.0234882040547759e-08
V,PC12,S4_minus_T3,highlat_35_60,5.508988515862644e-10,2.4978073472461664e-08,True,45.34058003667918,2.44271746208754e-08
V,PC123,S4_minus_T3,highlat_35_60,5.508988515862644e-10,-8.576852176379771e-08,False,155.68832920387266,-8.631942061538398e-08
V,PC1,S4_minus_T3,lowlat_20_30,4.836494015311391e-10,1.030920915675515e-08,True,21.31545934744924,9.82555975522401e-09
V,PC12,S4_minus_T3,lowlat_20_30,4.836494015311391e-10,5.54459501321985e-08,True,114.6407913597484,5.496230073066736e-08
V,PC123,S4_minus_T3,lowlat_20_30,4.836494015311391e-10,1.7012222739435744e-07,True,351.7470027995152,1.696385779928263e-07
V,PC1,S4_minus_T3,main_easm_domain,6.25592862381904e-10,8.205553187316629e-09,True,13.116443106582961,7.579960324934724e-09
V,PC12,S4_minus_T3,main_easm_domain,6.25592862381904e-10,3.9067822361033876e-08,True,62.44927765365751,3.844222949865197e-08
V,PC123,S4_minus_T3,main_easm_domain,6.25592862381904e-10,2.6892400220707076e-08,True,42.987063692376566,2.6266807358325173e-08
