field,reconstruction,comparison,region,observed_delta,reconstructed_delta,sign_match,amplitude_ratio,error
P,PC1,T3_minus_S3,main_28_35,6.565609195994449e-09,-1.7601091270562413e-08,False,2.680800934862297,-2.4166700466556862e-08
P,PC12,T3_minus_S3,main_28_35,6.565609195994449e-09,-8.630501723336042e-08,False,13.145012847553193,-9.287062642935486e-08
P,PC123,T3_minus_S3,main_28_35,6.565609195994449e-09,-1.381653316232899e-07,False,21.043794642480684,-1.4473094081928435e-07
P,PC1,T3_minus_S3,south_10_25,9.29786539425763e-09,5.3721828091969826e-08,True,5.777866834375606,4.44239626977122e-08
P,PC12,T3_minus_S3,south_10_25,9.29786539425763e-09,7.520467310099422e-08,True,8.08838049510167,6.590680770673659e-08
P,PC123,T3_minus_S3,south_10_25,9.29786539425763e-09,1.1084884933115561e-07,True,11.921967530269471,1.0155098393689798e-07
P,PC1,T3_minus_S3,scs_10_20,1.1357629141232455e-08,6.385336504677047e-08,True,5.622068149325179,5.2495735905538016e-08
P,PC12,T3_minus_S3,scs_10_20,1.1357629141232455e-08,-1.0030724518122565e-07,False,8.831706330071363,-1.116648743224581e-07
P,PC123,T3_minus_S3,scs_10_20,1.1357629141232455e-08,-9.265402081681478e-08,False,8.157866370230908,-1.0401164995804723e-07
P,PC1,T3_minus_S3,highlat_40_60,1.5627493944589855e-09,-2.5210882692734412e-11,False,0.01613238999299838,-1.58796027715172e-09
P,PC12,T3_minus_S3,highlat_40_60,1.5627493944589855e-09,1.469142422998599e-09,True,0.940101098875938,-9.360697146038654e-11
P,PC123,T3_minus_S3,highlat_40_60,1.5627493944589855e-09,2.1766715991062324e-09,True,1.392847507619597,6.139222046472468e-10
P,PC1,T3_minus_S3,highlat_35_60,1.3556847830398166e-09,2.0331649745295724e-10,True,0.149973282872635,-1.1523682855868593e-09
P,PC12,T3_minus_S3,highlat_35_60,1.3556847830398166e-09,-3.1555030958653942e-09,False,2.32760825771747,-4.51118787890521e-09
P,PC123,T3_minus_S3,highlat_35_60,1.3556847830398166e-09,-2.9119887385865305e-09,False,2.147983642670278,-4.267673521626347e-09
P,PC1,T3_minus_S3,lowlat_20_30,1.4926462687627158e-09,7.429867025768494e-09,True,4.97764753864106,5.937220757005779e-09
P,PC12,T3_minus_S3,lowlat_20_30,1.4926462687627158e-09,2.771742882937639e-07,True,185.69321753875363,2.756816420250012e-07
P,PC123,T3_minus_S3,lowlat_20_30,1.4926462687627158e-09,2.6534978329964964e-07,True,177.7713774875834,2.638571370308869e-07
P,PC1,T3_minus_S3,main_easm_domain,4.397459779762563e-09,1.4112609999081621e-08,True,3.2092641447293966,9.715150219319058e-09
P,PC12,T3_minus_S3,main_easm_domain,4.397459779762563e-09,3.078842148694943e-08,True,7.001410593597703,2.6390961707186867e-08
P,PC123,T3_minus_S3,main_easm_domain,4.397459779762563e-09,1.702810780508262e-08,True,3.872260045094043,1.2630648025320057e-08
P,PC1,S4_minus_T3,main_28_35,7.994298115086674e-10,3.972555324262777e-08,True,49.69235906734392,3.89261234311191e-08
P,PC12,S4_minus_T3,main_28_35,7.994298115086674e-10,5.159332804017321e-08,True,64.5376583377687,5.0793898228664537e-08
P,PC123,S4_minus_T3,main_28_35,7.994298115086674e-10,8.622183713700512e-08,True,107.85416792787481,8.542240732549646e-08
P,PC1,S4_minus_T3,south_10_25,-5.454171456415135e-09,-1.212498310106571e-07,True,22.230659959918277,-1.1579565955424197e-07
