window_id,object,feature_start_col,feature_end_col,source_days,n_source_features
W113,P,0,870,88-154,871
W113,V,871,1607,88-154,737
W113,H,1608,2344,88-154,737
W113,Je,2345,3081,88-154,737
W113,Jw,3082,3818,88-154,737
