window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W113,P,CP001,113,103,123,within_system_window,candidate_window,system_relevant_first,CP002@101:weak_window;CP003@125:candidate_window;CP004@138:weak_window,,CP003@125:candidate_window;CP004@138:weak_window,W113_H_late_minus_early_peak_influence,target_mode_high,15,1983;1986;1987;1992;2001;2004;2006;2007;2009;2011;2013;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP002,115,105,125,within_system_window,candidate_window,system_relevant_first,CP001@123:candidate_window,,,W113_H_late_minus_early_peak_influence,target_mode_high,15,1983;1986;1987;1992;2001;2004;2006;2007;2009;2011;2013;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP002,107,98,117,front_or_early,accepted_window,system_relevant_first,CP001@121:accepted_window,,,W113_H_late_minus_early_peak_influence,target_mode_high,15,1983;1986;1987;1992;2001;2004;2006;2007;2009;2011;2013;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP002,116,106,126,within_system_window,accepted_window,system_relevant_first,CP001@137:weak_window,,CP001@137:weak_window,W113_H_late_minus_early_peak_influence,target_mode_high,15,1983;1986;1987;1992;2001;2004;2006;2007;2009;2011;2013;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP002,104,98,114,front_or_early,candidate_window,system_relevant_first,CP001@130:weak_window,,CP001@130:weak_window,W113_H_late_minus_early_peak_influence,target_mode_high,15,1983;1986;1987;1992;2001;2004;2006;2007;2009;2011;2013;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,110,100,120,within_system_window,accepted_window,system_relevant_first,CP002@124:accepted_window;CP003@135:weak_window,,CP002@124:accepted_window;CP003@135:weak_window,W113_H_late_minus_early_peak_influence,target_mode_low,15,1985;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2005;2012;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,109,99,119,within_system_window,accepted_window,system_relevant_first,CP002@136:candidate_window,,CP002@136:candidate_window,W113_H_late_minus_early_peak_influence,target_mode_low,15,1985;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2005;2012;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,109,99,119,within_system_window,accepted_window,system_relevant_first,CP002@124:accepted_window;CP003@137:weak_window,,CP002@124:accepted_window;CP003@137:weak_window,W113_H_late_minus_early_peak_influence,target_mode_low,15,1985;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2005;2012;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP003,115,105,125,within_system_window,candidate_window,system_relevant_first,CP001@100:weak_window;CP002@104:weak_window;CP004@126:weak_window,,CP004@126:weak_window,W113_H_late_minus_early_peak_influence,target_mode_low,15,1985;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2005;2012;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP001,106,98,116,front_or_early,candidate_window,system_relevant_first,CP002@99:unstable_window;CP003@126:candidate_window,,CP003@126:candidate_window,W113_H_late_minus_early_peak_influence,target_mode_low,15,1985;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2005;2012;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
