window_id,object_A,object_B,raw_profile_window_family,state_distance_family,state_pattern_family,growth_distance_family,growth_pattern_family,profile_2d_mirror_family,selected_window_overlap_fraction,co_transition_veto
W045,H,Je,unresolved,A_tendency,B_supported,unresolved,B_supported,not_run,0.7857142857142857,True
W045,H,Jw,unresolved,A_supported,unresolved,A_supported,unresolved,not_run,1.0,True
W045,H,P,unresolved,A_supported,unresolved,A_tendency,A_tendency,not_run,0.5714285714285714,True
W045,H,V,unresolved,A_supported,A_tendency,A_tendency,A_supported,not_run,0.6428571428571429,True
W045,Je,Jw,unresolved,A_supported,A_supported,A_supported,A_tendency,not_run,0.8571428571428571,True
W045,Je,P,unresolved,A_tendency,A_tendency,A_tendency,A_supported,not_run,0.8571428571428571,True
W045,Je,V,unresolved,A_tendency,A_supported,A_tendency,A_supported,not_run,0.9047619047619048,True
W045,Jw,P,unresolved,B_supported,unresolved,B_tendency,A_tendency,not_run,0.7142857142857143,True
W045,Jw,V,unresolved,B_tendency,A_tendency,unresolved,A_supported,not_run,0.7619047619047619,True
W045,P,V,unresolved,A_tendency,A_supported,unresolved,A_tendency,not_run,0.9523809523809523,True
