window_id,object,baseline_config,day,V_dist_2d,V_pattern_2d
W045,P,C0_full_stage,0,,
W045,P,C0_full_stage,1,,
W045,P,C0_full_stage,2,,
W045,P,C0_full_stage,3,,
W045,P,C0_full_stage,4,,
W045,P,C0_full_stage,5,-0.004319601631429221,-0.006551111563475237
W045,P,C0_full_stage,6,-0.006875586248013682,-0.02458593265473913
W045,P,C0_full_stage,7,-0.008646226345717684,-0.006522100470147188
W045,P,C0_full_stage,8,-0.005945259674923015,0.022385090096705862
W045,P,C0_full_stage,9,0.004781560955001984,0.026455804205608224
W045,P,C0_full_stage,10,0.004472687097883982,-0.0016048809028331307
W045,P,C0_full_stage,11,0.0002570906165760001,0.0019886256317794004
W045,P,C0_full_stage,12,-0.0052146331525226575,0.010624243638021974
W045,P,C0_full_stage,13,-0.006204177379830117,0.012299137405144885
W045,P,C0_full_stage,14,-0.019577542995451058,0.007529512695372859
W045,P,C0_full_stage,15,-0.004281865808814095,0.021261660818481364
W045,P,C0_full_stage,16,0.0003550543064570477,0.013056474152441542
W045,P,C0_full_stage,17,-0.0022702930788315173,-0.007442286564942538
W045,P,C0_full_stage,18,-0.013801778332531434,-0.028411334862749403
W045,P,C0_full_stage,19,-0.002737605858686709,-0.021724746130637212
W045,P,C0_full_stage,20,0.015443356131584374,-0.005461534157635242
W045,P,C0_full_stage,21,-0.011106565737873692,0.018265057499028042
W045,P,C0_full_stage,22,-0.012793270497971215,0.020037934552070626
W045,P,C0_full_stage,23,-0.017447221808402955,0.010063981638474495
W045,P,C0_full_stage,24,0.008775782043729793,0.03618176914327196
W045,P,C0_full_stage,25,0.002203967108186447,0.009171014329267764
W045,P,C0_full_stage,26,0.0030905730386706493,0.003841844526282865
W045,P,C0_full_stage,27,0.008045117657538584,0.02547036343791283
W045,P,C0_full_stage,28,0.027206610249237956,0.034081308582533346
W045,P,C0_full_stage,29,0.02649621412746156,0.03290146393294324
W045,P,C0_full_stage,30,0.012487941956605825,-0.03007778110755102
W045,P,C0_full_stage,31,0.01261952006871539,-0.008268129457016354
W045,P,C0_full_stage,32,0.004050375311687893,0.014396458768568737
W045,P,C0_full_stage,33,0.01419838665759135,-0.0059283825786088234
W045,P,C0_full_stage,34,0.036353988785450486,0.013287177959330362
W045,P,C0_full_stage,35,0.02114260122687861,0.017728482294168166
W045,P,C0_full_stage,36,0.018343488493095028,0.0014612264677038023
W045,P,C0_full_stage,37,0.023363189725505995,0.004926416800655198
W045,P,C0_full_stage,38,0.01431676503400442,-0.002252241486518078
W045,P,C0_full_stage,39,0.033586928058187304,0.03512094444231058
W045,P,C0_full_stage,40,0.04531031567597804,0.04846629603628316
W045,P,C0_full_stage,41,0.048420577086218664,0.08164170754208153
W045,P,C0_full_stage,42,0.03932525076135962,0.09995605006950031
W045,P,C0_full_stage,43,0.03294173010290641,0.10221442038802658
W045,P,C0_full_stage,44,0.049536937319509367,0.10808477140463141
W045,P,C0_full_stage,45,0.06706825140929973,0.1291549545181877
W045,P,C0_full_stage,46,0.05097021801230783,0.10311380944452886
W045,P,C0_full_stage,47,0.04684219257827116,0.10794411303214069
W045,P,C0_full_stage,48,0.0193901230858049,0.092992483080797
W045,P,C0_full_stage,49,-0.0025680230804959736,0.06814669578062049
W045,P,C0_full_stage,50,0.019323802568045223,-0.00835962843945448
W045,P,C0_full_stage,51,0.036286794856210336,-0.014992352205384973
W045,P,C0_full_stage,52,0.025723254453842936,0.0019252282094170958
W045,P,C0_full_stage,53,-0.0021176637064782566,0.010495324846393261
W045,P,C0_full_stage,54,0.0011475439703857448,-0.030078553125060692
W045,P,C0_full_stage,55,-0.015636565279675718,0.0015412572608464181
W045,P,C0_full_stage,56,-0.013398422869175142,-0.03653943211569821
W045,P,C0_full_stage,57,0.016904829175232283,-0.046941081858988265
W045,P,C0_full_stage,58,0.016339688265487262,-0.0013720776094783282
W045,P,C0_full_stage,59,-0.006538439472910218,0.022187828791718767
W045,P,C0_full_stage,60,-0.015829938491648043,-0.001088113732359286
W045,P,C0_full_stage,61,-0.0001693531890569755,-0.010257194736445596
W045,P,C0_full_stage,62,0.025710915297179726,-0.03320906472002649
W045,P,C0_full_stage,63,0.027071045843596875,0.0017717457762217448
W045,P,C0_full_stage,64,0.009116668291327179,-0.013953212438048368
W045,P,C0_full_stage,65,0.005578368935524991,0.010946936939101648
