window,family_direction,source,target,source_family,target_family,pc1_lead_lag_label,pc1_lead_lag_group,pc1_evidence_tier,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,same_day_coupling_flag,p_pos_surrogate,q_pos_within_window,p_pos_audit_surrogate,q_pos_audit_within_window,source_pc1_explained_variance_ratio,target_pc1_explained_variance_ratio,source_quality_flag,target_quality_flag,source_sign_reference_corr_abs,target_sign_reference_corr_abs,v1_total_pairs,v1_yes_count,v1_tier1a_count,v1_tier1b_count,v1_tier2_count,v1_tier3_count,v1_same_day_yes_count,v1_max_positive_abs_r,v1_max_lag0_abs_r,interpretation_hint,meiyu_end_focus_note
S3,P→V,P_PC1,V_PC1,P,V,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.626172215434829,0.626172215434829,0.6478400275796496,0.6478400275796496,True,0.000999000999000999,0.004995004995004995,0.000999000999000999,0.004995004995004995,0.17007080500252209,0.35734558480259815,pc1_low_variance,pc1_good,0.6515720685473264,0.9151925471976453,21,1,0,1,0,0,15,0.486208644794942,0.565055275055989,index_yes_pc1_weak_but_pc1_quality_low,neighboring reference window
S3,P→H,P_PC1,H_PC1,P,H,PC1_no_same_day_only,PC1_lead_lag_no,PC1_Tier5c_no_same_day_only,1,-0.22800419040923187,0.22800419040923187,-0.28440606359203824,0.28440606359203824,True,0.053946053946053944,0.13486513486513485,0.08191808191808192,0.2340516626230912,0.17007080500252209,0.41930511320095715,pc1_low_variance,pc1_good,0.6515720685473264,0.7102240533058422,28,0,0,0,0,0,13,0.4455673207024154,0.4663360842806673,both_weak_pc1_quality_low,neighboring reference window
S3,V→P,V_PC1,P_PC1,V,P,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.6148785828644776,0.6148785828644776,0.6478400275796496,0.6478400275796496,True,0.000999000999000999,0.004995004995004995,0.000999000999000999,0.004995004995004995,0.35734558480259815,0.17007080500252209,pc1_good,pc1_low_variance,0.9151925471976453,0.6515720685473264,21,12,2,9,1,0,15,0.5899442792691787,0.565055275055989,index_yes_pc1_weak_but_pc1_quality_low,neighboring reference window
S3,V→H,V_PC1,H_PC1,V,H,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,1,0.1565947868380917,0.1565947868380917,0.14989417728800353,0.14989417728800353,False,0.1878121878121878,0.313020313020313,0.21178821178821178,0.3596403596403596,0.35734558480259815,0.41930511320095715,pc1_good,pc1_good,0.9151925471976453,0.7102240533058422,12,5,2,2,1,0,8,0.3824725509588086,0.4196187801477045,index_yes_pc1_weak,neighboring reference window
S3,H→P,H_PC1,P_PC1,H,P,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,1,-0.29079167906436026,0.29079167906436026,-0.28440606359203824,0.28440606359203824,True,0.00999000999000999,0.03996003996003996,0.016983016983016984,0.06793206793206794,0.41930511320095715,0.17007080500252209,pc1_good,pc1_low_variance,0.7102240533058422,0.6515720685473264,28,5,1,0,2,2,13,0.4276794653682791,0.4663360842806673,index_yes_pc1_weak_but_pc1_quality_low,neighboring reference window
S3,H→V,H_PC1,V_PC1,H,V,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,2,0.16088676342301703,0.16088676342301703,0.14989417728800353,0.14989417728800353,False,0.18181818181818182,0.313020313020313,0.21578421578421578,0.3596403596403596,0.41930511320095715,0.35734558480259815,pc1_good,pc1_good,0.7102240533058422,0.9151925471976453,12,3,0,3,0,0,8,0.4578453671436769,0.4196187801477045,index_yes_pc1_weak,neighboring reference window
S3,Je→H,Je_PC1,H_PC1,Je,H,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.6049484425411957,0.6049484425411957,0.6252933291434599,0.6252933291434599,True,0.000999000999000999,0.004995004995004995,0.000999000999000999,0.004995004995004995,0.3620393604495233,0.41930511320095715,pc1_good,pc1_good,0.8391016831910686,0.7102240533058422,12,2,0,1,1,0,4,0.6000856219039459,0.6162898961839781,index_yes_pc1_lagged_weak_tau0_present,neighboring reference window
S3,Jw→Je,Jw_PC1,Je_PC1,Jw,Je,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,4,0.20614247032898145,0.20614247032898145,0.15267467716092828,0.15267467716092828,False,0.08791208791208792,0.17782217782217782,0.13586413586413587,0.30192030192030195,0.4217967780634689,0.3620393604495233,pc1_good,pc1_good,0.5362026267460781,0.8391016831910686,9,1,1,0,0,0,2,0.3739883553395981,0.3062359339127863,index_yes_pc1_weak,neighboring reference window
T3,P→V,P_PC1,V_PC1,P,V,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.5887596634330131,0.5887596634330131,0.6099776850058374,0.6099776850058374,True,0.000999000999000999,0.0024975024975024975,0.000999000999000999,0.004995004995004995,0.20200443644651617,0.27816721873004546,pc1_moderate,pc1_moderate,0.7665547366085177,0.8360334642754722,21,2,0,0,2,0,8,0.4917342977053504,0.5618676570977882,index_yes_pc1_lagged_weak_tau0_present,T3/meiyu-ending primary audit window
T3,P→H,P_PC1,H_PC1,P,H,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,-0.5214485733152697,0.5214485733152697,-0.5460458618895198,0.5460458618895198,True,0.000999000999000999,0.0024975024975024975,0.000999000999000999,0.004995004995004995,0.20200443644651617,0.4102965319849802,pc1_moderate,pc1_good,0.7665547366085177,0.6690259667410314,28,0,0,0,0,0,13,0.4252176934232057,0.4733840668939985,both_weak_or_no_signal,T3/meiyu-ending primary audit window
