window,family_direction,v1_total_pairs,v1_yes_count,v1_tier1a_count,v1_tier1b_count,v1_tier2_count,v1_tier3_count,v1_same_day_yes_count,v1_max_positive_abs_r,v1_max_lag0_abs_r
S1,H→Je,12,0,0,0,0,0,5,0.2866700353502285,0.2722224593102738
S1,H→Jw,12,0,0,0,0,0,2,0.1683229858437658,0.1195950882907493
S1,H→P,28,8,0,8,0,0,18,0.3547483127063911,0.303210476458029
S1,H→V,12,2,0,2,0,0,8,0.3747677967644319,0.3807096034857156
S1,Je→H,12,1,0,1,0,0,5,0.2936585544529848,0.2722224593102738
S1,Je→Jw,9,0,0,0,0,0,1,0.1783796291373627,0.2001879685557387
S1,Je→P,21,1,0,0,0,1,13,0.3024443183860542,0.3533360578055778
S1,Je→V,9,1,0,0,1,0,4,0.2946696357946986,0.4043788377551237
S1,Jw→H,12,0,0,0,0,0,2,0.1515507398983474,0.1195950882907493
S1,Jw→Je,9,1,0,1,0,0,1,0.3546741189457124,0.2001879685557387
S1,Jw→P,21,0,0,0,0,0,4,0.1790308236729683,0.1480621622437678
S1,Jw→V,9,0,0,0,0,0,3,0.2815278184611893,0.276566357069926
S1,P→H,28,5,1,3,0,1,18,0.2681618665138968,0.303210476458029
S1,P→Je,21,5,0,5,0,0,13,0.3930741197511681,0.3533360578055778
S1,P→Jw,21,0,0,0,0,0,4,0.1505722706552874,0.1480621622437678
S1,P→V,21,0,0,0,0,0,18,0.5399900742660615,0.6833742011652862
S1,V→H,12,0,0,0,0,0,8,0.3624668798339171,0.3807096034857156
S1,V→Je,9,3,1,2,0,0,4,0.5351567575785658,0.4043788377551237
S1,V→Jw,9,1,1,0,0,0,3,0.2492244022363022,0.276566357069926
S1,V→P,21,16,2,14,0,0,18,0.7609491460591702,0.6833742011652862
S2,H→Je,12,0,0,0,0,0,5,0.3442575937388961,0.377097532362399
S2,H→Jw,12,0,0,0,0,0,2,0.1904172750470197,0.1704642838733364
S2,H→P,28,8,1,5,2,0,21,0.3714857126432705,0.3977327621107426
S2,H→V,12,3,0,3,0,0,9,0.437487813506697,0.4392920398909093
S2,Je→H,12,2,0,2,0,0,5,0.378174634696641,0.377097532362399
S2,Je→Jw,9,0,0,0,0,0,2,0.1831922368899318,0.1948645842776301
S2,Je→P,21,1,0,1,0,0,7,0.3112371389599282,0.3340730822496394
S2,Je→V,9,0,0,0,0,0,2,0.1814628321130665,0.1954307045096373
S2,Jw→H,12,0,0,0,0,0,2,0.1803989936847962,0.1704642838733364
S2,Jw→Je,9,2,1,1,0,0,2,0.2427826423374915,0.1948645842776301
S2,Jw→P,21,3,0,3,0,0,10,0.2539136240090963,0.2286427415296917
S2,Jw→V,9,0,0,0,0,0,3,0.284716527577398,0.2923288645761142
S2,P→H,28,0,0,0,0,0,21,0.3990951558598286,0.3977327621107426
S2,P→Je,21,2,0,2,0,0,7,0.3559949460294327,0.3340730822496394
S2,P→Jw,21,4,0,3,1,0,10,0.2548145617308533,0.2286427415296917
S2,P→V,21,0,0,0,0,0,21,0.5560197874309526,0.6815787544027265
S2,V→H,12,3,0,3,0,0,9,0.4082550021009129,0.4392920398909093
S2,V→Je,9,0,0,0,0,0,2,0.2635826864039851,0.1954307045096373
S2,V→Jw,9,2,2,0,0,0,3,0.3215586977929217,0.2923288645761142
S2,V→P,21,16,0,16,0,0,21,0.7419510830210648,0.6815787544027265
S3,H→Je,12,0,0,0,0,0,4,0.5936786346566886,0.6162898961839781
S3,H→Jw,12,0,0,0,0,0,1,0.2741180363335992,0.2612636574778206
S3,H→P,28,5,1,0,2,2,13,0.4276794653682791,0.4663360842806673
S3,H→V,12,3,0,3,0,0,8,0.4578453671436769,0.4196187801477045
S3,Je→H,12,2,0,1,1,0,4,0.6000856219039459,0.6162898961839781
S3,Je→Jw,9,0,0,0,0,0,2,0.280862989684851,0.3062359339127863
S3,Je→P,21,1,0,0,1,0,9,0.3080206376848684,0.2925963795501362
S3,Je→V,9,0,0,0,0,0,0,0.1220007382077632,0.0763206195215834
S3,Jw→H,12,0,0,0,0,0,1,0.23497810067624,0.2612636574778206
S3,Jw→Je,9,1,1,0,0,0,2,0.3739883553395981,0.3062359339127863
S3,Jw→P,21,3,2,1,0,0,6,0.3191837112104932,0.2675536144200936
S3,Jw→V,9,0,0,0,0,0,0,0.1068633551179929,0.1125250496804449
S3,P→H,28,0,0,0,0,0,13,0.4455673207024154,0.4663360842806673
S3,P→Je,21,0,0,0,0,0,9,0.2546084064051692,0.2925963795501362
S3,P→Jw,21,0,0,0,0,0,6,0.2595008424019746,0.2675536144200936
S3,P→V,21,1,0,1,0,0,15,0.486208644794942,0.565055275055989
S3,V→H,12,5,2,2,1,0,8,0.3824725509588086,0.4196187801477045
S3,V→Je,9,0,0,0,0,0,0,0.1071887386626469,0.0763206195215834
S3,V→Jw,9,0,0,0,0,0,0,0.1086729543067842,0.1125250496804449
S3,V→P,21,12,2,9,1,0,15,0.5899442792691787,0.565055275055989
S4,H→Je,12,1,0,0,0,1,6,0.3733287681842899,0.3897467813636349
S4,H→Jw,12,1,0,1,0,0,2,0.2536390474334398,0.1636500448813189
S4,H→P,28,4,0,2,2,0,9,0.3146783016043165,0.2849697013866363
S4,H→V,12,4,1,2,1,0,7,0.345897851975511,0.3407031902734487
S4,Je→H,12,0,0,0,0,0,6,0.3825109572232057,0.3897467813636349
S4,Je→Jw,9,0,0,0,0,0,1,0.231800286329265,0.2368175507521906
S4,Je→P,21,0,0,0,0,0,5,0.1646512007782147,0.1867935818899226
S4,Je→V,9,0,0,0,0,0,5,0.2508532062572078,0.2578526240415954
S4,Jw→H,12,0,0,0,0,0,2,0.1624191646949485,0.1636500448813189
S4,Jw→Je,9,1,1,0,0,0,1,0.3215843115739784,0.2368175507521906
S4,Jw→P,21,0,0,0,0,0,5,0.2477777813788048,0.2403311965487822
S4,Jw→V,9,0,0,0,0,0,1,0.1591460517181044,0.1736498607264889
S4,P→H,28,1,0,0,1,0,9,0.2587527699269495,0.2849697013866363
S4,P→Je,21,0,0,0,0,0,5,0.209327973329357,0.1867935818899226
S4,P→Jw,21,0,0,0,0,0,5,0.2587916575180045,0.2403311965487822
S4,P→V,21,1,0,1,0,0,11,0.3465364804696754,0.4174984665903461
S4,V→H,12,0,0,0,0,0,7,0.3289052198877072,0.3407031902734487
S4,V→Je,9,2,0,0,2,0,5,0.2521341584993921,0.2578526240415954
S4,V→Jw,9,0,0,0,0,0,1,0.1978810078731421,0.1736498607264889
S4,V→P,21,9,1,8,0,0,11,0.452115359358,0.4174984665903461
S5,H→Je,12,3,0,2,1,0,4,0.4965172609182954,0.4673122292408698
S5,H→Jw,12,0,0,0,0,0,3,0.3446536309672875,0.3871834253665525
S5,H→P,28,0,0,0,0,0,2,0.2133580496308261,0.2272807782368669
S5,H→V,12,1,0,0,1,0,4,0.3517237848171689,0.3247482318619066
S5,Je→H,12,1,0,0,0,1,4,0.3936918484554268,0.4673122292408698
S5,Je→Jw,9,0,0,0,0,0,1,0.2301385291401377,0.2282105870570558
S5,Je→P,21,0,0,0,0,0,3,0.2429665780351569,0.2510571074032416
S5,Je→V,9,0,0,0,0,0,0,0.1443294658623795,0.1509792585214103
S5,Jw→H,12,1,0,1,0,0,3,0.4046896114027526,0.3871834253665525
S5,Jw→Je,9,0,0,0,0,0,1,0.444237015001926,0.2282105870570558
S5,Jw→P,21,0,0,0,0,0,3,0.294981564461752,0.2181083137752484
S5,Jw→V,9,0,0,0,0,0,5,0.2513404090778487,0.2462352788612605
S5,P→H,28,1,1,0,0,0,2,0.220505558566813,0.2272807782368669
S5,P→Je,21,2,0,0,2,0,3,0.2696195454814845,0.2510571074032416
S5,P→Jw,21,0,0,0,0,0,3,0.1954202489717939,0.2181083137752484
S5,P→V,21,0,0,0,0,0,12,0.5201916457299248,0.5593847697601709
S5,V→H,12,0,0,0,0,0,4,0.2873235116116144,0.3247482318619066
S5,V→Je,9,0,0,0,0,0,0,0.235781354825542,0.1509792585214103
