window,family_direction,n_pairs,n_pc1_yes,n_pc1_ambiguous,n_same_day,max_positive_abs_r,max_lag0_abs_r
S1,H→Je,1,1,0,1,0.8215041226318793,0.7738144128188811
S1,H→Jw,1,0,0,0,0.08852853323134773,0.07236716495816155
S1,H→P,1,1,0,1,0.2989269985402612,0.26542240750743484
S1,H→V,1,0,0,1,0.37798848505944466,0.4505749895826762
S1,Je→H,1,0,0,1,0.6734858618753691,0.7738144128188811
S1,Je→Jw,1,0,0,0,0.13339447680192545,0.05804344828250244
S1,Je→P,1,0,1,1,0.3090251389078738,0.35142089767412515
S1,Je→V,1,0,0,1,0.29724666396250454,0.4192485862665938
S1,Jw→H,1,0,1,0,0.25134955289506744,0.07236716495816155
S1,Jw→Je,1,0,1,0,0.320626582258778,0.05804344828250244
S1,Jw→P,1,0,1,0,0.2429093095594635,0.1183479440105059
S1,Jw→V,1,0,1,0,0.304232835550349,0.029783927854638525
S1,P→H,1,0,0,1,0.1882658425867153,0.26542240750743484
S1,P→Je,1,0,1,1,0.34315059599559605,0.35142089767412515
S1,P→Jw,1,0,1,0,0.2048414218650367,0.1183479440105059
S1,P→V,1,0,0,1,0.5364669301679693,0.706334621419118
S1,V→H,1,0,1,1,0.4507328134320611,0.4505749895826762
S1,V→Je,1,1,0,1,0.5331865299277909,0.4192485862665938
S1,V→Jw,1,0,1,0,0.22874621758988234,0.029783927854638525
S1,V→P,1,1,0,1,0.7958867804773612,0.706334621419118
S2,H→Je,1,1,0,1,0.7116719310269433,0.6402660624400351
S2,H→Jw,1,1,0,1,0.29178466167975,0.26086296287281824
S2,H→P,1,0,0,0,0.19953223243171053,0.1464274077967423
S2,H→V,1,0,1,1,0.3959764530850974,0.4146630263630871
S2,Je→H,1,0,0,1,0.5562065683309722,0.6402660624400351
S2,Je→Jw,1,0,1,1,0.3154579716540068,0.3284142422414059
S2,Je→P,1,0,0,0,0.08817177803654906,0.09055676395213536
S2,Je→V,1,0,0,1,0.216263183802158,0.2599835324990524
S2,Jw→H,1,0,0,1,0.2105960879177033,0.26086296287281824
S2,Jw→Je,1,0,1,1,0.3250906892583203,0.3284142422414059
S2,Jw→P,1,0,0,0,0.11080555590590355,0.12764928204159023
S2,Jw→V,1,0,0,1,0.23324193333148568,0.30931547178267815
S2,P→H,1,0,0,0,0.11741111961557296,0.1464274077967423
S2,P→Je,1,0,0,0,0.10162533226324064,0.09055676395213536
S2,P→Jw,1,0,0,0,0.15630385748083284,0.12764928204159023
S2,P→V,1,0,0,1,0.6394803229661475,0.7235800864294752
S2,V→H,1,0,1,1,0.38920738092666457,0.4146630263630871
S2,V→Je,1,1,0,1,0.32621119110947916,0.2599835324990524
S2,V→Jw,1,1,0,1,0.39525279436830735,0.30931547178267815
S2,V→P,1,1,0,1,0.7491123751339315,0.7235800864294752
S3,H→Je,1,0,1,1,0.6277047728464102,0.6252933291434599
S3,H→Jw,1,1,0,0,0.25926581982395924,0.13178220972173232
S3,H→P,1,0,1,1,0.29079167906436026,0.28440606359203824
S3,H→V,1,0,0,0,0.16088676342301703,0.14989417728800353
S3,Je→H,1,0,1,1,0.6049484425411957,0.6252933291434599
S3,Je→Jw,1,0,0,0,0.14435005197085282,0.15267467716092828
S3,Je→P,1,1,0,1,0.2686127637115193,0.2410313132888005
S3,Je→V,1,0,0,0,0.025023297068770267,0.0022701932064173825
S3,Jw→H,1,0,0,0,0.06595388772848783,0.13178220972173232
S3,Jw→Je,1,0,0,0,0.20614247032898145,0.15267467716092828
S3,Jw→P,1,0,0,0,0.11640579531978625,0.0881576934599417
S3,Jw→V,1,0,0,0,0.06075743438729937,0.06109691487723464
S3,P→H,1,0,0,1,0.22800419040923187,0.28440606359203824
S3,P→Je,1,0,0,1,0.19910960038778797,0.2410313132888005
S3,P→Jw,1,0,0,0,0.11627370229034778,0.0881576934599417
S3,P→V,1,0,1,1,0.626172215434829,0.6478400275796496
S3,V→H,1,0,0,0,0.1565947868380917,0.14989417728800353
S3,V→Je,1,0,0,0,0.0979512349813999,0.0022701932064173825
S3,V→Jw,1,0,0,0,0.1207373015886175,0.06109691487723464
S3,V→P,1,0,1,1,0.6148785828644776,0.6478400275796496
S4,H→Je,1,0,0,0,0.12474695874540667,0.047223548110214744
S4,H→Jw,1,1,0,1,0.24448770464482567,0.21132408645385597
S4,H→P,1,0,0,0,0.02499772787091163,0.015325205254084777
S4,H→V,1,0,1,1,0.37251829054467467,0.3758554480567989
S4,Je→H,1,0,0,0,0.06359894084443732,0.047223548110214744
S4,Je→Jw,1,0,0,1,0.26244960138972345,0.28733307781375167
S4,Je→P,1,0,0,0,0.15972088103569593,0.1648929599040929
S4,Je→V,1,1,0,1,0.257851937176444,0.23773856177072802
S4,Jw→H,1,0,0,1,0.17979447552810773,0.21132408645385597
S4,Jw→Je,1,1,0,1,0.3444022490363236,0.28733307781375167
S4,Jw→P,1,0,0,0,0.08882359976354316,0.11056121959036064
S4,Jw→V,1,0,0,0,0.0695562846775441,0.03634659064260201
S4,P→H,1,0,0,0,0.020351720843544304,0.015325205254084777
S4,P→Je,1,0,0,0,0.16667055383303125,0.1648929599040929
S4,P→Jw,1,0,0,0,0.1787944068045407,0.11056121959036064
S4,P→V,1,0,0,1,0.5468583340500052,0.6083248368842982
S4,V→H,1,0,1,1,0.3665932612378707,0.3758554480567989
S4,V→Je,1,0,0,1,0.20796432301324738,0.23773856177072802
S4,V→Jw,1,0,0,0,0.13563115199709894,0.03634659064260201
S4,V→P,1,1,0,1,0.6065077119556332,0.6083248368842982
S5,H→Je,1,1,0,1,0.6243428071605092,0.5975986782195549
S5,H→Jw,1,0,1,1,0.3838487436049166,0.38671153868329317
S5,H→P,1,0,0,0,0.1207044437992074,0.1366027435856223
S5,H→V,1,0,0,0,0.14141024767290306,0.16561112605948305
S5,Je→H,1,0,0,1,0.5387236725925107,0.5975986782195549
S5,Je→Jw,1,0,0,1,0.23902000414552663,0.29254395310455694
S5,Je→P,1,0,0,0,0.1474644251372285,0.057119428148172356
S5,Je→V,1,0,0,0,0.12698241304318275,0.11624771209416708
S5,Jw→H,1,0,1,1,0.3450138529675289,0.38671153868329317
S5,Jw→Je,1,1,0,1,0.35134927020898515,0.29254395310455694
S5,Jw→P,1,0,0,0,0.09008073661778475,0.052659873547280835
S5,Jw→V,1,0,1,1,0.2999832590485558,0.3360769196056119
S5,P→H,1,0,0,0,0.14465320529991726,0.1366027435856223
S5,P→Je,1,0,0,0,0.0521020295106735,0.057119428148172356
S5,P→Jw,1,0,0,0,0.04950586345374086,0.052659873547280835
S5,P→V,1,0,0,1,0.2227408869791719,0.2520112812765215
S5,V→H,1,0,0,0,0.16824970244463217,0.16561112605948305
S5,V→Je,1,0,0,0,0.09549592665352576,0.11624771209416708
S5,V→Jw,1,1,0,1,0.3500393848921123,0.3360769196056119
S5,V→P,1,0,1,1,0.2620451298762897,0.2520112812765215
T1,H→Je,1,1,0,1,0.7596053888592645,0.6457757833566496
T1,H→Jw,1,0,0,0,0.10544781758348445,0.14927960048910952
T1,H→P,1,1,0,1,0.4900482951971731,0.44160767859445277
T1,H→V,1,0,1,1,0.4344787073847676,0.4728296011618463
T1,Je→H,1,0,0,1,0.5293557333775308,0.6457757833566496
