window,family_direction,source,target,source_family,target_family,pc1_lead_lag_label,pc1_lead_lag_group,pc1_evidence_tier,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,same_day_coupling_flag,p_pos_surrogate,q_pos_within_window,p_pos_audit_surrogate,q_pos_audit_within_window,source_pc1_explained_variance_ratio,target_pc1_explained_variance_ratio,source_quality_flag,target_quality_flag,source_sign_reference_corr_abs,target_sign_reference_corr_abs,v1_total_pairs,v1_yes_count,v1_tier1a_count,v1_tier1b_count,v1_tier2_count,v1_tier3_count,v1_same_day_yes_count,v1_max_positive_abs_r,v1_max_lag0_abs_r,interpretation_hint
S1,P→V,P_PC1,V_PC1,P,V,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.5364669301679693,0.5364669301679693,0.706334621419118,0.706334621419118,True,0.000999000999000999,0.001998001998001998,0.000999000999000999,0.00333000333000333,0.1855522473261639,0.5058069804039994,pc1_low_variance,pc1_good,0.6264309226547231,0.9636992745904391,21,0,0,0,0,0,18,0.5399900742660615,0.6833742011652862,both_weak_pc1_quality_low
S1,P→H,P_PC1,H_PC1,P,H,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.1882658425867153,0.1882658425867153,0.26542240750743484,0.26542240750743484,True,0.04795204795204795,0.05328005328005328,0.14085914085914086,0.1565101565101565,0.1855522473261639,0.6197226208206511,pc1_low_variance,pc1_good,0.6264309226547231,0.3104580996232486,28,5,1,3,0,1,18,0.2681618665138968,0.303210476458029,index_yes_pc1_weak_but_pc1_quality_low
S1,P→Je,P_PC1,Je_PC1,P,Je,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.34315059599559605,0.34315059599559605,0.35142089767412515,0.35142089767412515,True,0.000999000999000999,0.001998001998001998,0.003996003996003996,0.00999000999000999,0.1855522473261639,0.4635688283819569,pc1_low_variance,pc1_good,0.6264309226547231,0.6775492275554494,21,5,0,5,0,0,13,0.3930741197511681,0.3533360578055778,index_yes_pc1_weak_but_pc1_quality_low
S1,P→Jw,P_PC1,Jw_PC1,P,Jw,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,2,-0.2048414218650367,0.2048414218650367,-0.1183479440105059,0.1183479440105059,False,0.024975024975024976,0.029382382323558796,0.06893106893106893,0.08109537521302226,0.1855522473261639,0.3108868337452324,pc1_low_variance,pc1_moderate;sign_reference_weak,0.6264309226547231,0.10255400000212213,21,0,0,0,0,0,4,0.1505722706552874,0.1480621622437678,both_weak_pc1_quality_low
S1,V→P,V_PC1,P_PC1,V,P,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,1,0.7958867804773612,0.7958867804773612,0.706334621419118,0.706334621419118,True,0.000999000999000999,0.001998001998001998,0.000999000999000999,0.00333000333000333,0.5058069804039994,0.1855522473261639,pc1_good,pc1_low_variance,0.9636992745904391,0.6264309226547231,21,16,2,14,0,0,18,0.7609491460591702,0.6833742011652862,index_strong_pc1_strong
S1,V→H,V_PC1,H_PC1,V,H,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.4507328134320611,0.4507328134320611,0.4505749895826762,0.4505749895826762,True,0.000999000999000999,0.001998001998001998,0.000999000999000999,0.00333000333000333,0.5058069804039994,0.6197226208206511,pc1_good,pc1_good,0.9636992745904391,0.3104580996232486,12,0,0,0,0,0,8,0.3624668798339171,0.3807096034857156,both_weak_or_no_signal
S1,V→Je,V_PC1,Je_PC1,V,Je,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,2,0.5331865299277909,0.5331865299277909,0.4192485862665938,0.4192485862665938,True,0.000999000999000999,0.001998001998001998,0.000999000999000999,0.00333000333000333,0.5058069804039994,0.4635688283819569,pc1_good,pc1_good,0.9636992745904391,0.6775492275554494,9,3,1,2,0,0,4,0.5351567575785658,0.4043788377551237,index_strong_pc1_strong
S1,V→Jw,V_PC1,Jw_PC1,V,Jw,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,4,-0.22874621758988234,0.22874621758988234,0.029783927854638525,0.029783927854638525,False,0.008991008991008992,0.01198801198801199,0.030969030969030968,0.041292041292041295,0.5058069804039994,0.3108868337452324,pc1_good,pc1_moderate;sign_reference_weak,0.9636992745904391,0.10255400000212213,9,1,1,0,0,0,3,0.2492244022363022,0.276566357069926,index_yes_pc1_weak
S1,H→P,H_PC1,P_PC1,H,P,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,1,0.2989269985402612,0.2989269985402612,0.26542240750743484,0.26542240750743484,True,0.002997002997002997,0.004610773841543072,0.007992007992007992,0.014530923621832713,0.6197226208206511,0.1855522473261639,pc1_good,pc1_low_variance,0.3104580996232486,0.6264309226547231,28,8,0,8,0,0,18,0.3547483127063911,0.303210476458029,index_strong_pc1_strong
S1,H→V,H_PC1,V_PC1,H,V,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.37798848505944466,0.37798848505944466,0.4505749895826762,0.4505749895826762,True,0.000999000999000999,0.001998001998001998,0.001998001998001998,0.005708577137148565,0.6197226208206511,0.5058069804039994,pc1_good,pc1_good,0.3104580996232486,0.9636992745904391,12,2,0,2,0,0,8,0.3747677967644319,0.3807096034857156,index_yes_pc1_lagged_weak_tau0_present
