window,source,target,source_object,target_object,source_family,target_family,family_direction,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,p_pos_surrogate,q_pos_within_window,q_pos_global,p_pos_audit_surrogate,q_pos_audit_within_window,T_pos_null95,T_pos_audit_null95,strength_excess,strength_ratio,statistical_support,strength_tier,same_day_coupling_flag,direction_label,pc1_lead_lag_label,pc1_lead_lag_group,pc1_evidence_tier,pc1_evidence_tier_reason,failure_reason,risk_note,suggested_reverse_direction,sample_status,pair_phi_risk
S1,P_PC1,V_PC1,P,V,P,V,P→V,1,0.5364669301679693,0.5364669301679693,-1,0.7928916583765686,0.7928916583765686,0.706334621419118,0.706334621419118,0.000999000999000999,0.001998001998001998,0.003909134343916952,0.000999000999000999,0.00333000333000333,0.17346510722176964,0.30171020351916267,0.36300182294619965,3.092650382316447,supported,strong_above_null,True,reverse_dominant,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,reverse lag is stronger,reverse_lag_dominant,reverse_direction,V_PC1 -> P_PC1,ok,none
S1,P_PC1,H_PC1,P,H,P,H,P→H,1,0.1882658425867153,0.1882658425867153,-1,0.2977741451575175,0.2977741451575175,0.26542240750743484,0.26542240750743484,0.04795204795204795,0.05328005328005328,0.08807519011600645,0.14085914085914086,0.1565101565101565,0.18644144082385508,0.24254374323564262,0.0018244017628602227,1.0097853875983713,supported,moderate_above_null,True,reverse_dominant,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,reverse lag is stronger,reverse_lag_dominant,reverse_direction,H_PC1 -> P_PC1,ok,none
S1,P_PC1,Je_PC1,P,Je,P,Je,P→Je,1,0.34315059599559605,0.34315059599559605,-1,0.3062080364070405,0.3062080364070405,0.35142089767412515,0.35142089767412515,0.000999000999000999,0.001998001998001998,0.003909134343916952,0.003996003996003996,0.00999000999000999,0.18243955658341163,0.2418426019725447,0.16071103941218443,1.8809001864609725,supported,strong_above_null,True,same_day_dominant,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,same-day dominant/mixed,same_day_exceeds_positive_lag,same_day_dominant,,ok,minor
S1,P_PC1,Jw_PC1,P,Jw,P,Jw,P→Jw,2,-0.2048414218650367,0.2048414218650367,-5,0.23669078477637395,0.23669078477637395,-0.1183479440105059,0.1183479440105059,0.024975024975024976,0.029382382323558796,0.05288828818240583,0.06893106893106893,0.08109537521302226,0.17438375033020845,0.2202383674012846,0.030457671534828257,1.1746588858030316,supported,moderate_above_null,False,bidirectional_close,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,bidirectional/feedback-like,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,ok,minor
S1,V_PC1,P_PC1,V,P,V,P,V→P,1,0.7958867804773612,0.7958867804773612,-1,0.534901486180279,0.534901486180279,0.706334621419118,0.706334621419118,0.000999000999000999,0.001998001998001998,0.003909134343916952,0.000999000999000999,0.00333000333000333,0.17377040177163622,0.3048464046058464,0.6221163787057249,4.580105543654617,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,none
S1,V_PC1,H_PC1,V,H,V,H,V→H,1,0.4507328134320611,0.4507328134320611,-1,0.37561458918583385,0.37561458918583385,0.4505749895826762,0.4505749895826762,0.000999000999000999,0.001998001998001998,0.003909134343916952,0.000999000999000999,0.00333000333000333,0.1765793197127073,0.2525084449287438,0.2741534937193538,2.5525798500379246,supported,strong_above_null,True,same_day_dominant,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,same-day dominant/mixed,same_day_exceeds_positive_lag,same_day_dominant,,ok,none
S1,V_PC1,Je_PC1,V,Je,V,Je,V→Je,2,0.5331865299277909,0.5331865299277909,-1,0.29460758108484303,0.29460758108484303,0.4192485862665938,0.4192485862665938,0.000999000999000999,0.001998001998001998,0.003909134343916952,0.000999000999000999,0.00333000333000333,0.1847441227835264,0.2580180318362861,0.34844240714426455,2.8860811477751382,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,minor
S1,V_PC1,Jw_PC1,V,Jw,V,Jw,V→Jw,4,-0.22874621758988234,0.22874621758988234,-4,0.31004399820022965,0.31004399820022965,0.029783927854638525,0.029783927854638525,0.008991008991008992,0.01198801198801199,0.022169611210707103,0.030969030969030968,0.041292041292041295,0.17650299163288968,0.20984555594203277,0.052243225956992656,1.2959905975172017,supported,strong_above_null,False,bidirectional_close,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,bidirectional/feedback-like,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,ok,minor
S1,H_PC1,P_PC1,H,P,H,P,H→P,1,0.2989269985402612,0.2989269985402612,-1,0.1885840843582734,0.1885840843582734,0.26542240750743484,0.26542240750743484,0.002997002997002997,0.004610773841543072,0.009301043783802405,0.007992007992007992,0.014530923621832713,0.18132803748324974,0.23545674978637818,0.11759896105701148,1.6485426230230653,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,none
S1,H_PC1,V_PC1,H,V,H,V,H→V,1,0.37798848505944466,0.37798848505944466,-1,0.4503927893367516,0.4503927893367516,0.4505749895826762,0.4505749895826762,0.000999000999000999,0.001998001998001998,0.003909134343916952,0.001998001998001998,0.005708577137148565,0.17729113185370268,0.2570089684420041,0.20069735320574197,2.1320213882516903,supported,strong_above_null,True,reverse_dominant,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,reverse lag is stronger,reverse_lag_dominant,reverse_direction,V_PC1 -> H_PC1,ok,none
S1,H_PC1,Je_PC1,H,Je,H,Je,H→Je,1,0.8215041226318793,0.8215041226318793,-1,0.6738479174570858,0.6738479174570858,0.7738144128188811,0.7738144128188811,0.000999000999000999,0.001998001998001998,0.003909134343916952,0.000999000999000999,0.00333000333000333,0.20037645238054172,0.4211110289568916,0.6211276702513376,4.0998037088296835,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,minor
S1,H_PC1,Jw_PC1,H,Jw,H,Jw,H→Jw,4,-0.08852853323134773,0.08852853323134773,-4,0.246205715934905,0.246205715934905,0.07236716495816155,0.07236716495816155,0.41858141858141856,0.4185814185814186,0.4956885220043114,0.5634365634365635,0.5634365634365635,0.19272338796895996,0.2535437824910485,-0.10419485473761224,0.45935542211205904,not_supported,not_supported,False,no_directional_signal,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,positive-lag not supported,positive_lag_not_supported,,,ok,minor
S1,Je_PC1,P_PC1,Je,P,Je,P,Je→P,1,0.3090251389078738,0.3090251389078738,-1,0.3406796541022512,0.3406796541022512,0.35142089767412515,0.35142089767412515,0.000999000999000999,0.001998001998001998,0.003909134343916952,0.007992007992007992,0.014530923621832713,0.18256148694614807,0.23547515549653855,0.12646365196172574,1.6927181306264774,supported,strong_above_null,True,same_day_dominant,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,same-day dominant/mixed,same_day_exceeds_positive_lag,same_day_dominant,,ok,minor
S1,Je_PC1,V_PC1,Je,V,Je,V,Je→V,1,0.29724666396250454,0.29724666396250454,-2,0.5335344956017248,0.5335344956017248,0.4192485862665938,0.4192485862665938,0.001998001998001998,0.0036327309054581783,0.007192807192807193,0.016983016983016984,0.026127718435410747,0.18676648907929372,0.2595410790940558,0.11048017488321082,1.5915417451377227,supported,strong_above_null,True,reverse_dominant,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,reverse lag is stronger,reverse_lag_dominant,reverse_direction,V_PC1 -> Je_PC1,ok,minor
S1,Je_PC1,H_PC1,Je,H,Je,H,Je→H,1,0.6734858618753691,0.6734858618753691,-1,0.8214467203319311,0.8214467203319311,0.7738144128188811,0.7738144128188811,0.000999000999000999,0.001998001998001998,0.003909134343916952,0.000999000999000999,0.00333000333000333,0.19712336528249735,0.4182089501499645,0.4763624965928717,3.41657043501767,supported,strong_above_null,True,reverse_dominant,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,reverse lag is stronger,reverse_lag_dominant,reverse_direction,H_PC1 -> Je_PC1,ok,minor
