target_window,family_direction,target_usable_strict_tau0,neighbor_windows,neighbor_mean_usable,gap_to_neighbor_mean,other_window_mean_usable,gap_to_other_window_mean,negative_gap_contribution_percent
T3,H→Je,0,"S3,S4",0.0,0.0,0.375,-0.375,1.6216216216216217
T3,H→Jw,0,"S3,S4",0.5,-0.5,0.125,-0.125,0.5405405405405406
T3,H→P,0,"S3,S4",3.5,-3.5,4.0,-4.0,17.2972972972973
T3,H→V,0,"S3,S4",3.5,-3.5,2.0,-2.0,8.64864864864865
T3,Je→H,0,"S3,S4",1.0,-1.0,0.875,-0.875,3.783783783783784
T3,Je→Jw,0,"S3,S4",0.0,0.0,0.0,0.0,0.0
T3,Je→P,2,"S3,S4",0.5,1.5,0.25,1.75,0.0
T3,Je→V,0,"S3,S4",0.0,0.0,0.125,-0.125,0.5405405405405406
T3,Jw→H,0,"S3,S4",0.0,0.0,0.25,-0.25,1.0810810810810811
T3,Jw→Je,0,"S3,S4",1.0,-1.0,0.875,-0.875,3.783783783783784
T3,Jw→P,0,"S3,S4",1.5,-1.5,0.75,-0.75,3.2432432432432434
T3,Jw→V,0,"S3,S4",0.0,0.0,0.0,0.0,0.0
T3,P→H,0,"S3,S4",0.5,-0.5,0.75,-0.75,3.2432432432432434
T3,P→Je,0,"S3,S4",0.0,0.0,1.625,-1.625,7.027027027027027
T3,P→Jw,2,"S3,S4",0.0,2.0,0.5,1.5,0.0
T3,P→V,2,"S3,S4",1.0,1.0,0.25,1.75,0.0
T3,V→H,0,"S3,S4",2.5,-2.5,1.25,-1.25,5.405405405405405
T3,V→Je,0,"S3,S4",1.0,-1.0,0.875,-0.875,3.783783783783784
T3,V→Jw,0,"S3,S4",0.0,0.0,0.5,-0.5,2.1621621621621623
T3,V→P,4,"S3,S4",10.5,-6.5,12.75,-8.75,37.83783783783784
T4,H→Je,0,"S4,S5",1.5,-1.5,0.375,-0.375,2.2058823529411766
T4,H→Jw,0,"S4,S5",0.5,-0.5,0.125,-0.125,0.7352941176470588
T4,H→P,1,"S4,S5",2.0,-1.0,3.875,-2.875,16.911764705882355
T4,H→V,1,"S4,S5",2.5,-1.5,1.875,-0.875,5.147058823529411
T4,Je→H,0,"S4,S5",0.0,0.0,0.875,-0.875,5.147058823529411
T4,Je→Jw,0,"S4,S5",0.0,0.0,0.0,0.0,0.0
T4,Je→P,0,"S4,S5",0.0,0.0,0.5,-0.5,2.941176470588235
T4,Je→V,0,"S4,S5",0.0,0.0,0.125,-0.125,0.7352941176470588
T4,Jw→H,0,"S4,S5",0.5,-0.5,0.25,-0.25,1.4705882352941175
T4,Jw→Je,0,"S4,S5",0.5,-0.5,0.875,-0.875,5.147058823529411
T4,Jw→P,0,"S4,S5",0.0,0.0,0.75,-0.75,4.411764705882353
T4,Jw→V,0,"S4,S5",0.0,0.0,0.0,0.0,0.0
T4,P→H,0,"S4,S5",1.0,-1.0,0.75,-0.75,4.411764705882353
T4,P→Je,0,"S4,S5",1.0,-1.0,1.625,-1.625,9.558823529411764
T4,P→Jw,0,"S4,S5",0.0,0.0,0.75,-0.75,4.411764705882353
T4,P→V,0,"S4,S5",0.5,-0.5,0.5,-0.5,2.941176470588235
T4,V→H,0,"S4,S5",0.0,0.0,1.25,-1.25,7.352941176470589
T4,V→Je,0,"S4,S5",1.0,-1.0,0.875,-0.875,5.147058823529411
T4,V→Jw,0,"S4,S5",0.0,0.0,0.5,-0.5,2.941176470588235
T4,V→P,9,"S4,S5",10.0,-1.0,12.125,-3.125,18.38235294117647
