window,total_pairs,lead_lag_yes,tier1_count,tier2_count,strict_lag,tau0_coupled,strict_plus_tau0,audit_sensitive,usable_with_audit_sensitive,reason__positive_lag_not_supported,reason__marginal_statistical_support,reason__same_day_only_without_positive_lag_support,reason__positive_and_negative_supported_but_direction_difference_uncertain,reason__reverse_lag_dominant,lag_tau0__lag_tau0_close_or_coupled,lag_tau0__stable_tau0_dominant,lag_tau0__stable_lag_dominant,forward_reverse__forward_reverse_close_or_uncertain,forward_reverse__reverse_competitive,forward_reverse__stable_forward_over_reverse
S1,308,115,41,1,32,10,42,2,44,123,0,34,25,36,196,64,48,213,50,45
T1,308,95,26,2,10,18,28,2,30,173,16,20,22,20,252,43,13,245,32,31
S2,308,119,43,3,24,22,46,0,46,132,2,30,32,27,212,63,33,217,42,49
T2,308,87,23,2,19,6,25,3,28,188,8,16,22,17,239,39,30,250,30,28
S3,308,91,25,6,21,10,31,2,33,180,3,21,28,16,233,48,27,236,38,34
T3,308,75,0,10,3,7,10,0,10,211,23,13,32,9,275,20,13,271,19,18
S4,308,92,17,6,15,8,23,1,24,186,12,17,35,13,252,30,26,250,31,27
T4,308,61,8,3,4,7,11,0,11,214,26,22,12,11,276,18,14,279,15,14
S5,308,77,11,8,7,12,19,3,22,207,21,15,10,9,260,26,22,261,22,25
