window,_pair_id,_source_family,_target_family,_family_direction,_failure_reason,_stability,_evidence_tier_norm,source_variable,target_variable,positive_peak_abs_r,lag0_abs_r,negative_peak_abs_r,D_pos_0,D_pos_neg,p_pos_surrogate,q_pos_within_window,p_pos_audit_surrogate,positive_peak_lag,positive_peak_signed_r,negative_peak_lag,negative_peak_signed_r,D_pos_neg_CI90_low,D_pos_neg_CI90_high,D_pos_neg_CI95_low,D_pos_neg_CI95_high,P_D_pos_neg_gt_0,D_pos_0_CI90_low,D_pos_0_CI90_high,D_pos_0_CI95_low,D_pos_0_CI95_high,P_D_pos_0_gt_0,D_pos_neg_robustness,D_pos_0_robustness,D_pos_neg_bootstrap_mean,D_pos_neg_CI90_low_robustness,D_pos_neg_CI90_high_robustness,D_pos_neg_CI95_low_robustness,D_pos_neg_CI95_high_robustness,P_D_pos_neg_gt_0_robustness,D_pos_0_bootstrap_mean,D_pos_0_CI90_low_robustness,D_pos_0_CI90_high_robustness,D_pos_0_CI95_low_robustness,D_pos_0_CI95_high_robustness,P_D_pos_0_gt_0_robustness,D_pos_0_used,D_pos_0_CI90_low_used,D_pos_0_CI90_high_used,P_D_pos_0_gt_0_used,D_pos_neg_used,D_pos_neg_CI90_low_used,D_pos_neg_CI90_high_used,P_D_pos_neg_gt_0_used,near_miss_class
T3,H_centroid_lat -> Je_axis_lat,H,Je,H→Je,positive_and_negative_supported_but_direction_difference_uncertain,not_supported,Tier4a_ambiguous_bidirectional_close,H_centroid_lat,Je_axis_lat,0.4279486101991395,0.4030709002325398,0.3791606684279681,0.0037914482202655,0.0435826417210438,0.0009990009990009,0.0161943319838056,0.0279720279720279,2,0.4279486101991395,-1,0.3791606684279681,-0.1069009974782104,0.1415578741034751,-0.1298887327647369,0.1631148277933418,0.642,-0.0453729536867365,0.0861215453738999,-0.0556757371078788,0.0962627853226135,0.576,0.0435826417210438,0.0037914482202655,0.0231331303727526,-0.1069009974782104,0.1415578741034751,-0.1298887327647369,0.1631148277933418,0.642,0.0117946969641204,-0.0453729536867365,0.0861215453738999,-0.0556757371078788,0.0962627853226135,0.576,0.0037914482202655,-0.0453729536867365,0.0861215453738999,0.576,0.0435826417210438,-0.1069009974782104,0.1415578741034751,0.642,direction_uncertain
T3,H_centroid_lat -> Je_meridional_width,H,Je,H→Je,positive_and_negative_supported_but_direction_difference_uncertain,not_supported,Tier4a_ambiguous_bidirectional_close,H_centroid_lat,Je_meridional_width,0.1608121260934579,0.108110369923538,0.1326126271862267,0.0387412018629283,0.031807163289192,0.0019980019980019,0.0212201591511936,0.1868131868131868,5,0.1608121260934579,-5,-0.1326126271862267,-0.0345246181656564,0.0748248876827759,-0.0444082825152963,0.0876381860180332,0.675,0.0062264771561978,0.0810211719093646,-0.0051814809431435,0.0894464832821058,0.965,0.031807163289192,0.0387412018629283,0.0166917129079343,-0.0345246181656564,0.0748248876827759,-0.0444082825152963,0.0876381860180332,0.675,0.0441426487530687,0.0062264771561978,0.0810211719093646,-0.0051814809431435,0.0894464832821058,0.965,0.0387412018629283,0.0062264771561978,0.0810211719093646,0.965,0.031807163289192,-0.0345246181656564,0.0748248876827759,0.675,direction_uncertain
T3,H_centroid_lat -> Jw_meridional_width,H,Jw,H→Jw,direction_difference_not_stable,not_supported,Tier4c_ambiguous_direction_uncertain,H_centroid_lat,Jw_meridional_width,0.2614787912396023,0.0040084621501427,0.0266393931902422,0.2413225581362788,0.2369454570127894,0.0009990009990009,0.0161943319838056,0.0079920079920079,5,-0.2614787912396023,-1,0.0266393931902422,-0.0521546952542557,0.3772134161979227,-0.0667794064643896,0.4044827905846445,0.827,0.0006963214504829,0.3913245814076334,-0.0145085954665033,0.4264744558180955,0.951,0.2369454570127894,0.2413225581362788,0.1749445179576506,-0.0521546952542557,0.3772134161979227,-0.0667794064643896,0.4044827905846445,0.827,0.1935132441479135,0.0006963214504829,0.3913245814076334,-0.0145085954665033,0.4264744558180955,0.951,0.2413225581362788,0.0006963214504829,0.3913245814076334,0.951,0.2369454570127894,-0.0521546952542557,0.3772134161979227,0.827,direction_uncertain
T3,H_centroid_lat -> P_main_band_share,H,P,H→P,positive_and_negative_supported_but_direction_difference_uncertain,not_supported,Tier4a_ambiguous_bidirectional_close,H_centroid_lat,P_main_band_share,0.4333535963049238,0.4268937778722705,0.3943698804182899,-0.0113735948004979,0.0533281395364324,0.0009990009990009,0.0161943319838056,0.0029970029970029,1,-0.4333535963049238,-1,-0.3943698804182899,-0.0253025318016859,0.1496185370384279,-0.0384952038454349,0.1689051733009058,0.879,-0.0515785894813928,0.0538637131368667,-0.061834252441023,0.068762004055741,0.358,0.0533281395364324,-0.0113735948004979,0.0579760751423603,-0.0253025318016859,0.1496185370384279,-0.0384952038454349,0.1689051733009058,0.879,-0.0063097744381923,-0.0515785894813928,0.0538637131368667,-0.061834252441023,0.068762004055741,0.358,-0.0113735948004979,-0.0515785894813928,0.0538637131368667,0.358,0.0533281395364324,-0.0253025318016859,0.1496185370384279,0.879,direction_uncertain
T3,H_centroid_lat -> P_main_minus_south,H,P,H→P,positive_and_negative_supported_but_direction_difference_uncertain,not_supported,Tier4a_ambiguous_bidirectional_close,H_centroid_lat,P_main_minus_south,0.4895875303599397,0.4733840668939985,0.429182583635487,-0.0074281390440008,0.0534489033397,0.0009990009990009,0.0161943319838056,0.0009990009990009,1,-0.4895875303599397,-1,-0.429182583635487,-0.0280022635364173,0.1549456821678321,-0.0409187935603061,0.1787916096717418,0.881,-0.0488014871965271,0.0643368029357874,-0.0584792279893762,0.0815065758939775,0.442,0.0534489033397,-0.0074281390440008,0.0611866478210611,-0.0280022635364173,0.1549456821678321,-0.0409187935603061,0.1787916096717418,0.881,0.0003280460870696,-0.0488014871965271,0.0643368029357874,-0.0584792279893762,0.0815065758939775,0.442,-0.0074281390440008,-0.0488014871965271,0.0643368029357874,0.442,0.0534489033397,-0.0280022635364173,0.1549456821678321,0.881,direction_uncertain
T3,H_centroid_lat -> P_south_band_share_18_24,H,P,H→P,positive_and_negative_supported_but_direction_difference_uncertain,not_supported,Tier4a_ambiguous_bidirectional_close,H_centroid_lat,P_south_band_share_18_24,0.4575454675503749,0.4274036315111993,0.3776094443896828,0.0133440062796628,0.0763603124745917,0.0009990009990009,0.0161943319838056,0.0029970029970029,2,0.4575454675503749,-1,0.3776094443896828,-0.0309458882955449,0.2502239717848344,-0.0561475835350282,0.2767384105454202,0.876,-0.0441915187754424,0.14386869932436,-0.0541564507323237,0.1659084195468318,0.649,0.0763603124745917,0.0133440062796628,0.095982538568389,-0.0309458882955449,0.2502239717848344,-0.0561475835350282,0.2767384105454202,0.876,0.0332972374109817,-0.0441915187754424,0.14386869932436,-0.0541564507323237,0.1659084195468318,0.649,0.0133440062796628,-0.0441915187754424,0.14386869932436,0.649,0.0763603124745917,-0.0309458882955449,0.2502239717848344,0.876,direction_uncertain
T3,H_centroid_lat -> P_total_centroid_lat_10_50,H,P,H→P,positive_and_negative_supported_but_direction_difference_uncertain,not_supported,Tier4a_ambiguous_bidirectional_close,H_centroid_lat,P_total_centroid_lat_10_50,0.4119384419353755,0.3911350280446539,0.3464464525256964,0.0013119221460818,0.0647745238953546,0.0009990009990009,0.0161943319838056,0.0039960039960039,1,-0.4119384419353755,-1,-0.3464464525256964,-0.006072307002083,0.1751548523419348,-0.0267266182591868,0.1925091607935979,0.938,-0.0361013889015714,0.083736318821814,-0.0451745490315237,0.1002539932099077,0.562,0.0647745238953546,0.0013119221460818,0.0754459198734488,-0.006072307002083,0.1751548523419348,-0.0267266182591868,0.1925091607935979,0.938,0.0124282798132319,-0.0361013889015714,0.083736318821814,-0.0451745490315237,0.1002539932099077,0.562,0.0013119221460818,-0.0361013889015714,0.083736318821814,0.562,0.0647745238953546,-0.006072307002083,0.1751548523419348,0.938,direction_uncertain
T3,H_strength -> P_main_band_share,H,P,H→P,positive_and_negative_supported_but_direction_difference_uncertain,not_supported,Tier4a_ambiguous_bidirectional_close,H_strength,P_main_band_share,0.3503159204730748,0.3339098680754293,0.3034597295915088,1.3561237024478643e-05,0.047751285376694,0.0039960039960039,0.0323886639676113,0.0159840159840159,2,-0.3503159204730748,-1,-0.3034597295915088,-0.0063625535617411,0.1255785298633041,-0.0181308794430123,0.1391074188185017,0.932,-0.0271206900953513,0.0639397462343776,-0.031960366785022,0.08467478547342,0.515,0.047751285376694,1.3561237024478643e-05,0.0535216551532413,-0.0063625535617411,0.1255785298633041,-0.0181308794430123,0.1391074188185017,0.932,0.008857832147425,-0.0271206900953513,0.0639397462343776,-0.031960366785022,0.08467478547342,0.515,1.3561237024478643e-05,-0.0271206900953513,0.0639397462343776,0.515,0.047751285376694,-0.0063625535617411,0.1255785298633041,0.932,direction_uncertain
T3,H_strength -> P_main_minus_south,H,P,H→P,positive_and_negative_supported_but_direction_difference_uncertain,not_supported,Tier4a_ambiguous_bidirectional_close,H_strength,P_main_minus_south,0.3188651815162154,0.296636158322851,0.254887373062939,0.0068508014100581,0.0658672996381287,0.0179820179820179,0.097165991902834,0.0179820179820179,1,-0.3188651815162154,-1,-0.254887373062939,-0.0113192548570223,0.1367071764425013,-0.0459816254167595,0.1514290528952412,0.939,-0.0214103195510011,0.0717748317766445,-0.0271990706937584,0.0891274228454562,0.66,0.0658672996381287,0.0068508014100581,0.0620819022634261,-0.0113192548570223,0.1367071764425013,-0.0459816254167595,0.1514290528952412,0.939,0.0148403169380856,-0.0214103195510011,0.0717748317766445,-0.0271990706937584,0.0891274228454562,0.66,0.0068508014100581,-0.0214103195510011,0.0717748317766445,0.66,0.0658672996381287,-0.0113192548570223,0.1367071764425013,0.939,direction_uncertain
T3,H_centroid_lat -> V_NS_diff,H,V,H→V,positive_and_negative_supported_but_direction_difference_uncertain,not_supported,Tier4a_ambiguous_bidirectional_close,H_centroid_lat,V_NS_diff,0.3290990583753917,0.3004608773133933,0.2545919127297512,0.0103469961984684,0.0760713486320023,0.0089910089910089,0.060200668896321,0.0399600399600399,2,-0.3290990583753917,-1,-0.2545919127297512,-0.0714593768430625,0.2350787409658923,-0.0952564635954646,0.2603688130037541,0.825,-0.0566168460054472,0.1438468656083731,-0.066963853564314,0.1670622462686872,0.675,0.0760713486320023,0.0103469961984684,0.0891520121884993,-0.0714593768430625,0.2350787409658923,-0.0952564635954646,0.2603688130037541,0.825,0.035101884940874,-0.0566168460054472,0.1438468656083731,-0.066963853564314,0.1670622462686872,0.675,0.0103469961984684,-0.0566168460054472,0.1438468656083731,0.675,0.0760713486320023,-0.0714593768430625,0.2350787409658923,0.825,direction_uncertain
