window,evidence_tier,audit_sensitive,not_supported,significant_lagged_but_tau0_coupled,stable_lag_dominant
S1,Tier1a_audit_stable_clear_leadlag,0.0,0,0,5
S1,Tier1b_audit_stable_with_same_day,0.0,0,10,26
S1,Tier2_main_supported_audit_moderate,0.0,0,0,1
S1,Tier3_surrogate_or_persistence_sensitive_yes,2.0,0,0,0
S1,Tier4a_ambiguous_bidirectional_close,0.0,25,0,0
S1,Tier4b_ambiguous_same_day_dominant,0.0,31,0,0
S1,Tier4c_ambiguous_direction_uncertain,0.0,15,0,0
S1,Tier5a_no_not_supported,0.0,123,0,0
S1,Tier5b_no_reverse_dominant,0.0,36,0,0
S1,Tier5c_no_same_day_only,0.0,34,0,0
T1,Tier1a_audit_stable_clear_leadlag,0.0,0,0,8
T1,Tier1b_audit_stable_with_same_day,0.0,0,17,1
T1,Tier2_main_supported_audit_moderate,0.0,0,1,1
T1,Tier3_surrogate_or_persistence_sensitive_yes,2.0,0,0,0
T1,Tier4a_ambiguous_bidirectional_close,0.0,22,0,0
T1,Tier4b_ambiguous_same_day_dominant,0.0,22,0,0
T1,Tier4c_ambiguous_direction_uncertain,0.0,5,0,0
T1,Tier4d_ambiguous_marginal_statistical_support,0.0,16,0,0
T1,Tier5a_no_not_supported,0.0,173,0,0
T1,Tier5b_no_reverse_dominant,0.0,20,0,0
T1,Tier5c_no_same_day_only,0.0,20,0,0
S2,Tier1a_audit_stable_clear_leadlag,0.0,0,0,4
S2,Tier1b_audit_stable_with_same_day,0.0,0,21,18
S2,Tier2_main_supported_audit_moderate,0.0,0,1,2
S2,Tier4a_ambiguous_bidirectional_close,0.0,32,0,0
S2,Tier4b_ambiguous_same_day_dominant,0.0,33,0,0
S2,Tier4c_ambiguous_direction_uncertain,0.0,6,0,0
S2,Tier4d_ambiguous_marginal_statistical_support,0.0,2,0,0
S2,Tier5a_no_not_supported,0.0,132,0,0
S2,Tier5b_no_reverse_dominant,0.0,27,0,0
S2,Tier5c_no_same_day_only,0.0,30,0,0
T2,Tier1a_audit_stable_clear_leadlag,0.0,0,0,2
T2,Tier1b_audit_stable_with_same_day,0.0,0,6,15
T2,Tier2_main_supported_audit_moderate,0.0,0,0,2
T2,Tier3_surrogate_or_persistence_sensitive_yes,3.0,0,0,0
T2,Tier4a_ambiguous_bidirectional_close,0.0,22,0,0
T2,Tier4b_ambiguous_same_day_dominant,0.0,25,0,0
T2,Tier4c_ambiguous_direction_uncertain,0.0,4,0,0
T2,Tier4d_ambiguous_marginal_statistical_support,0.0,8,0,0
T2,Tier5a_no_not_supported,0.0,188,0,0
T2,Tier5b_no_reverse_dominant,0.0,17,0,0
T2,Tier5c_no_same_day_only,0.0,16,0,0
S3,Tier1a_audit_stable_clear_leadlag,0.0,0,0,8
S3,Tier1b_audit_stable_with_same_day,0.0,0,5,12
S3,Tier2_main_supported_audit_moderate,0.0,0,5,1
S3,Tier3_surrogate_or_persistence_sensitive_yes,2.0,0,0,0
