window,metric,n,mean,median,p25,p75,p90,min,max
S1,positive_peak_abs_r,308,0.17115922159009167,0.1250183855528776,0.06216640240051158,0.2492297683106819,0.3538442202647273,0.0126442613100837,0.7609491460591702
S1,lag0_abs_r,308,0.15708973563285172,0.10944660676193341,0.027525210077469,0.2412005737149276,0.3533360578055778,0.0002337662908557,0.6833742011652862
S1,negative_peak_abs_r,308,0.17000529017971056,0.12804620463954997,0.06253404502794412,0.24776216136879908,0.34853662870068564,0.0113182915639784,0.7590279763782785
S1,D_pos_0,308,-0.001704005539602392,-0.00309507355907745,-0.0364747787671581,0.025496507980293202,0.07674162635113721,-0.1856961140386743,0.2348888618867243
S1,D_pos_neg,308,-0.0038872769709821777,-0.00409278341405975,-0.04677487470915282,0.034131308001230376,0.10471894549823427,-0.3283576772894546,0.3259441597546645
S1,p_pos_surrogate,308,0.1809845998157686,0.0574425574425574,0.0009990009990009,0.28696303696303693,0.5397602397602399,0.0009990009990009,0.975024975024975
S1,q_pos_within_window,308,0.22296919795736136,0.11451129515645644,0.0037523452157598,0.3819628647214854,0.5995097285126636,0.0037523452157598,0.9750249750249752
S1,p_pos_audit_surrogate,308,0.23003295405892804,0.1363636363636363,0.01373626373626365,0.3866133866133866,0.6195804195804197,0.0009990009990009,0.972027972027972
S1,positive_peak_lag,308,2.3214285714285716,2.0,1.0,3.0,5.0,1.0,5.0
S1,positive_peak_signed_r,308,0.03815026452825825,0.0328679338562272,-0.10184118183852661,0.1774467793510654,0.3072207164129811,-0.585180645608301,0.7609491460591702
S1,negative_peak_lag,308,-2.314935064935065,-2.0,-4.0,-1.0,-1.0,-5.0,-1.0
S1,negative_peak_signed_r,308,0.03957163966660597,0.033316644808030246,-0.09603213984500593,0.17432824980975653,0.30581356305585927,-0.5826123933359679,0.7590279763782785
S1,D_pos_neg_CI90_low,308,-0.0639221569439281,-0.058521986903358206,-0.10714270516425706,-0.026915246058648774,0.04615287855521357,-0.37341789326017,0.24032937599986
S1,D_pos_neg_CI90_high,308,0.05750281933133747,0.05029407523510865,0.0221978184449664,0.1006084098450489,0.15932628023981216,-0.2292831218424781,0.369728205291563
S1,D_pos_neg_CI95_low,308,-0.07562446500221846,-0.06814303053326184,-0.12007970195444548,-0.037722357083048046,0.03364964643634719,-0.3812216595045178,0.2227231168290856
S1,D_pos_neg_CI95_high,308,0.06944178800653185,0.0605628931300575,0.032064196795735224,0.11222065763120405,0.1755816970949014,-0.2239008778288948,0.382940256257815
S1,P_D_pos_neg_gt_0,308,0.4819285714285713,0.4755,0.163,0.807,0.9966,0.0,1.0
S1,D_pos_0_CI90_low,308,-0.035240262181262326,-0.0303916613551361,-0.060072101003638925,-0.01363126852211535,0.01950206793600846,-0.2116913325090675,0.1648738330703369
S1,D_pos_0_CI90_high,308,0.049161437482754755,0.047093581174104296,0.010399298687217274,0.08586903510294007,0.14001803367437998,-0.1641826838037224,0.3116301527813284
S1,D_pos_0_CI95_low,308,-0.0406648752163342,-0.0361006432265018,-0.06447417245125892,-0.018617779745610925,0.009733859939282562,-0.2155361015256607,0.1541013102605595
S1,D_pos_0_CI95_high,308,0.059754175522206014,0.058845774331456754,0.018732801332439677,0.09796799435769897,0.15505822514047737,-0.1599919095083113,0.3231557163703964
S1,P_D_pos_0_gt_0,308,0.48758441558441556,0.5175000000000001,0.09975,0.839,0.9943,0.0,1.0
S1,D_pos_neg_robustness,308,-0.0038872769709821777,-0.00409278341405975,-0.04677487470915282,0.034131308001230376,0.10471894549823427,-0.3283576772894546,0.3259441597546645
S1,D_pos_0_robustness,308,-0.001704005539602392,-0.00309507355907745,-0.0364747787671581,0.025496507980293202,0.07674162635113721,-0.1856961140386743,0.2348888618867243
S1,D_pos_neg_bootstrap_mean,308,-0.0035475452413688178,-0.0020871607967685004,-0.03421881032944525,0.02664596860919495,0.09689824761956152,-0.3005737366801214,0.3044285448846208
S1,D_pos_neg_CI90_low_robustness,308,-0.0639221569439281,-0.058521986903358206,-0.10714270516425706,-0.026915246058648774,0.04615287855521357,-0.37341789326017,0.24032937599986
S1,D_pos_neg_CI90_high_robustness,308,0.05750281933133747,0.05029407523510865,0.0221978184449664,0.1006084098450489,0.15932628023981216,-0.2292831218424781,0.369728205291563
S1,D_pos_neg_CI95_low_robustness,308,-0.07562446500221846,-0.06814303053326184,-0.12007970195444548,-0.037722357083048046,0.03364964643634719,-0.3812216595045178,0.2227231168290856
S1,D_pos_neg_CI95_high_robustness,308,0.06944178800653185,0.0605628931300575,0.032064196795735224,0.11222065763120405,0.1755816970949014,-0.2239008778288948,0.382940256257815
S1,P_D_pos_neg_gt_0_robustness,308,0.4819285714285713,0.4755,0.163,0.807,0.9966,0.0,1.0
S1,D_pos_0_bootstrap_mean,308,0.002295289812215086,0.0050792633823611,-0.0266677364268356,0.024524901856817025,0.07039983095897337,-0.1868463303891681,0.2383799595117917
S1,D_pos_0_CI90_low_robustness,308,-0.035240262181262326,-0.0303916613551361,-0.060072101003638925,-0.01363126852211535,0.01950206793600846,-0.2116913325090675,0.1648738330703369
S1,D_pos_0_CI90_high_robustness,308,0.049161437482754755,0.047093581174104296,0.010399298687217274,0.08586903510294007,0.14001803367437998,-0.1641826838037224,0.3116301527813284
S1,D_pos_0_CI95_low_robustness,308,-0.0406648752163342,-0.0361006432265018,-0.06447417245125892,-0.018617779745610925,0.009733859939282562,-0.2155361015256607,0.1541013102605595
S1,D_pos_0_CI95_high_robustness,308,0.059754175522206014,0.058845774331456754,0.018732801332439677,0.09796799435769897,0.15505822514047737,-0.1599919095083113,0.3231557163703964
S1,P_D_pos_0_gt_0_robustness,308,0.48758441558441556,0.5175000000000001,0.09975,0.839,0.9943,0.0,1.0
S1,D_pos_0_used,308,-0.001704005539602392,-0.00309507355907745,-0.0364747787671581,0.025496507980293202,0.07674162635113721,-0.1856961140386743,0.2348888618867243
S1,D_pos_0_CI90_low_used,308,-0.035240262181262326,-0.0303916613551361,-0.060072101003638925,-0.01363126852211535,0.01950206793600846,-0.2116913325090675,0.1648738330703369
S1,D_pos_0_CI90_high_used,308,0.049161437482754755,0.047093581174104296,0.010399298687217274,0.08586903510294007,0.14001803367437998,-0.1641826838037224,0.3116301527813284
S1,P_D_pos_0_gt_0_used,308,0.48758441558441556,0.5175000000000001,0.09975,0.839,0.9943,0.0,1.0
S1,D_pos_neg_used,308,-0.0038872769709821777,-0.00409278341405975,-0.04677487470915282,0.034131308001230376,0.10471894549823427,-0.3283576772894546,0.3259441597546645
S1,D_pos_neg_CI90_low_used,308,-0.0639221569439281,-0.058521986903358206,-0.10714270516425706,-0.026915246058648774,0.04615287855521357,-0.37341789326017,0.24032937599986
S1,D_pos_neg_CI90_high_used,308,0.05750281933133747,0.05029407523510865,0.0221978184449664,0.1006084098450489,0.15932628023981216,-0.2292831218424781,0.369728205291563
