field,stage,min,max,mean,std,finite_count
precip,raw,0.0,737.3976440429688,3.101559522859897,7.964537959094937,862377435
u200,raw,-49.69231033325195,95.41112518310547,12.04043732568804,18.208870315791216,862377435
z500,raw,4877.1318359375,5996.7880859375,5764.564447894681,137.88840821897483,862377435
v850,raw,-47.1204719543457,51.704280853271484,-0.006594628032482453,4.390608700367887,862377435
precip,smoothed,0.0,208.55967119004993,3.1437265803781127,4.897990516725738,824677875
u200,smoothed,-33.5918165842692,76.45545069376628,11.718964718991542,16.695006346607542,824677875
z500,smoothed,5034.539008246527,5967.783203125,5767.203502480931,129.02115227025553,824677875
v850,smoothed,-26.34531127081977,23.493573506673176,0.0008492142957307928,2.952176171396293,824677875
precip,climatology,0.0,106.11623019465696,3.1437265803780874,3.5773778010088018,18326175
u200,climatology,-25.403119176699793,52.33881978282222,11.718964718991716,15.275176662065356,18326175
z500,climatology,5238.753245563272,5910.2191044560195,5767.203502480982,123.05283766873224,18326175
v850,climatology,-21.31991877614716,13.607185510352805,0.0008492142957308308,2.1533772390319266,18326175
precip,anomaly,-90.4118455439438,178.82030370735828,5.677463730583332e-18,3.345546169280107,824677875
u200,anomaly,-35.2152637263875,43.686459965654365,8.22372019157222e-16,6.737374477937268,824677875
z500,anomaly,-352.5201967592584,305.4657045717595,1.3171010031956521e-15,38.78732879197609,824677875
v850,anomaly,-19.793909115362684,20.875842602283658,-2.5178029714300206e-17,2.0194827588715216,824677875
