object,window_id,break_day,main_peak_day,left_start,left_end,right_start,right_end,feature_name,feature_group,left_mean,right_mean,delta,abs_delta,metric_fullseason_std,delta_z,contribution_abs,contribution_share,rank_within_break,source_v10_2_support,edge_limited_flag
P,W001,18,18,8,17,19,28,P_profile_lat_14.0,profile_structure,2.1051785496817983,2.4217516523308005,0.3165731026490022,0.3165731026490022,2.8465776167336756,0.11121182882490888,0.012368070870580833,0.007837935470803695,18,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_16.0,profile_structure,1.9454939925694243,2.379381997169945,0.43388800460052046,0.43388800460052046,2.7129908056166463,0.1599297733343774,0.025577532398785335,0.016209079859085214,14,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_18.0,profile_structure,1.74109075369731,2.146781015710085,0.40569026201277514,0.40569026201277514,2.8085286698067815,0.14444939315527283,0.02086562718292658,0.013223035437696005,16,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_20.0,profile_structure,1.8344662664525664,2.336283945492938,0.5018176790403717,0.5018176790403717,2.7606903083661405,0.18177253620938116,0.033041254919990784,0.020939015198665402,12,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_22.0,profile_structure,3.411113637082007,4.250649096687072,0.8395354596050648,0.8395354596050648,1.9978280801074249,0.4202240763178784,0.17658827431721408,0.11190811513630222,2,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_24.0,profile_structure,6.106829518094475,7.0557956759011375,0.9489661578066624,0.9489661578066624,1.4022682560573532,0.6767365329047641,0.45797233496796086,0.2902277684574424,1,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_26.0,profile_structure,6.526478763538025,7.084694651934527,0.5582158883965018,0.5582158883965018,1.704427027194578,0.3275094090213444,0.10726241299751027,0.06797469713057191,5,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_28.0,profile_structure,6.9039580140384915,6.976808952788103,0.07285093874961124,0.07285093874961124,1.884488735055362,0.03865819805363371,0.0014944562767539695,0.0009470718581502655,19,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_30.0,profile_structure,5.151209413991107,5.478417430810677,0.32720801681957035,0.32720801681957035,1.7514291226345897,0.18682344183438393,0.034902998418845435,0.022118845550537065,11,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_32.0,profile_structure,2.879269412853536,3.379433793625514,0.5001643807719778,0.5001643807719778,1.7700952466782522,0.2825635409792684,0.07984215469074268,0.05059783881126636,7,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_34.0,profile_structure,1.7507097673357996,2.2121707362820504,0.46146096894625077,0.46146096894625077,1.708791625138791,0.27005104786183076,0.07292756845127281,0.046215903963109484,8,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_36.0,profile_structure,1.3478710569686378,1.560040669596026,0.2121696126273882,0.2121696126273882,1.4854422256845325,0.14283262516629658,0.02040115881189578,0.012928690979416088,17,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_38.0,profile_structure,1.0781720245220625,1.321388177504683,0.24321615298262045,0.24321615298262045,1.3453692205944079,0.18078022691433593,0.03268149044319879,0.020711024044402986,13,0.793,False
P,W001,18,18,8,17,19,28,P_profile_lat_40.0,profile_structure,,,,,,,,,20,0.793,False
P,W001,18,18,8,17,19,28,P_total_strength,strength,4.214562279350648,4.649031099083456,0.4344688197328077,0.4344688197328077,1.1703613061960925,0.37122623367045304,0.1378089165651498,0.08733273011139277,3,0.793,False
P,W001,18,18,8,17,19,28,P_centroid_lat,position,26.5831006927943,26.458474749632693,-0.12462594316160747,0.12462594316160747,0.8402080577139507,-0.1483274791492606,0.022001041070774333,0.013942573745547495,15,0.793,False
P,W001,18,18,8,17,19,28,P_spread_lat,rainband_width,5.157336071302689,5.310575790430199,0.15323971912750967,0.15323971912750967,0.6493837905171157,0.235977123798367,0.05568520295614982,0.03528901410866612,10,0.793,False
P,W001,18,18,8,17,19,28,P_main_band_share,rainband_structure,0.6661265431462775,0.6399174017522049,-0.0262091413940726,0.0262091413940726,0.10368215793218731,-0.25278352531217996,0.06389951066925352,0.040494612820570035,9,0.793,False
