object,window_id,break_day,main_peak_day,feature_group,group_contribution,group_contribution_share,group_signed_delta_mean_z,rank,source_v10_2_support,edge_limited_flag
V,W002,30,30,latitudinal_structure,0.013736151234824058,0.008007986075830982,-0.1172013277860966,4,0.669,False
V,W003,45,45,profile_structure,4.406231167860339,0.6656374385478755,0.2072239592279939,1,0.984,False
V,W003,45,45,latitudinal_structure,1.106802210027744,0.16720161970524802,-1.0520466767343282,2,0.984,False
V,W003,45,45,position,1.0870831724548786,0.1642227179725445,-1.0426328080656577,3,0.984,False
V,W003,45,45,strength,0.019449767129766055,0.0029382237743320544,-0.13946242192707703,4,0.984,False
V,W004,80,80,profile_structure,5.168577710875095,0.679230853011282,0.4697750038894574,1,0.901,False
V,W004,80,80,latitudinal_structure,1.3907779733720997,0.182769682888814,1.179312500303503,2,0.901,False
V,W004,80,80,strength,0.6702740566136235,0.08808435215496095,0.8187026667927884,3,0.901,False
V,W004,80,80,position,0.37982687902162016,0.049915111944943094,0.6163009646444018,4,0.901,False
V,W005,95,95,profile_structure,2.340147332810365,0.8018764926219818,-0.34249860776582125,1,0.943,False
V,W005,95,95,strength,0.4493364183479571,0.15396992578218213,-0.6703256062153355,2,0.943,False
V,W005,95,95,latitudinal_structure,0.12877652527666034,0.04412665261416783,-0.3588544625285581,3,0.943,False
V,W005,95,95,position,7.858789377871415e-05,2.6928981668066128e-05,0.008864981318576715,4,0.943,False
V,W006,114,114,profile_structure,4.772953742044235,0.677877616656704,-0.5575155165357419,1,0.933,False
V,W006,114,114,latitudinal_structure,1.0302988393970014,0.14632794689425982,-1.0150363734354555,2,0.933,False
V,W006,114,114,strength,1.0018237506193506,0.14228377920316154,-1.0009114599300732,3,0.933,False
V,W006,114,114,position,0.2359493999653034,0.03351065724587467,-0.4857462300062692,4,0.933,False
V,W007,136,136,profile_structure,1.857557235049832,0.7778235885423752,-0.39451636505511495,1,0.833,False
V,W007,136,136,strength,0.3135042478827365,0.13127509317627392,-0.5599145005112267,2,0.833,False
V,W007,136,136,position,0.14206661003462792,0.05948821298430683,-0.3769172456052229,3,0.833,False
V,W007,136,136,latitudinal_structure,0.0750191198614277,0.031413105297044,-0.2738961844594183,4,0.833,False
V,W008,161,161,profile_structure,7.910576670814114,0.9657456390131516,-0.8096662288608963,1,0.879,False
V,W008,161,161,strength,0.15725009944693114,0.019197538194093398,-0.3965477265688597,2,0.879,False
V,W008,161,161,position,0.09347015975070545,0.011411102238620545,-0.30572889910949774,3,0.879,False
V,W008,161,161,latitudinal_structure,0.02986267894858306,0.0036457205541345072,-0.17280821435505622,4,0.879,False
H,W001,19,19,profile_structure,4.14800283709523,0.8716706624693419,0.5779852336087725,1,0.784,False
H,W001,19,19,strength,0.44007086137026824,0.09247748237624191,0.6633783696882709,2,0.784,False
H,W001,19,19,position,0.16900735412867424,0.03551558620405784,0.41110504026182193,3,0.784,False
H,W001,19,19,shape_extent,0.0016001967488066121,0.00033626895035836825,-0.010000614821120413,4,0.784,False
H,W002,35,35,profile_structure,2.3228144676373352,0.6978889486500545,0.25765120660827007,1,0.908,False
H,W002,35,35,shape_extent,0.6324166892305857,0.19000941508893315,0.09333907166379055,2,0.908,False
H,W002,35,35,strength,0.22874685900044756,0.06872692897302439,0.47827487807791824,3,0.908,False
H,W002,35,35,position,0.14436594505896472,0.04337470728798771,0.3799551882248283,4,0.908,False
H,W003,57,57,shape_extent,0.7116625553607965,0.4523605816473654,0.0633372272004292,1,0.724,False
H,W003,57,57,profile_structure,0.7023548881080913,0.4464442639480602,0.16835060049258257,2,0.724,False
H,W003,57,57,strength,0.0934800411534366,0.059419573883790835,0.30574505908262295,3,0.724,False
H,W003,57,57,position,0.06572216411260492,0.041775580520783596,0.2563633439331858,4,0.724,False
H,W004,77,77,profile_structure,3.2208131607350605,0.7375801250847794,0.26313627945726614,1,0.942,False
H,W004,77,77,shape_extent,0.6715940931819979,0.1537979480754252,0.27335044452460955,2,0.942,False
H,W004,77,77,strength,0.2883948086817544,0.06604365681762904,0.5370240298922893,3,0.942,False
H,W004,77,77,position,0.18592780334605888,0.04257827002216632,0.4311934639417194,4,0.942,False
H,W005,95,95,profile_structure,3.125232256033957,0.8595664100435888,-0.2512214618868109,1,0.889,False
H,W005,95,95,shape_extent,0.3504129484872075,0.09637786106373313,0.19528253648108174,2,0.889,False
H,W005,95,95,position,0.13971235334557372,0.03842659878226066,0.37378115702316206,3,0.889,False
H,W005,95,95,strength,0.02046652683135448,0.005629130110417307,0.14306126950140796,4,0.889,False
H,W006,115,115,profile_structure,7.836768931174351,0.9177696354909345,-0.6171173308550159,1,0.996,False
H,W006,115,115,shape_extent,0.6073374971302379,0.07112573029222495,0.26477626524134934,2,0.996,False
H,W006,115,115,strength,0.059454088179875186,0.0069627109484154785,-0.24383209013555862,3,0.996,False
H,W006,115,115,position,0.035367584990911104,0.004141923268425251,0.1880627155789023,4,0.996,False
H,W007,129,129,profile_structure,0.9089392807483664,0.8301495635183104,0.20728668949845674,1,0.887,False
H,W007,129,129,shape_extent,0.17462818070858122,0.15949086046085248,-0.034356532712218224,2,0.887,False
H,W007,129,129,position,0.007614761947767046,0.0069546904189573535,-0.0872626033749111,3,0.887,False
H,W007,129,129,strength,0.003728044205536657,0.0034048856018799407,0.06105771208894628,4,0.887,False
H,W008,155,155,shape_extent,4.19911288557651,0.6762203138257916,-0.03513719604804927,1,0.936,False
H,W008,155,155,profile_structure,1.9865189157379313,0.3199067234499331,0.2772481700606417,2,0.936,False
H,W008,155,155,position,0.018025790384257404,0.0029028525697581847,-0.13426015933350222,3,0.936,False
H,W008,155,155,strength,0.006024075241416957,0.0009701101545170481,0.0776149163590154,4,0.936,False
Je,W001,26,26,profile_structure,1.4929023982561982,0.8407175706468768,-0.3526852056880425,1,0.825,False
Je,W001,26,26,jet_strength,0.2506591704481671,0.14115696316496926,-0.5006587365143718,2,0.825,False
Je,W001,26,26,jet_axis,0.032151782488489745,0.018106052007996812,0.17930918127215278,3,0.825,False
Je,W001,26,26,jet_width,3.4474688205220075e-05,1.9414180157092414e-05,0.00587151498381977,4,0.825,False
Je,W002,33,33,profile_structure,1.3374122065540452,0.8707841907639687,-0.14254007358784793,1,0.763,False
Je,W002,33,33,jet_axis,0.09600077333536994,0.06250575201264784,0.3098399156586671,2,0.763,False
Je,W002,33,33,jet_strength,0.07151653699910585,0.04656415538292849,-0.26742575978971406,3,0.763,False
Je,W002,33,33,jet_width,0.03094150688453091,0.02014590184045492,-0.1759019808999629,4,0.763,False
Je,W003,46,46,profile_structure,2.484886922628678,0.9488701916995679,-0.33187663927826344,1,0.978,False
Je,W003,46,46,jet_width,0.06645457182408586,0.025376109364094294,-0.2577878426615302,2,0.978,False
Je,W003,46,46,jet_strength,0.06088900570825274,0.023250861837071778,-0.24675697702041322,3,0.978,False
Je,W003,46,46,jet_axis,0.006554391983055894,0.0025028370992661525,-0.08095919949614061,4,0.978,False
Je,W004,81,81,profile_structure,1.5097218661755496,0.6029716959760522,-0.27991485525526993,1,0.714,False
Je,W004,81,81,jet_width,0.6076105357125173,0.2426751333605528,-0.7794937688734384,2,0.714,False
Je,W004,81,81,jet_axis,0.2702381886912856,0.10793112466831926,0.5198443889196896,3,0.714,False
Je,W004,81,81,jet_strength,0.11623162144937017,0.04642204599507591,-0.34092758974505155,4,0.714,False
Je,W005,94,94,profile_structure,1.8345466270233224,0.8496876727534819,-0.3344504531640404,1,0.606,False
Je,W005,94,94,jet_strength,0.18999179210806413,0.0879965007706027,-0.43588047915462347,2,0.606,False
Je,W005,94,94,jet_axis,0.10582911677445897,0.04901575932553463,0.32531387424218317,3,0.606,False
Je,W005,94,94,jet_width,0.028715955417884086,0.013300067150380736,0.16945782784481833,4,0.606,False
Je,W006,111,111,profile_structure,3.6340551614368763,0.8693768847409349,-0.3622920153310476,1,0.986,False
Je,W006,111,111,jet_axis,0.3338724629005112,0.07987248096213898,0.5778169804535959,2,0.986,False
Je,W006,111,111,jet_strength,0.19637851755063493,0.046979733722784196,-0.44314615822619396,3,0.986,False
Je,W006,111,111,jet_width,0.01576262370813906,0.0037709005741418692,-0.1255492879634889,4,0.986,False
Je,W007,136,136,profile_structure,3.220172675954966,0.9449555362991764,0.35288891668342154,1,0.842,False
Je,W007,136,136,jet_strength,0.15439537615301693,0.04530712485209211,0.3929317703533489,2,0.842,False
Je,W007,136,136,jet_axis,0.018517353983196483,0.005433893745727141,-0.13607848464469496,3,0.842,False
Je,W007,136,136,jet_width,0.014665067086055533,0.00430344510300441,0.1210994099327306,4,0.842,False
Je,W008,162,162,profile_structure,4.392094897455257,0.9376449317907964,0.5198536387347228,1,0.981,False
Je,W008,162,162,jet_strength,0.24199103054075136,0.05166137540808425,0.4919258384561146,2,0.981,False
Je,W008,162,162,jet_axis,0.027181246678497546,0.005802779489718045,-0.1648673608647192,3,0.981,False
Je,W008,162,162,jet_width,0.022909904027182428,0.00489091331140119,0.15136017979370409,4,0.981,False
Jw,W001,41,41,profile_structure,2.540281886080588,0.871795948192011,0.11170421755738115,1,0.913,False
Jw,W001,41,41,jet_width,0.3237310623398424,0.11110083097400654,-0.5689736921333379,2,0.913,False
Jw,W001,41,41,jet_axis,0.029318880393349005,0.0100619074097657,0.17122756902248248,3,0.913,False
Jw,W001,41,41,jet_strength,0.02051732516404643,0.007041313424216661,0.1432386999523747,4,0.913,False
Jw,W002,83,83,profile_structure,3.276976884716656,0.9088767407368052,-0.08447664909347097,1,0.806,False
Jw,W002,83,83,jet_axis,0.2076464610781282,0.05759120232138567,0.4556824125178941,2,0.806,False
Jw,W002,83,83,jet_width,0.09536002605805957,0.026448312798434636,-0.30880418724178527,3,0.806,False
Jw,W002,83,83,jet_strength,0.025540609385896317,0.007083744143374523,-0.15981429656290552,4,0.806,False
Jw,W003,104,104,profile_structure,5.722799522258188,0.8799347954718038,-0.5186404539656606,1,0.898,False
Jw,W003,104,104,jet_strength,0.5744967567315443,0.08833433430048071,-0.7579556429841685,2,0.898,False
Jw,W003,104,104,jet_width,0.16754183595273445,0.02576114899336302,0.4093187461535746,3,0.898,False
Jw,W003,104,104,jet_axis,0.038825056133448305,0.005969721234352516,0.1970407473936503,4,0.898,False
Jw,W004,130,130,profile_structure,5.1082203262234165,0.8817752627844703,0.5158648885711172,1,0.923,False
Jw,W004,130,130,jet_strength,0.5464624710951095,0.0943297387894749,0.7392309998201574,2,0.923,False
Jw,W004,130,130,jet_width,0.1339425895142748,0.0231210195575688,-0.3659816792057695,3,0.923,False
Jw,W004,130,130,jet_axis,0.00448374405013642,0.0007739788684859532,-0.06696076500560921,4,0.923,False
Jw,W005,152,152,profile_structure,2.748652258087208,0.8593171995120333,0.4181527591002902,1,0.729,False
Jw,W005,152,152,jet_strength,0.3169386419140567,0.09908522454428767,0.5629730383544639,2,0.729,False
Jw,W005,152,152,jet_width,0.11913720913574075,0.03724612766529014,-0.3451625836265292,3,0.729,False
Jw,W005,152,152,jet_axis,0.013918746352493731,0.004351448278388863,-0.11797773668151856,4,0.729,False
