object,window_id,break_day,main_peak_day,feature_group,group_contribution,group_contribution_share,group_signed_delta_mean_z,rank,source_v10_2_support,edge_limited_flag
P,W001,18,18,profile_structure,1.0759253347476783,0.6818390218974492,0.24027251004443662,1,0.793,False
P,W001,18,18,rainband_structure,0.28655509742340457,0.18159666013694453,-0.060772625737433396,2,0.793,False
P,W001,18,18,strength,0.1378089165651498,0.08733273011139277,0.37122623367045304,3,0.793,False
P,W001,18,18,rainband_width,0.05568520295614982,0.03528901410866612,0.235977123798367,4,0.793,False
P,W001,18,18,position,0.022001041070774333,0.013942573745547495,-0.1483274791492606,5,0.793,False
P,W002,34,34,profile_structure,3.1869622630715746,0.6712526472997371,0.47745872514041443,1,0.6,False
P,W002,34,34,rainband_structure,0.5597666162220368,0.11790061883158845,-0.2085352935249788,2,0.6,False
P,W002,34,34,strength,0.5334543434185398,0.11235860693503165,0.7303795885829093,3,0.6,False
P,W002,34,34,rainband_width,0.28700318003796266,0.060449929582237674,0.5357267774136016,4,0.6,False
P,W002,34,34,position,0.1805971268818912,0.03803819735140473,-0.4249672068311756,5,0.6,False
P,W003,45,45,profile_structure,5.929701801328255,0.4740009010260808,0.34748176545732107,1,0.985,False
P,W003,45,45,rainband_structure,3.633258535155292,0.29043076313526267,-0.11923947467340319,2,0.985,False
P,W003,45,45,position,2.3607364784789264,0.1887095262755867,-1.536468834203586,3,0.985,False
P,W003,45,45,strength,0.5549584068958732,0.0443615537027037,0.7449553053008436,4,0.985,False
P,W003,45,45,rainband_width,0.03124041017967446,0.0024972558603660387,-0.17674956910746475,5,0.985,False
P,W004,65,65,profile_structure,3.993695182858861,0.812947323750909,0.4905643167765923,1,0.811,False
P,W004,65,65,strength,0.71998817371537,0.14655912185446823,0.8485211686901925,2,0.811,False
P,W004,65,65,rainband_structure,0.1169487411289903,0.023805814355814955,0.0021522874065223463,3,0.811,False
P,W004,65,65,position,0.07539053763206144,0.015346322890935689,0.27457337385853975,4,0.811,False
P,W004,65,65,rainband_width,0.006589862645643774,0.0013414171478723783,0.08117796896722518,5,0.811,False
P,W005,82,82,profile_structure,13.73833177504304,0.9071579460601011,0.11772518922154661,1,0.916,False
P,W005,82,82,rainband_width,0.6975809206343087,0.04606207547869118,0.8352130989360192,2,0.916,False
P,W005,82,82,position,0.5922737831624535,0.03910852332267349,0.7695932582620858,3,0.916,False
P,W005,82,82,rainband_structure,0.11472140218975999,0.007575186950183508,-0.1678357624062783,4,0.916,False
P,W005,82,82,strength,0.0014579206594493366,9.6268188350729e-05,0.03818272723954297,5,0.916,False
P,W006,95,95,profile_structure,7.476854666258815,0.8544144359844741,-0.19052847016345537,1,0.695,False
P,W006,95,95,rainband_structure,0.5972149176706384,0.06824648462752525,-0.2676586101114264,2,0.695,False
P,W006,95,95,rainband_width,0.47802759489210045,0.054626403227804904,0.6913953969271855,3,0.695,False
P,W006,95,95,strength,0.18966120926485,0.021673455266349926,-0.43550110133597825,4,0.695,False
P,W006,95,95,position,0.009094068712069978,0.0010392208938461607,0.09536282667827112,5,0.695,False
P,W007,113,113,profile_structure,5.584082177775056,0.6900741303520087,-0.01156159428011172,1,0.938,False
P,W007,113,113,rainband_structure,1.6000269054994245,0.19772939226196484,-0.13960650102989683,2,0.938,False
P,W007,113,113,position,0.8924623507111247,0.11028941926930533,-0.9447022550577111,3,0.938,False
P,W007,113,113,strength,0.013968762574772664,0.001726242805710414,0.11818951973323466,4,0.938,False
P,W007,113,113,rainband_width,0.001463158103272371,0.00018081531101060548,-0.038251249695563816,5,0.938,False
P,W008,126,126,profile_structure,1.1781583388978962,0.8472559483206692,0.005806770235062734,1,0.839,False
P,W008,126,126,rainband_width,0.1121201398003944,0.08062961678078973,-0.33484345566308205,2,0.839,False
P,W008,126,126,rainband_structure,0.0929717655481719,0.06685933357671535,0.16461749673140366,3,0.839,False
P,W008,126,126,position,0.004253747395716842,0.0030590224290616233,0.06522075893238932,4,0.839,False
P,W008,126,126,strength,0.0030537745595246844,0.0021960788927640465,-0.055260967775860426,5,0.839,False
P,W009,138,138,profile_structure,0.6570273955257248,0.9351667327825255,-0.0336943405727886,1,0.918,False
P,W009,138,138,position,0.02604873986609606,0.037075950134753864,-0.1613962201109309,2,0.918,False
P,W009,138,138,rainband_structure,0.018765036629765214,0.02670883758440613,0.006152287002637998,3,0.918,False
P,W009,138,138,strength,0.0006318975294959102,0.0008993986432471416,0.02513757206843792,4,0.918,False
P,W009,138,138,rainband_width,0.0001047409007333882,0.00014908085506718633,-0.010234300207312086,5,0.918,False
P,W010,158,158,profile_structure,4.527358404163752,0.8296870344932289,-0.40466734634362694,1,0.957,False
P,W010,158,158,position,0.6017269734646147,0.11027292818905013,-0.7757106248238544,2,0.957,False
P,W010,158,158,strength,0.22218355650129812,0.0407175221509265,-0.47136350781673597,3,0.957,False
P,W010,158,158,rainband_structure,0.08654355601241301,0.01586003579402955,-0.052794246394331425,4,0.957,False
P,W010,158,158,rainband_width,0.018893732739967115,0.0034624793727649305,-0.1374544751543838,5,0.957,False
V,W001,16,16,profile_structure,1.1869560836255153,0.9750696853384684,0.2599774858324786,1,0.589,False
V,W001,16,16,strength,0.012924494547864838,0.010617311799314504,0.11368594701133838,2,0.589,False
V,W001,16,16,latitudinal_structure,0.010801073812372592,0.008872948029701913,-0.10392821470790592,3,0.589,False
V,W001,16,16,position,0.0066221997010079865,0.0054400548325152474,0.08137689906237511,4,0.589,False
V,W002,30,30,profile_structure,1.5646463071368086,0.9121671439803726,0.3265862541928575,1,0.669,False
V,W002,30,30,position,0.08288871488187897,0.04832297368238121,-0.28790400289311535,2,0.669,False
V,W002,30,30,strength,0.0540354100435468,0.031501896261415384,0.2324551785690024,3,0.669,False
