object,window_id,break_day,main_peak_day,field_delta_norm,positive_area_fraction,negative_area_fraction,max_positive_value,max_positive_lat,max_positive_lon,max_negative_value,max_negative_lat,max_negative_lon,source_v10_2_support,edge_limited_flag
P,W001,18,18,0.6702136461165072,0.8494336260659284,0.15056637393407152,2.9859667761531874,23.75,107.75,-1.136384144064821,17.5,122.5,0.793,False
P,W002,34,34,1.1247164877873665,0.9787450680921471,0.02125493190785287,4.073443942599828,18.0,123.5,-0.7459898852124631,26.25,114.0,0.6,False
P,W003,45,45,1.8921806752260655,0.5273004963726613,0.4726995036273387,7.221697137620708,23.75,121.5,-2.5180929763228797,24.75,109.5,0.985,False
P,W004,65,65,1.4007458978475964,0.8634338806160112,0.1365661193839888,4.696069891658828,28.25,125.0,-5.753871274877483,16.75,121.25,0.811,False
P,W005,82,82,2.352464847254247,0.6340842560773833,0.3659157439226168,5.505380851368846,30.5,116.25,-11.268440451916351,23.75,121.5,0.916,False
P,W006,95,95,1.887057429771228,0.47842688048873616,0.5215731195112638,4.1273527164223776,23.5,120.75,-6.978851102193193,28.75,115.0,0.695,False
P,W007,113,113,1.7323307765680944,0.5634466081201477,0.43655339187985237,6.838124768763407,15.25,119.75,-5.976140253043469,31.0,110.0,0.938,False
P,W008,126,126,0.9928029373437237,0.5280641466208477,0.47193585337915234,3.2350674579761645,28.75,124.75,-4.228822870136778,15.25,119.75,0.839,False
P,W009,138,138,1.0058841644497158,0.4966272114038437,0.5033727885961563,4.132700222156668,18.75,122.5,-3.2168968968332554,39.0,116.5,0.918,False
P,W010,158,158,1.5029947537582475,0.2606592847142675,0.7393407152857324,5.6428906155809955,18.75,106.0,-4.870210111641591,22.75,120.0,0.957,False
V,W001,16,16,0.32978844096727916,0.8321902149062643,0.1678097850937357,0.8107586731898697,12.0,109.25,-0.4955137553995037,20.0,105.75,0.589,False
V,W002,30,30,0.38650930422655194,0.9556470050297211,0.04435299497027892,1.184072999453494,11.5,109.25,-0.33031408720546285,20.75,107.0,0.669,False
V,W003,45,45,0.8280235902044805,0.45816186556927296,0.541838134430727,1.7752130560908916,17.75,119.5,-1.611537463870547,26.25,109.75,0.984,False
V,W004,80,80,1.0977666748903965,0.773814967230605,0.22618503276939492,3.033346938652298,29.0,123.25,-0.7136487084705339,17.5,124.25,0.901,False
V,W005,95,95,0.8260822321284379,0.23487273281511964,0.7651272671848803,1.333649928944853,27.25,106.5,-2.0002275856147405,25.5,119.5,0.943,False
V,W006,114,114,1.183754194560743,0.1790885535741503,0.8209114464258497,1.1659543012142937,17.25,120.5,-3.01830474998825,26.25,109.75,0.933,False
V,W007,136,136,0.6130149649737798,0.08870598994055784,0.9112940100594421,0.4084392153177365,11.5,108.25,-1.32608242265081,30.0,112.0,0.833,False
V,W008,161,161,1.1031867291214659,0.014022252705380277,0.9859777472946197,0.19873131716267822,23.5,121.0,-2.7086599050826154,24.75,120.25,0.879,False
H,W001,19,19,17.475727830726456,1.0,0.0,36.08195698302552,35.0,140.0,0.8059173659339649,15.5,140.0,0.784,False
H,W002,35,35,14.067067757554229,0.7820630547903276,0.2179369452096725,27.894984809027846,35.0,139.25,-4.55523750964403,15.75,124.0,0.908,False
H,W003,57,57,9.2318559715463,0.8173655749413326,0.18263442505866748,24.031707658179585,35.0,134.5,-2.6627154465668355,15.0,116.75,0.724,False
H,W004,77,77,16.16176597261548,0.7671666156514642,0.23283338434853587,30.563258222415243,32.5,131.5,-6.40297152295534,15.0,110.0,0.942,False
H,W005,95,95,10.839224317468366,0.46189164370982555,0.5381083562901745,28.675811390817216,35.0,131.5,-8.98617971161184,21.0,136.75,0.889,False
