object,window_id,break_day,main_peak_day,metric,semantic_group,left_mean,right_mean,delta,delta_z,direction_label,rank_within_break,source_v10_2_support,edge_limited_flag
P,W001,18,18,P_total_strength,strength,4.214562279350648,4.649031099083456,0.4344688197328077,0.37122623367045304,increase,1,0.793,False
P,W001,18,18,P_south_band_share_18_24,rainband_structure,0.22295468147860897,0.24135611239258764,0.018401430913978667,0.3670255929382047,south_band_gain,2,0.793,False
P,W001,18,18,P_main_minus_south,rainband_structure,0.4431718616676684,0.3985612893596173,-0.0446105723080511,-0.29655994483832493,main_minus_south_decrease,3,0.793,False
P,W001,18,18,P_main_band_share,rainband_structure,0.6661265431462775,0.6399174017522049,-0.0262091413940726,-0.25278352531217996,main_band_loss,4,0.793,False
P,W001,18,18,P_spread_lat,rainband_width,5.157336071302689,5.310575790430199,0.15323971912750967,0.235977123798367,widening,5,0.793,False
P,W001,18,18,P_centroid_lat,position,26.5831006927943,26.458474749632693,-0.12462594316160747,-0.1483274791492606,southward,6,0.793,False
P,W002,34,34,P_total_strength,strength,4.781777517664467,5.636585526977324,0.8548080093128574,0.7303795885829093,increase,1,0.6,False
P,W002,34,34,P_spread_lat,rainband_width,5.4125213276318345,5.760413613030197,0.3478922853983626,0.5357267774136016,widening,2,0.6,False
P,W002,34,34,P_main_band_share,rainband_structure,0.6189957413424287,0.5672668053852558,-0.05172893595717298,-0.49891839626838985,main_band_loss,3,0.6,False
P,W002,34,34,P_main_minus_south,rainband_structure,0.3621516758084731,0.2940896233473057,-0.06806205246116737,-0.452459528743238,main_minus_south_decrease,4,0.6,False
P,W002,34,34,P_centroid_lat,position,26.29023817636653,25.933177304922783,-0.3570608714437462,-0.4249672068311756,southward,5,0.6,False
P,W002,34,34,P_south_band_share_18_24,rainband_structure,0.2568440655339556,0.27317718203795016,0.01633311650399455,0.3257720444366915,south_band_gain,6,0.6,False
P,W003,45,45,P_centroid_lat,position,25.933177304922783,24.642223809998573,-1.29095349492421,-1.536468834203586,southward,1,0.985,False
P,W003,45,45,P_south_band_share_18_24,rainband_structure,0.27317718203795016,0.34447318006521777,0.0712959980272676,1.4220337577226612,south_band_gain,2,0.985,False
P,W003,45,45,P_main_minus_south,rainband_structure,0.2940896233473057,0.14264722223028198,-0.15144240111702373,-1.006751265402227,main_minus_south_decrease,3,0.985,False
P,W003,45,45,P_main_band_share,rainband_structure,0.5672668053852558,0.48712040229549974,-0.08014640308975601,-0.7730009163406437,main_band_loss,4,0.985,False
P,W003,45,45,P_total_strength,strength,5.636585526977324,6.508452391146929,0.871866864169605,0.7449553053008436,increase,5,0.985,False
P,W003,45,45,P_spread_lat,rainband_width,5.760413613030197,5.645635307870925,-0.11477830515927234,-0.17674956910746475,narrowing,6,0.985,False
P,W004,65,65,P_total_strength,strength,6.670384540644069,7.663460883967358,0.9930763433232883,0.8485211686901925,increase,1,0.811,False
P,W004,65,65,P_south_band_share_18_24,rainband_structure,0.3263248992574525,0.3125310849095647,-0.01379381434788779,-0.2751244136165073,south_band_loss,2,0.811,False
P,W004,65,65,P_centroid_lat,position,24.870355732271726,25.10105449342138,0.23069876114965382,0.27457337385853975,northward,3,0.811,False
P,W004,65,65,P_main_minus_south,rainband_structure,0.1841873193819944,0.2096357076577397,0.025448388275745304,0.16917453044908037,main_minus_south_increase,4,0.811,False
P,W004,65,65,P_main_band_share,rainband_structure,0.510512218639447,0.5221667925673044,0.011654573927857403,0.11240674538699397,main_band_gain,5,0.811,False
P,W004,65,65,P_spread_lat,rainband_width,5.6535126202447525,5.706228277439169,0.05271565719441629,0.08117796896722518,widening,6,0.811,False
P,W005,82,82,P_spread_lat,rainband_width,5.906032004254814,6.448405852331433,0.5423738480766191,0.8352130989360192,widening,1,0.916,False
P,W005,82,82,P_centroid_lat,position,25.528965629834623,26.17558408658876,0.6466184567541369,0.7695932582620858,northward,2,0.916,False
P,W005,82,82,P_south_band_share_18_24,rainband_structure,0.2745586739371581,0.2605406492342789,-0.014018024702879217,-0.27959639945653825,south_band_loss,3,0.916,False
P,W005,82,82,P_main_band_share,rainband_structure,0.5466374275695567,0.5271746655732797,-0.019462761996276945,-0.18771563386061568,main_band_loss,4,0.916,False
P,W005,82,82,P_total_strength,strength,7.792186744406332,7.836874330932533,0.04468758652620064,0.03818272723954297,increase,5,0.916,False
P,W005,82,82,P_main_minus_south,rainband_structure,0.27207875363239864,0.2666340163390009,-0.005444737293397728,-0.03619525390168088,main_minus_south_decrease,6,0.916,False
