object,window_id,break_day,main_peak_day,lat,left_profile,right_profile,delta_profile,abs_delta_profile,source_v10_2_support,edge_limited_flag
P,W001,18,18,14.0,2.1051785496817983,2.4217516523308005,0.3165731026490022,0.3165731026490022,0.793,False
P,W001,18,18,16.0,1.9454939925694243,2.379381997169945,0.43388800460052046,0.43388800460052046,0.793,False
P,W001,18,18,18.0,1.74109075369731,2.146781015710085,0.40569026201277514,0.40569026201277514,0.793,False
P,W001,18,18,20.0,1.8344662664525664,2.336283945492938,0.5018176790403717,0.5018176790403717,0.793,False
P,W001,18,18,22.0,3.411113637082007,4.250649096687072,0.8395354596050648,0.8395354596050648,0.793,False
P,W001,18,18,24.0,6.106829518094475,7.0557956759011375,0.9489661578066624,0.9489661578066624,0.793,False
P,W001,18,18,26.0,6.526478763538025,7.084694651934527,0.5582158883965018,0.5582158883965018,0.793,False
P,W001,18,18,28.0,6.9039580140384915,6.976808952788103,0.07285093874961124,0.07285093874961124,0.793,False
P,W001,18,18,30.0,5.151209413991107,5.478417430810677,0.32720801681957035,0.32720801681957035,0.793,False
P,W001,18,18,32.0,2.879269412853536,3.379433793625514,0.5001643807719778,0.5001643807719778,0.793,False
P,W001,18,18,34.0,1.7507097673357996,2.2121707362820504,0.46146096894625077,0.46146096894625077,0.793,False
P,W001,18,18,36.0,1.3478710569686378,1.560040669596026,0.2121696126273882,0.2121696126273882,0.793,False
P,W001,18,18,38.0,1.0781720245220625,1.321388177504683,0.24321615298262045,0.24321615298262045,0.793,False
P,W001,18,18,40.0,,,,,0.793,False
P,W002,34,34,14.0,2.7911527448252125,4.598015733342985,1.8068629885177723,1.8068629885177723,0.6,False
P,W002,34,34,16.0,2.719614364079378,4.385799766525846,1.6661854024464677,1.6661854024464677,0.6,False
P,W002,34,34,18.0,2.406904779102649,3.8703668915609493,1.4634621124583003,1.4634621124583003,0.6,False
P,W002,34,34,20.0,2.846922422052793,4.072163674366618,1.2252412523138254,1.2252412523138254,0.6,False
P,W002,34,34,22.0,4.822876264574759,6.086942408886864,1.264066144312105,1.264066144312105,0.6,False
P,W002,34,34,24.0,7.124184557355553,8.13015412211509,1.0059695647595372,1.0059695647595372,0.6,False
P,W002,34,34,26.0,7.002179141288086,7.7227904422500115,0.7206113009619255,0.7206113009619255,0.6,False
P,W002,34,34,28.0,7.0078577595116105,7.785688728430779,0.7778309689191687,0.7778309689191687,0.6,False
P,W002,34,34,30.0,5.603730285369375,6.1341366226581195,0.5304063372887446,0.5304063372887446,0.6,False
P,W002,34,34,32.0,3.6247130588721332,4.168584599332136,0.5438715404600027,0.5438715404600027,0.6,False
P,W002,34,34,34.0,2.3760703555470357,2.9729902798830414,0.5969199243360057,0.5969199243360057,0.6,False
P,W002,34,34,36.0,1.610957586096293,2.3255573889773498,0.7145998028810567,0.7145998028810567,0.6,False
P,W002,34,34,38.0,1.3462602664217536,1.8400504723643223,0.4937902059425687,0.4937902059425687,0.6,False
P,W002,34,34,40.0,,,,,0.6,False
P,W003,45,45,14.0,4.598015733342985,6.710803909045933,2.1127881757029483,2.1127881757029483,0.985,False
P,W003,45,45,16.0,4.385799766525846,6.5089242947957375,2.1231245282698916,2.1231245282698916,0.985,False
P,W003,45,45,18.0,3.8703668915609493,6.156796453940653,2.2864295623797037,2.2864295623797037,0.985,False
P,W003,45,45,20.0,4.072163674366618,6.782249497987934,2.7100858236213154,2.7100858236213154,0.985,False
P,W003,45,45,22.0,6.086942408886864,8.629198127161382,2.542255718274518,2.542255718274518,0.985,False
P,W003,45,45,24.0,8.13015412211509,9.46294029433668,1.3327861722215886,1.3327861722215886,0.985,False
P,W003,45,45,26.0,7.7227904422500115,8.439489745330636,0.7166993030806248,0.7166993030806248,0.985,False
P,W003,45,45,28.0,7.785688728430779,7.811342418219619,0.02565368978883953,0.02565368978883953,0.985,False
P,W003,45,45,30.0,6.1341366226581195,5.759833481264922,-0.37430314139319787,0.37430314139319787,0.985,False
P,W003,45,45,32.0,4.168584599332136,3.69164584767217,-0.4769387516599659,0.4769387516599659,0.985,False
P,W003,45,45,34.0,2.9729902798830414,2.418459857541093,-0.5545304223419483,0.5545304223419483,0.985,False
P,W003,45,45,36.0,2.3255573889773498,1.7767423632813197,-0.54881502569603,0.54881502569603,0.985,False
P,W003,45,45,38.0,1.8400504723643223,1.4589901344908065,-0.3810603378735158,0.3810603378735158,0.985,False
P,W003,45,45,40.0,,,,,0.985,False
P,W004,65,65,14.0,6.679127507645117,7.706047850598506,1.0269203429533889,1.0269203429533889,0.811,False
P,W004,65,65,16.0,6.3496676769447005,7.138101469286875,0.7884337923421745,0.7884337923421745,0.811,False
P,W004,65,65,18.0,6.143219190282695,6.618363795454883,0.47514460517218815,0.47514460517218815,0.811,False
P,W004,65,65,20.0,6.533371968063671,6.968355995489864,0.4349840274261929,0.4349840274261929,0.811,False
P,W004,65,65,22.0,8.25490538719496,9.490381418743286,1.2354760315483269,1.2354760315483269,0.811,False
P,W004,65,65,24.0,9.441484874485653,10.626131150382736,1.1846462758970837,1.1846462758970837,0.811,False
P,W004,65,65,26.0,8.863819122419107,10.268448009581814,1.4046288871627066,1.4046288871627066,0.811,False
P,W004,65,65,28.0,8.485987580676865,10.096877464464644,1.6108898837877792,1.6108898837877792,0.811,False
P,W004,65,65,30.0,6.339351234726019,7.706433533220969,1.3670822984949504,1.3670822984949504,0.811,False
P,W004,65,65,32.0,4.163332283978344,5.171280632654971,1.007948348676627,1.007948348676627,0.811,False
P,W004,65,65,34.0,2.7226872052210274,3.1305443052961377,0.40785710007511033,0.40785710007511033,0.811,False
P,W004,65,65,36.0,1.8229010663848697,2.2394920822542406,0.41659101586937086,0.41659101586937086,0.811,False
P,W004,65,65,38.0,1.4495370672301826,1.9714997518485942,0.5219626846184116,0.5219626846184116,0.811,False
P,W004,65,65,40.0,,,,,0.811,False
P,W005,82,82,14.0,8.64846901992312,9.282571985401443,0.6341029654783235,0.6341029654783235,0.916,False
P,W005,82,82,16.0,7.540374838522051,8.151563568780233,0.6111887302581822,0.6111887302581822,0.916,False
P,W005,82,82,18.0,6.676229227589609,7.179030084438466,0.5028008568488573,0.5028008568488573,0.916,False
P,W005,82,82,20.0,6.215494426193987,6.542003586147274,0.3265091599532868,0.3265091599532868,0.916,False
P,W005,82,82,22.0,8.32525811966046,8.025457424698143,-0.2998006949623164,0.2998006949623164,0.916,False
P,W005,82,82,24.0,9.522993034655103,7.545869184240955,-1.9771238504141486,1.9771238504141486,0.916,False
P,W005,82,82,26.0,9.684253304795039,6.525737359145486,-3.158515945649553,3.158515945649553,0.916,False
P,W005,82,82,28.0,11.207095514702152,8.847059710548702,-2.3600358041534495,2.3600358041534495,0.916,False
P,W005,82,82,30.0,9.273500100113854,10.735074286025538,1.4615741859116849,1.4615741859116849,0.916,False
P,W005,82,82,32.0,6.160816932457864,9.073791957442271,2.912975024984407,2.912975024984407,0.916,False
P,W005,82,82,34.0,3.846044929663848,6.161084900387103,2.315039970723255,2.315039970723255,0.916,False
P,W005,82,82,36.0,2.6165784544146033,4.009794725214013,1.3932162707994094,1.3932162707994094,0.916,False
P,W005,82,82,38.0,2.354343193669342,3.2661161464693484,0.9117729528000065,0.9117729528000065,0.916,False
P,W005,82,82,40.0,,,,,0.916,False
P,W006,95,95,14.0,8.966076341224069,8.949774507785094,-0.016301833438975066,0.016301833438975066,0.695,False
P,W006,95,95,16.0,7.948978933305426,8.218092553784546,0.2691136204791196,0.2691136204791196,0.695,False
P,W006,95,95,18.0,7.131271852623523,7.516280380000322,0.38500852737679914,0.38500852737679914,0.695,False
P,W006,95,95,20.0,6.4803980587968155,6.911572909156755,0.4311748503599393,0.4311748503599393,0.695,False
P,W006,95,95,22.0,7.886885758154167,7.375784469959738,-0.5111012881944292,0.5111012881944292,0.695,False
P,W006,95,95,24.0,7.288241197030513,6.455106617975227,-0.8331345790552858,0.8331345790552858,0.695,False
