window_id,basis,object_A,object_B,baseline_config,metric_family,metric_name,median,q025,q975,P_positive,P_negative,decision
W045,profile,H,Je,C0_full_stage,growth_dist,growth_center_delta_B_minus_A,0.3891912799614907,-1.8550056459042614,2.317922691572711,0.624,0.376,unresolved
W045,profile,H,Je,C0_full_stage,growth_pattern,growth_center_delta_B_minus_A,-3.5530502325378457,-7.046772058736603,-0.039644058848076015,0.023,0.977,B_direction_supported
W045,profile,H,Je,C0_full_stage,state_dist,mean_state_advantage_A_minus_B,0.04069758964767818,-0.007078528968885454,0.09229402332303768,0.955,0.045,A_direction_tendency
W045,profile,H,Je,C0_full_stage,state_pattern,mean_state_advantage_A_minus_B,-0.3011914221877921,-0.48587369495501276,-0.15429596958390726,0.001,0.999,B_direction_supported
W045,profile,H,Je,C1_buffered_stage,growth_dist,growth_center_delta_B_minus_A,0.3418075569399761,-1.7454382706691298,2.326686428121049,0.624,0.376,unresolved
W045,profile,H,Je,C1_buffered_stage,growth_pattern,growth_center_delta_B_minus_A,-3.621540126772331,-7.06602435442506,-0.08233857789385389,0.019,0.981,B_direction_supported
W045,profile,H,Je,C1_buffered_stage,state_dist,mean_state_advantage_A_minus_B,0.03481348099397895,-0.01842997849183704,0.09642027334968134,0.89,0.11,A_direction_tendency
W045,profile,H,Je,C1_buffered_stage,state_pattern,mean_state_advantage_A_minus_B,-0.2744239285225103,-0.4543638360022636,-0.10916882201755267,0.001,0.999,B_direction_supported
W045,profile,H,Je,C2_immediate_pre,growth_dist,growth_center_delta_B_minus_A,0.22714616240971708,-1.5860973865293766,2.0556963374751716,0.603,0.397,unresolved
W045,profile,H,Je,C2_immediate_pre,growth_pattern,growth_center_delta_B_minus_A,-3.4966529787164404,-6.95400177450591,0.029645677388654035,0.026,0.974,B_direction_tendency
W045,profile,H,Je,C2_immediate_pre,state_dist,mean_state_advantage_A_minus_B,0.014424360310734345,-0.05012879631988543,0.09247200824016663,0.683,0.317,unresolved
W045,profile,H,Je,C2_immediate_pre,state_pattern,mean_state_advantage_A_minus_B,-0.24786631366434247,-0.5415879311899037,-0.027031751756614538,0.016,0.984,B_direction_supported
W045,profile,H,Jw,C0_full_stage,growth_dist,growth_center_delta_B_minus_A,4.048874158119663,0.6187884816916663,7.602115757340609,0.988,0.012,A_direction_supported
W045,profile,H,Jw,C0_full_stage,growth_pattern,growth_center_delta_B_minus_A,0.13155545133955826,-3.5963946784080862,3.1545673939713033,0.529,0.471,unresolved
W045,profile,H,Jw,C0_full_stage,state_dist,mean_state_advantage_A_minus_B,0.16252686459060978,0.08971442324467455,0.23742859600035807,1.0,0.0,A_direction_supported
W045,profile,H,Jw,C0_full_stage,state_pattern,mean_state_advantage_A_minus_B,-0.047482379676272696,-0.20360134665687393,0.11750843950293034,0.284,0.716,unresolved
W045,profile,H,Jw,C1_buffered_stage,growth_dist,growth_center_delta_B_minus_A,3.987218352812473,0.6205057652645408,7.4889217059442394,0.987,0.013,A_direction_supported
W045,profile,H,Jw,C1_buffered_stage,growth_pattern,growth_center_delta_B_minus_A,-0.016611581607975268,-3.7328704670084547,3.0260104831616315,0.492,0.508,unresolved
W045,profile,H,Jw,C1_buffered_stage,state_dist,mean_state_advantage_A_minus_B,0.1630310041759007,0.0887568968340242,0.24667313999191845,1.0,0.0,A_direction_supported
W045,profile,H,Jw,C1_buffered_stage,state_pattern,mean_state_advantage_A_minus_B,-0.019379962040767626,-0.21174533174875623,0.21928570481807208,0.443,0.557,unresolved
W045,profile,H,Jw,C2_immediate_pre,growth_dist,growth_center_delta_B_minus_A,3.3240444006298553,0.5320210436810859,6.471642631899837,0.989,0.011,A_direction_supported
