window_id,object_A,object_B,tau_sync_primary,tau_sync_q50,tau_sync_q75,tau_sync_q90,delta_observed,delta_median,delta_q025,delta_q975,P_within_tau_q50,P_within_tau_q75,P_within_tau_q90,synchrony_decision,tau_quality_flag,method,k,cluster_id,cluster_size,cluster_quality_status,years_in_type,v9_1b_role
W081,P,V,3.0,1.0,3.0,5.0,-2.0,-1.0,-5.0,3.0,0.608,0.93,0.984,synchrony_tendency,normal,kmedoids_behavior_pca,2,0,25,unstable_clustering,1979;1981;1983;1984;1985;1986;1990;1992;1993;1994;1995;1997;2000;2001;2002;2003;2004;2006;2008;2009;2012;2014;2017;2018;2019,type_group_multi_year_peak_not_single_year_peak
W081,P,H,3.0,1.0,3.0,5.0,-3.0,-2.0,-6.0,0.5249999999999773,0.27,0.78,0.96,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,25,unstable_clustering,1979;1981;1983;1984;1985;1986;1990;1992;1993;1994;1995;1997;2000;2001;2002;2003;2004;2006;2008;2009;2012;2014;2017;2018;2019,type_group_multi_year_peak_not_single_year_peak
W081,P,Je,3.0,1.0,3.0,5.0,-4.0,-2.0,-13.0,7.0,0.289738430583501,0.5352112676056338,0.7344064386317908,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,25,unstable_clustering,1979;1981;1983;1984;1985;1986;1990;1992;1993;1994;1995;1997;2000;2001;2002;2003;2004;2006;2008;2009;2012;2014;2017;2018;2019,type_group_multi_year_peak_not_single_year_peak
W081,P,Jw,3.0,1.0,3.0,5.0,1.0,1.0,-12.524999999999999,11.0,0.3,0.634,0.79,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,25,unstable_clustering,1979;1981;1983;1984;1985;1986;1990;1992;1993;1994;1995;1997;2000;2001;2002;2003;2004;2006;2008;2009;2012;2014;2017;2018;2019,type_group_multi_year_peak_not_single_year_peak
W081,V,H,3.0,1.0,3.0,5.0,-1.0,-1.0,-6.0,2.0,0.52,0.86,0.958,synchrony_tendency,normal,kmedoids_behavior_pca,2,0,25,unstable_clustering,1979;1981;1983;1984;1985;1986;1990;1992;1993;1994;1995;1997;2000;2001;2002;2003;2004;2006;2008;2009;2012;2014;2017;2018;2019,type_group_multi_year_peak_not_single_year_peak
W081,V,Je,3.0,1.0,3.0,5.0,-2.0,-1.0,-12.0,7.599999999999966,0.2575452716297787,0.6036217303822937,0.7806841046277666,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,25,unstable_clustering,1979;1981;1983;1984;1985;1986;1990;1992;1993;1994;1995;1997;2000;2001;2002;2003;2004;2006;2008;2009;2012;2014;2017;2018;2019,type_group_multi_year_peak_not_single_year_peak
W081,V,Jw,3.0,1.0,3.0,5.0,3.0,2.0,-12.524999999999999,11.0,0.23,0.558,0.76,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,25,unstable_clustering,1979;1981;1983;1984;1985;1986;1990;1992;1993;1994;1995;1997;2000;2001;2002;2003;2004;2006;2008;2009;2012;2014;2017;2018;2019,type_group_multi_year_peak_not_single_year_peak
W081,H,Je,3.0,1.0,3.0,5.0,-1.0,0.0,-10.6,9.0,0.29577464788732394,0.6338028169014085,0.8169014084507042,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,25,unstable_clustering,1979;1981;1983;1984;1985;1986;1990;1992;1993;1994;1995;1997;2000;2001;2002;2003;2004;2006;2008;2009;2012;2014;2017;2018;2019,type_group_multi_year_peak_not_single_year_peak
W081,H,Jw,3.0,1.0,3.0,5.0,4.0,4.0,-11.0,12.0,0.134,0.36,0.654,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,25,unstable_clustering,1979;1981;1983;1984;1985;1986;1990;1992;1993;1994;1995;1997;2000;2001;2002;2003;2004;2006;2008;2009;2012;2014;2017;2018;2019,type_group_multi_year_peak_not_single_year_peak
W081,Je,Jw,3.0,1.0,3.0,5.0,5.0,4.0,-12.0,15.599999999999966,0.15492957746478872,0.3762575452716298,0.5653923541247485,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,25,unstable_clustering,1979;1981;1983;1984;1985;1986;1990;1992;1993;1994;1995;1997;2000;2001;2002;2003;2004;2006;2008;2009;2012;2014;2017;2018;2019,type_group_multi_year_peak_not_single_year_peak
W081,P,V,5.0,2.0,5.0,10.0,-3.0,-1.0,-10.0,14.0,0.508,0.774,0.86,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,1,20,unstable_clustering,1980;1982;1987;1988;1989;1991;1996;1998;1999;2005;2007;2010;2011;2013;2015;2016;2020;2021;2022;2023,type_group_multi_year_peak_not_single_year_peak
W081,P,H,5.0,2.0,5.0,10.0,-3.0,-4.0,-19.0,13.550000000000011,0.24448897795591182,0.5651302605210421,0.7775551102204409,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,1,20,unstable_clustering,1980;1982;1987;1988;1989;1991;1996;1998;1999;2005;2007;2010;2011;2013;2015;2016;2020;2021;2022;2023,type_group_multi_year_peak_not_single_year_peak
W081,P,Je,5.0,2.0,5.0,10.0,-4.0,-2.0,-14.0,12.0,0.406,0.7,0.898,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,1,20,unstable_clustering,1980;1982;1987;1988;1989;1991;1996;1998;1999;2005;2007;2010;2011;2013;2015;2016;2020;2021;2022;2023,type_group_multi_year_peak_not_single_year_peak
W081,P,Jw,5.0,2.0,5.0,10.0,-4.0,-2.0,-16.0,11.0,0.364,0.654,0.886,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,1,20,unstable_clustering,1980;1982;1987;1988;1989;1991;1996;1998;1999;2005;2007;2010;2011;2013;2015;2016;2020;2021;2022;2023,type_group_multi_year_peak_not_single_year_peak
W081,V,H,5.0,2.0,5.0,10.0,0.0,-3.0,-17.0,7.550000000000011,0.43887775551102204,0.6112224448897795,0.8236472945891784,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,1,20,unstable_clustering,1980;1982;1987;1988;1989;1991;1996;1998;1999;2005;2007;2010;2011;2013;2015;2016;2020;2021;2022;2023,type_group_multi_year_peak_not_single_year_peak
