window_id,component,explained_variance_ratio
W081,1,0.13290552313833018
W081,2,0.11714774858439764
W081,3,0.09590175063537981
W081,4,0.08766681230094568
W081,5,0.08467756771166371
W081,6,0.06764608969541497
W081,7,0.053139664917062714
W081,8,0.05306141771689028
