mode,target_family,information_form,mean_score_from_h_zonal_width,n_support_from_h_zonal_width,mean_abs_spearman_from_h_zonal_width
anomaly,P_position,post_state,2.626398964773351,1,0.40482405631263146
anomaly,P_position,pre_state,0.39483075203348555,0,0.274723522004061
anomaly,P_position,signed_transition,2.741966812955101,1,0.4961291452578783
anomaly,P_position,slope,2.782163613984797,1,0.5140334739579667
anomaly,P_position,window_mean,0.04701889172100421,0,0.03880872448486767
anomaly,P_rainband_structure,post_state,2.3325305543576813,3,0.320639854436914
anomaly,P_rainband_structure,pre_state,0.31646399834325795,0,0.30890837449938835
anomaly,P_rainband_structure,signed_transition,2.4697021457166266,3,0.4565530177786974
anomaly,P_rainband_structure,slope,2.4849052473388773,3,0.47028594425941644
anomaly,P_rainband_structure,window_mean,0.04938622901577886,0,0.04913136201055404
anomaly,P_spread,post_state,0.18610340568533434,0,0.1453350071618455
anomaly,P_spread,pre_state,0.036314488945825396,0,0.029339405262569625
anomaly,P_spread,signed_transition,0.16403604436055946,0,0.13842859683755673
anomaly,P_spread,slope,0.20675813563665393,0,0.17775728181730252
anomaly,P_spread,window_mean,0.08829750769966428,0,0.07550899534746751
anomaly,P_strength,post_state,2.5410267239439372,1,0.4786146031307139
anomaly,P_strength,pre_state,1.3988171607165716,0,0.356073691141186
anomaly,P_strength,signed_transition,2.647285161538748,1,0.5653763871789977
anomaly,P_strength,slope,2.675084547882637,1,0.5967848253154656
anomaly,P_strength,window_mean,0.040271010433262956,0,0.03722738426816679
local_background_removed,P_position,post_state,2.4155878553079253,1,0.24666939736355548
local_background_removed,P_position,pre_state,0.050318777116139045,0,0.04660075143116122
local_background_removed,P_position,signed_transition,2.3014269410030432,1,0.1601554783105317
local_background_removed,P_position,slope,0.24942859672564574,0,0.15125662908828133
local_background_removed,P_position,window_mean,0.11913702168252337,0,0.1085674759309615
local_background_removed,P_rainband_structure,post_state,2.2687246604519307,3,0.2572881302958052
local_background_removed,P_rainband_structure,pre_state,0.17343391094529295,0,0.16985731871981333
local_background_removed,P_rainband_structure,signed_transition,1.9293584279494862,2,0.2516634829889885
local_background_removed,P_rainband_structure,slope,1.2501703380644236,1,0.2415977690518686
local_background_removed,P_rainband_structure,window_mean,0.05213248459126905,0,0.05094590294494958
local_background_removed,P_spread,post_state,0.027035016663214433,0,0.006052012715040051
local_background_removed,P_spread,pre_state,0.03601497045976941,0,0.034851553478262215
local_background_removed,P_spread,signed_transition,0.0634184668563664,0,0.05678898490484505
local_background_removed,P_spread,slope,0.013081512153919748,0,0.007114858859553303
local_background_removed,P_spread,window_mean,0.03248893119196325,0,0.025429032590625695
local_background_removed,P_strength,post_state,0.303491756067767,0,0.2726065947137271
local_background_removed,P_strength,pre_state,0.04179967097928559,0,0.03775584960145073
local_background_removed,P_strength,signed_transition,1.2681491460044803,0,0.23492983778500867
local_background_removed,P_strength,slope,0.27550195454894016,0,0.24678019711006177
local_background_removed,P_strength,window_mean,0.20559142215931342,0,0.18445930376619674
