year,mode,anchor_name,anchor_type,anchor_start,anchor_end,source_metric,representation_type,information_form,source_value
1979,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,7.120065161223963
1980,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,6.609879644967202
1981,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,19.567502096760816
1982,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,25.76081468660589
1983,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,38.22608429740348
1984,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,8.719043148493403
1985,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,31.70395658981009
1986,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,35.337955227287345
1987,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,12.62054293355772
1988,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,16.800676461933403
1989,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,10.253547138778039
1990,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,19.574400168001613
1991,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,23.985181227080854
1992,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,25.285256683204352
1993,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,12.110081473243444
1994,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,14.398843337460377
1995,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,44.074345706257446
1996,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,24.147762600021025
1997,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,11.714561040681943
1998,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,9.091197701485662
1999,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,32.558228061541435
2000,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,20.383241121371093
2001,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,11.241036657878936
2002,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,12.863615786104283
2003,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,13.240228022215435
2004,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,18.322336028216245
2005,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,25.56386332273977
2006,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,40.486128306308835
2007,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,16.199658934727765
2008,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,11.811284865653302
2009,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,19.563623268515062
2010,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,18.30755194007705
2011,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,27.752364192874595
2012,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,27.885013254353517
2013,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,18.9550010509989
2014,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,9.857917628906513
2015,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,16.866775305082072
2016,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,24.601343757370834
2017,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,30.259598115916415
2018,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,5.566969204935499
2019,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,19.362444153751788
2020,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,19.91341720097501
2021,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,24.901177457835047
2022,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,9.588084352855248
2023,anomaly,E2_W33,named,27,38,H_object_transition_rms,scalarized_transition,scalar_transition,20.41595186437721
1979,anomaly,E2_W33,named,27,38,H_component_transition_norm,scalarized_transition,scalar_transition,0.49322760146709677
1980,anomaly,E2_W33,named,27,38,H_component_transition_norm,scalarized_transition,scalar_transition,0.8790020468659132
1981,anomaly,E2_W33,named,27,38,H_component_transition_norm,scalarized_transition,scalar_transition,0.9607521818327065
1982,anomaly,E2_W33,named,27,38,H_component_transition_norm,scalarized_transition,scalar_transition,1.384866939165916
1983,anomaly,E2_W33,named,27,38,H_component_transition_norm,scalarized_transition,scalar_transition,1.7280414879270596
1984,anomaly,E2_W33,named,27,38,H_component_transition_norm,scalarized_transition,scalar_transition,0.27603268541176124
1985,anomaly,E2_W33,named,27,38,H_component_transition_norm,scalarized_transition,scalar_transition,0.9075180368043405
1986,anomaly,E2_W33,named,27,38,H_component_transition_norm,scalarized_transition,scalar_transition,1.319273324815834
1987,anomaly,E2_W33,named,27,38,H_component_transition_norm,scalarized_transition,scalar_transition,0.3150913939263119
