mode,representation_type,mean_primary_score,n_support,mean_abs_spearman,representation_route_decision
anomaly,scalarized_transition,0.14030857265015018,0,0.1379739423217684,scalarization_loss_supported
anomaly,signed_component_transition,0.7686874630138344,4,0.205990883563661,scalarization_loss_supported
local_background_removed,scalarized_transition,0.10107532759411648,0,0.09918020787586003,scalarization_loss_supported
local_background_removed,signed_component_transition,0.5042401634002535,2,0.165128855377893,scalarization_loss_supported
