year,mode,target_metric,target_family,target_value
2019,anomaly,P_centroid_lat_transition,P_position,8.214586947484658
2020,anomaly,P_centroid_lat_transition,P_position,-6.140622244068556
2021,anomaly,P_centroid_lat_transition,P_position,0.14423818654064746
2022,anomaly,P_centroid_lat_transition,P_position,-2.182978634618056
2023,anomaly,P_centroid_lat_transition,P_position,8.76263317190979
1979,anomaly,P_spread_lat_transition,P_spread,-1.755558944950245
1980,anomaly,P_spread_lat_transition,P_spread,-0.7277672409931464
1981,anomaly,P_spread_lat_transition,P_spread,0.21316439689112965
1982,anomaly,P_spread_lat_transition,P_spread,0.4829921989458019
1983,anomaly,P_spread_lat_transition,P_spread,0.5231340097776442
1984,anomaly,P_spread_lat_transition,P_spread,0.842214451083485
1985,anomaly,P_spread_lat_transition,P_spread,4.503015980404048
1986,anomaly,P_spread_lat_transition,P_spread,2.6524688176859046
1987,anomaly,P_spread_lat_transition,P_spread,1.0195413009198955
1988,anomaly,P_spread_lat_transition,P_spread,1.5208634343807592
1989,anomaly,P_spread_lat_transition,P_spread,2.9677280706524614
1990,anomaly,P_spread_lat_transition,P_spread,-1.533613895971322
1991,anomaly,P_spread_lat_transition,P_spread,-0.35094379847898294
1992,anomaly,P_spread_lat_transition,P_spread,-2.469462537428253
1993,anomaly,P_spread_lat_transition,P_spread,0.5582776086822925
1994,anomaly,P_spread_lat_transition,P_spread,-4.85751959543499
1995,anomaly,P_spread_lat_transition,P_spread,0.5518745678195813
1996,anomaly,P_spread_lat_transition,P_spread,0.6747673574362345
1997,anomaly,P_spread_lat_transition,P_spread,-0.9850106422733698
1998,anomaly,P_spread_lat_transition,P_spread,2.656439629486602
1999,anomaly,P_spread_lat_transition,P_spread,-0.4360086436760575
2000,anomaly,P_spread_lat_transition,P_spread,0.03090398385929749
2001,anomaly,P_spread_lat_transition,P_spread,-0.8054931118740871
2002,anomaly,P_spread_lat_transition,P_spread,1.8053411321103208
2003,anomaly,P_spread_lat_transition,P_spread,-0.6074788863865292
2004,anomaly,P_spread_lat_transition,P_spread,1.9444111186987705
2005,anomaly,P_spread_lat_transition,P_spread,-1.3847246897720726
2006,anomaly,P_spread_lat_transition,P_spread,-0.7824931561210464
2007,anomaly,P_spread_lat_transition,P_spread,-0.00862407252153663
2008,anomaly,P_spread_lat_transition,P_spread,-0.37356605099275164
2009,anomaly,P_spread_lat_transition,P_spread,-3.035959480558764
2010,anomaly,P_spread_lat_transition,P_spread,0.9909270709657184
2011,anomaly,P_spread_lat_transition,P_spread,-3.2020343949543495
2012,anomaly,P_spread_lat_transition,P_spread,0.7194426157873535
2013,anomaly,P_spread_lat_transition,P_spread,-1.133070916925254
2014,anomaly,P_spread_lat_transition,P_spread,-0.4613409051938535
2015,anomaly,P_spread_lat_transition,P_spread,1.1790158201698073
2016,anomaly,P_spread_lat_transition,P_spread,-0.9218629385073931
2017,anomaly,P_spread_lat_transition,P_spread,-0.455725983965547
2018,anomaly,P_spread_lat_transition,P_spread,0.8653764479664764
2019,anomaly,P_spread_lat_transition,P_spread,-1.7528865506177542
2020,anomaly,P_spread_lat_transition,P_spread,1.8039514842372157
2021,anomaly,P_spread_lat_transition,P_spread,0.6859235437651714
2022,anomaly,P_spread_lat_transition,P_spread,1.2953106790310875
2023,anomaly,P_spread_lat_transition,P_spread,0.31597466308746625
1979,anomaly,P_main_band_share_transition,P_rainband_structure,-0.31894650308975775
1980,anomaly,P_main_band_share_transition,P_rainband_structure,-0.12167249027450261
1981,anomaly,P_main_band_share_transition,P_rainband_structure,-0.03852139338493457
1982,anomaly,P_main_band_share_transition,P_rainband_structure,-0.4826622540963488
1983,anomaly,P_main_band_share_transition,P_rainband_structure,-0.2622341349739167
1984,anomaly,P_main_band_share_transition,P_rainband_structure,-0.10779504117464644
1985,anomaly,P_main_band_share_transition,P_rainband_structure,-0.44297286829062044
1986,anomaly,P_main_band_share_transition,P_rainband_structure,-0.095645357182813
1987,anomaly,P_main_band_share_transition,P_rainband_structure,-0.14032364068894776
1988,anomaly,P_main_band_share_transition,P_rainband_structure,0.23699407236013104
1989,anomaly,P_main_band_share_transition,P_rainband_structure,-0.31772876324670507
1990,anomaly,P_main_band_share_transition,P_rainband_structure,0.16049359495584692
1991,anomaly,P_main_band_share_transition,P_rainband_structure,0.4448060397165207
1992,anomaly,P_main_band_share_transition,P_rainband_structure,0.11784442192531297
1993,anomaly,P_main_band_share_transition,P_rainband_structure,0.021790858516916867
1994,anomaly,P_main_band_share_transition,P_rainband_structure,0.08297466176574203
1995,anomaly,P_main_band_share_transition,P_rainband_structure,0.22074411995840815
1996,anomaly,P_main_band_share_transition,P_rainband_structure,0.11904574102584839
1997,anomaly,P_main_band_share_transition,P_rainband_structure,-0.05740809329011998
1998,anomaly,P_main_band_share_transition,P_rainband_structure,-0.35802253205080947
1999,anomaly,P_main_band_share_transition,P_rainband_structure,0.20236295130170934
2000,anomaly,P_main_band_share_transition,P_rainband_structure,0.08595312424754938
2001,anomaly,P_main_band_share_transition,P_rainband_structure,0.1961776883827837
2002,anomaly,P_main_band_share_transition,P_rainband_structure,-0.2833473970510775
2003,anomaly,P_main_band_share_transition,P_rainband_structure,-0.03482161163946307
2004,anomaly,P_main_band_share_transition,P_rainband_structure,-0.320555233941586
2005,anomaly,P_main_band_share_transition,P_rainband_structure,-0.006852911285928354
2006,anomaly,P_main_band_share_transition,P_rainband_structure,0.05168337863133271
2007,anomaly,P_main_band_share_transition,P_rainband_structure,0.0220444897408031
2008,anomaly,P_main_band_share_transition,P_rainband_structure,-0.009237066150426632
2009,anomaly,P_main_band_share_transition,P_rainband_structure,0.42560123626371316
2010,anomaly,P_main_band_share_transition,P_rainband_structure,-0.005045586065953289
2011,anomaly,P_main_band_share_transition,P_rainband_structure,-0.11672378539748696
2012,anomaly,P_main_band_share_transition,P_rainband_structure,-0.14526422281373996
2013,anomaly,P_main_band_share_transition,P_rainband_structure,0.015280278902798927
2014,anomaly,P_main_band_share_transition,P_rainband_structure,0.07815800810401063
2015,anomaly,P_main_band_share_transition,P_rainband_structure,-0.11238268873777568
2016,anomaly,P_main_band_share_transition,P_rainband_structure,-0.06271996957046311
2017,anomaly,P_main_band_share_transition,P_rainband_structure,-0.5132719195590456
2018,anomaly,P_main_band_share_transition,P_rainband_structure,0.12693057170588196
2019,anomaly,P_main_band_share_transition,P_rainband_structure,0.33273783781423083
2020,anomaly,P_main_band_share_transition,P_rainband_structure,0.001179048386136694
2021,anomaly,P_main_band_share_transition,P_rainband_structure,-0.0003987043562065917
2022,anomaly,P_main_band_share_transition,P_rainband_structure,-0.14518210131633602
2023,anomaly,P_main_band_share_transition,P_rainband_structure,0.3759715116284758
1979,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.25084592957339136
1980,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.14996822512333485
1981,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.056211493688124836
1982,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.2253145926686738
1983,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.2655561298745749
1984,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.17382127522026172
1985,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.07315407218793823
1986,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.049264306082738574
1987,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.12242684895646683
1988,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.2708711002437656
1989,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.21904018387013116
1990,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.2257695629913869
1991,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.16964096436198114
1992,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.08902571983924717
1993,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.027587868511597828
1994,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.012138672205750212
1995,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.13622635125548177
1996,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.01811912729529308
1997,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.06095979243315448
1998,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.3172586533757563
1999,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.2166321448616969
2000,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.04602035627161272
2001,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.08572956985388136
2002,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.21630980398465385
2003,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.011387821657111706
2004,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.21578369747097775
2005,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.11230520339419314
2006,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.06918788943814513
2007,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.3148664676828666
2008,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.03524306899426727
2009,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.2124331071978093
2010,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.002181602567668403
2011,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.1782869421036306
2012,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.14636922550794235
2013,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.05331323549260303
2014,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.06902379333606548
2015,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.18569257506710302
2016,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.027384908732275753
2017,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.43303109722350447
2018,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.07933134413540027
2019,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.2805031903935825
2020,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.14217114267262201
2021,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-1.4732974410988367e-05
2022,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,0.024701228124395902
2023,anomaly,P_south_band_share_18_24_transition,P_rainband_structure,-0.29953582674064755
1979,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.569792432663149
1980,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.2716407153978374
1981,anomaly,P_main_minus_south_transition,P_rainband_structure,0.01769010030319046
1982,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.7079768467650225
1983,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.5277902648484916
1984,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.28161631639490814
1985,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.5161269404785587
1986,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.0463810511000744
1987,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.2627504896454147
1988,anomaly,P_main_minus_south_transition,P_rainband_structure,0.5078651726038966
1989,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.5367689471168361
1990,anomaly,P_main_minus_south_transition,P_rainband_structure,0.38626315794723365
1991,anomaly,P_main_minus_south_transition,P_rainband_structure,0.6144470040785018
1992,anomaly,P_main_minus_south_transition,P_rainband_structure,0.20687014176456014
